AUROC,Brier,LogLoss,ECE,aECE,Brier_REL,Brier_RES,Brier_UNC,fold,model,world,severity,n_eval
0.9498836267961951,0.01679557498130014,0.06419798145903532,0.007630579004398956,0.005516663021992082,0.00011916685968819225,0.005404351350789466,0.024905837560861087,1,Logistic_L2,WA_clean,0,2817
0.9106658571139445,0.02208089440245078,0.08736964188767367,0.010544014150041851,0.012238188244139529,0.0009541252252042865,0.004229830791014975,0.024905837560861087,1,Logistic_L2,WB_noise_outliers,1,2817
0.935180125480672,0.01846531658973337,0.07161356997399182,0.007157223229957147,0.005895867353397867,0.00015152551271761404,0.004297696062789287,0.024905837560861087,1,Logistic_L2,WC_missingness,2,2817
0.9484922080550495,0.01680409335148361,0.06684148712676453,0.013615322118845417,0.009448457600610465,0.0002394042841166339,0.005392951277610892,0.024905837560861087,1,Logistic_L2,WD_shift,3,2817
0.9487350738716859,0.017186092737495204,0.06970323921460396,0.017714884594775177,0.015474794166661754,0.0007584025035288074,0.005200422318092845,0.024905837560861087,1,Logistic_L2,WE_surrogate_corrupt,4,2817
0.8775323821088848,0.18459350999047566,2.9695206914872694,0.18457165090760858,0.18390503429186975,0.12349208154157801,0.0013780711864097457,0.024905837560861087,1,Logistic_L2,WF_nonlinear,5,2817
0.9451831613033799,0.017109142811025574,0.06708975292875499,0.00936877580861839,0.007056622279024238,0.0001520552618118141,0.005196514587074149,0.024905837560861087,1,Logistic_L2,WH_subgroup_shift,6,2817
0.9552528406982297,0.180380056608331,0.5852037413960602,0.21186821839462072,0.21303287449642083,0.10071152358240917,0.1477304745794574,0.22750532449859107,1,Logistic_L2,WI_prevalence_shift,7,2817
0.9401386359036632,0.017646560999992466,0.06791924522210534,0.0069745010218877105,0.004575073723039894,9.752789434099402e-05,0.004973753724016109,0.024905837560861087,1,Logistic_L2,WJ_concept_drift,8,2817
0.5910251611955712,0.11042015089675315,0.607265003236588,0.10017042912661213,0.0959359672390138,0.009515436966083344,0.004831669331897161,0.10639747594634684,1,Logistic_L2,WG_label_noise,9,2817
0.9586900425015179,0.017904515737784957,0.06526375718869627,0.01167674914211336,0.01165722482546444,0.000910604144020836,0.005537366822869804,0.024905837560861087,1,RandomForest,WA_clean,0,2817
0.9604432301153613,0.01815821229243245,0.06864888750357714,0.012699992060111229,0.014586159377588451,0.0009826954527441952,0.0051706218497719735,0.024905837560861087,1,RandomForest,WB_noise_outliers,1,2817
0.9569368548876745,0.019473459255317516,0.06965791744234019,0.008707279209561,0.013979436350727723,0.001203206068378421,0.00476704364051634,0.024905837560861087,1,RandomForest,WC_missingness,2,2817
0.9510043513458815,0.018816446525067212,0.07504228963009017,0.019557164465743702,0.01707284308365874,0.0005950134702662589,0.005326597862286289,0.024905837560861087,1,RandomForest,WD_shift,3,2817
0.9589354381704108,0.01790488674910374,0.06783699305147996,0.014679042752337003,0.01360283875281032,0.0007363450030934484,0.0053075790071932544,0.024905837560861087,1,RandomForest,WE_surrogate_corrupt,4,2817
0.8464025500910748,0.024874896708476483,0.11939070314067482,0.03357916389776358,0.033579163897763574,0.0013226589014154581,0.0012444134270284237,0.024905837560861087,1,RandomForest,WF_nonlinear,5,2817
0.9432655332928557,0.018986499378773423,0.07365912735802842,0.013299922127558865,0.01127590130162111,0.0002751149604619187,0.004604668599784227,0.024905837560861087,1,RandomForest,WH_subgroup_shift,6,2817
0.9587105883239189,0.21742468667416248,0.6563003181631943,0.2554552551650693,0.25782660496982607,0.1475820352270261,0.15876238318329794,0.22750532449859107,1,RandomForest,WI_prevalence_shift,7,2817
0.9585458409228901,0.017858974036605614,0.06523390327731791,0.011575873506093954,0.012017241391551293,0.0009043875615878612,0.005540692084406622,0.024905837560861087,1,RandomForest,WJ_concept_drift,8,2817
0.5803135319003785,0.11072902900248735,0.8059701403832358,0.09985088072417467,0.09985088072417467,0.010880516185416142,0.004526202724797085,0.10639747594634684,1,RandomForest,WG_label_noise,9,2817
0.9596412669500101,0.01827834156707527,0.06681804682503753,0.011837971565495209,0.012453283362915634,0.0011511695642416396,0.005345480407661307,0.024905837560861087,1,ExtraTrees,WA_clean,0,2817
0.9572707953855495,0.01820289413481816,0.06832037843232593,0.013732712034078805,0.013873523772334634,0.0009637148446968239,0.005156623572666314,0.024905837560861087,1,ExtraTrees,WB_noise_outliers,1,2817
0.9576376239627606,0.01943075424999253,0.07011618728986461,0.010721832031712224,0.012301526742397349,0.0012769691334844726,0.004755888585145727,0.024905837560861087,1,ExtraTrees,WC_missingness,2,2817
0.957096235579842,0.01835031628407027,0.07101017405299735,0.016611952656490358,0.01586647874807715,0.0007100595853752027,0.004943610581608274,0.024905837560861087,1,ExtraTrees,WD_shift,3,2817
0.9552494434325036,0.018324840255592213,0.07045108892534656,0.016605738740977396,0.015084616980239027,0.0008771029953866049,0.004935633392701994,0.024905837560861087,1,ExtraTrees,WE_surrogate_corrupt,4,2817
0.9212760574782434,0.024030317171538078,0.11519651959640176,0.048522957815643114,0.051923738788309075,0.003287304284574473,0.003936957961920941,0.024905837560861087,1,ExtraTrees,WF_nonlinear,5,2817
0.9508879781420766,0.018489723849250354,0.07070957830839598,0.014107519536149566,0.011865772997278428,0.0005345863607995121,0.004490529530860176,0.024905837560861087,1,ExtraTrees,WH_subgroup_shift,6,2817
0.9618301773712367,0.22597357018893383,0.6728983918900363,0.26509997276062003,0.2658549438172997,0.15382200202710747,0.15542435458752293,0.22750532449859107,1,ExtraTrees,WI_prevalence_shift,7,2817
