model,RSCE_full
ExtraTrees,0.8973882158467035
RandomForest,0.8888766723670232
GradientBoosting,0.8607305503691752
Logistic_L2,0.8471324005254136
MLP,0.7764557646870688
GaussianNB,0.7331140499381038
SVC_RBF,0.7245074574424055
