model,world,severity,AUROC_mean,AUROC_ci_lo,AUROC_ci_hi,Brier_mean,Brier_ci_lo,Brier_ci_hi,LogLoss_mean,LogLoss_ci_lo,LogLoss_ci_hi,ECE_mean,ECE_ci_lo,ECE_ci_hi,aECE_mean,aECE_ci_lo,aECE_ci_hi,Brier_REL_mean,Brier_REL_ci_lo,Brier_REL_ci_hi,Brier_RES_mean,Brier_RES_ci_lo,Brier_RES_ci_hi,Brier_UNC_mean,Brier_UNC_ci_lo,Brier_UNC_ci_hi
GaussianNB,WJ_concept_drift,8,0.609602169,0.603828358,0.614664504,0.74660235,0.74224195,0.750811459,11.97891095,11.91158408,12.03971749,0.747209451,0.743014143,0.751417871,0.747279212,0.74286091,0.751703735,0.710306085,0.704636746,0.715980296,0.000148253,0.000130509,0.000164282,0.024777895,0.024689155,0.0248459
GaussianNB,WG_label_noise,9,0.520145789,0.515050698,0.525345714,0.698040077,0.692763289,0.702976957,11.19085726,11.10708993,11.26862068,0.69845872,0.693073326,0.703263601,0.695863956,0.690126681,0.70137711,0.581265873,0.572303111,0.589618928,0.000117989,6.39E-05,0.000181651,0.104892686,0.102349921,0.107212375
GradientBoosting,WA_clean,0,0.958526619,0.954790252,0.962047394,0.015928187,0.015255252,0.016539215,0.061719072,0.059288358,0.063862674,0.008091885,0.00730888,0.008875824,0.006499036,0.005796572,0.007063337,0.000163807,0.000131203,0.000195112,0.005248584,0.004997491,0.005474242,0.024777895,0.024689155,0.024864927
GradientBoosting,WB_noise_outliers,1,0.93999913,0.935992328,0.944447068,0.023378526,0.021575296,0.02526009,0.086589917,0.080998886,0.092328907,0.017419482,0.014313038,0.020896447,0.018938057,0.015436149,0.022528634,0.003772869,0.00244514,0.005218962,0.004191172,0.003912609,0.004473379,0.024777895,0.024689155,0.024865487
GradientBoosting,WC_missingness,2,0.944931808,0.939729111,0.949765208,0.01778886,0.017091299,0.018406231,0.072607969,0.069379766,0.075608613,0.012690369,0.011925268,0.013382028,0.011705382,0.010931501,0.012451425,0.000728136,0.000601421,0.000853959,0.004606567,0.004347829,0.004898291,0.024777895,0.024689155,0.02484646
GradientBoosting,WD_shift,3,0.954338827,0.95079768,0.95797785,0.021099445,0.02006234,0.022108867,0.076894882,0.07364792,0.080276302,0.017825574,0.015210594,0.020715809,0.018624326,0.016115037,0.02151249,0.003214592,0.002437559,0.004123776,0.00499807,0.004732975,0.005311596,0.024777895,0.024688581,0.02484646
GradientBoosting,WE_surrogate_corrupt,4,0.955878884,0.951500826,0.960232055,0.016683044,0.015631016,0.017717091,0.06415036,0.060704659,0.067654608,0.008884262,0.007551699,0.010455501,0.00750623,0.006095154,0.009331099,0.000393217,0.000148092,0.0007278,0.005148663,0.004893242,0.005388183,0.024777895,0.024689155,0.024866061
GradientBoosting,WF_nonlinear,5,0.8592786,0.834342707,0.881079434,0.394139498,0.278624853,0.52845378,1.523487717,1.021416313,2.115600358,0.49221701,0.377424656,0.615344948,0.491871902,0.37449498,0.613070662,0.368835487,0.246268084,0.502792906,0.002033425,0.001695575,0.002360342,0.024777895,0.024688581,0.024865487
GradientBoosting,WH_subgroup_shift,6,0.95235076,0.947626731,0.95633169,0.019760037,0.018965928,0.020630319,0.072991915,0.070381774,0.075983587,0.012602286,0.010657471,0.014666299,0.013873581,0.01205762,0.015757301,0.00183659,0.001285596,0.002478106,0.004741874,0.004513356,0.004991806,0.024777895,0.024689155,0.024846474
GradientBoosting,WI_prevalence_shift,7,0.958535574,0.954478448,0.962484733,0.178209195,0.168523064,0.187182882,0.646051245,0.608641532,0.678932139,0.203173147,0.193772089,0.212397419,0.203868778,0.194403217,0.213085228,0.1025453,0.09394825,0.110856509,0.15243742,0.148557819,0.156171314,0.22753514,0.227527686,0.227542593
GradientBoosting,WJ_concept_drift,8,0.962613708,0.958732973,0.966611298,0.015330755,0.014365797,0.016104507,0.059085242,0.055539671,0.062307914,0.007888421,0.007160674,0.008687318,0.006281984,0.005665853,0.006859777,0.000147707,0.00011785,0.000178043,0.005536442,0.005186066,0.005937879,0.024777895,0.024689155,0.024866061
GradientBoosting,WG_label_noise,9,0.583219377,0.575606824,0.591874024,0.108828817,0.106004439,0.111428567,0.626377423,0.608672129,0.644062755,0.102030024,0.099299271,0.104550454,0.09698625,0.093605422,0.100077745,0.010092,0.009469245,0.010746054,0.003841963,0.003469612,0.004216862,0.104892686,0.10237195,0.107113502
Logistic_L2,WA_clean,0,0.919254044,0.908761296,0.929195726,0.017816559,0.017078564,0.018507051,0.07336795,0.069704099,0.076818749,0.006848094,0.006271179,0.007451608,0.0053012,0.004590704,0.006252373,9.50E-05,5.43E-05,0.000146954,0.004139192,0.003791687,0.004529532,0.024777895,0.024688581,0.024866635
Logistic_L2,WB_noise_outliers,1,0.88602693,0.873129619,0.898512497,0.025003339,0.023789091,0.026335553,0.108868803,0.101343119,0.116483478,0.014939779,0.01316269,0.016749631,0.016701686,0.014609263,0.018858479,0.002354699,0.001753002,0.003024137,0.003119813,0.002787673,0.003468593,0.024777895,0.024689155,0.024864338
Logistic_L2,WC_missingness,2,0.898753667,0.888065872,0.9097608,0.018941229,0.018317009,0.019535239,0.079586438,0.076299317,0.08289545,0.007618023,0.006945328,0.008277259,0.007046216,0.006436893,0.007720295,0.000140075,0.000113673,0.000166576,0.003283627,0.002972204,0.003616702,0.024777895,0.024688581,0.024866061
Logistic_L2,WD_shift,3,0.916695323,0.905870738,0.926525798,0.018666049,0.017793137,0.019596151,0.077314028,0.073433776,0.081219814,0.01315801,0.011217069,0.01534254,0.012581771,0.010302601,0.015177219,0.00079644,0.000470832,0.001201133,0.004007191,0.003655522,0.0044058,0.024777895,0.024689155,0.024865487
Logistic_L2,WE_surrogate_corrupt,4,0.87135827,0.807009087,0.92111186,0.019101817,0.017800645,0.020388073,0.086808133,0.074573746,0.104132522,0.011169158,0.008195617,0.014439469,0.010816113,0.007475526,0.014499704,0.000600797,0.000209229,0.001110952,0.003566179,0.002756657,0.004272912,0.024777895,0.024689141,0.024865487
Logistic_L2,WF_nonlinear,5,0.862900916,0.852898365,0.872666971,0.17733112,0.175034861,0.179560754,2.854250187,2.818149341,2.890935543,0.177310336,0.175084412,0.179602337,0.177200174,0.175052317,0.179359386,0.138486784,0.131726311,0.144880721,0.001684248,0.001546319,0.001823652,0.024777895,0.024688581,0.024866061
Logistic_L2,WH_subgroup_shift,6,0.916215007,0.906720318,0.926169055,0.01842553,0.017521388,0.01930949,0.07604667,0.072170083,0.07968232,0.009736843,0.008292984,0.011155546,0.009604698,0.0078495,0.011599296,0.000513787,0.000262555,0.000811554,0.003943022,0.003564114,0.004347274,0.024777895,0.024689155,0.024866061
Logistic_L2,WI_prevalence_shift,7,0.918006551,0.906265365,0.929016218,0.201174342,0.192948933,0.209074324,0.736454045,0.688001403,0.782038482,0.225132454,0.217473265,0.232417318,0.224653174,0.217196846,0.231458478,0.099489071,0.093848348,0.1050699,0.126252176,0.119363771,0.13388077,0.22753514,0.227527686,0.227542593
Logistic_L2,WJ_concept_drift,8,0.92130226,0.909425287,0.931918009,0.017671113,0.016917246,0.018390218,0.07262307,0.068503151,0.07639529,0.007040631,0.006483036,0.007582195,0.005110652,0.004371539,0.005916557,9.56E-05,5.38E-05,0.00015183,0.004190318,0.003798185,0.004608527,0.024777895,0.024689155,0.024865487
Logistic_L2,WG_label_noise,9,0.577836753,0.570638514,0.584322303,0.109597431,0.106639281,0.112603041,0.615848157,0.597124801,0.63433495,0.098656621,0.095970328,0.101277265,0.09368872,0.09074285,0.096612036,0.009423473,0.008818212,0.010025478,0.003092615,0.002692684,0.003551375,0.104892686,0.102411387,0.107146385
MLP,WA_clean,0,0.875402979,0.862156673,0.890517011,0.021090918,0.020168745,0.021988727,0.191122875,0.180174837,0.200906233,0.02136379,0.020246912,0.02239647,0.011104839,0.009703197,0.012682886,0.000360579,0.000247014,0.000496331,0.003857629,0.003484062,0.004228923,0.024777895,0.024689155,0.024864913
MLP,WB_noise_outliers,1,0.846822068,0.835485291,0.859619894,0.02545439,0.02440269,0.026493045,0.238461877,0.225711443,0.25098521,0.025754049,0.024604274,0.027054044,0.017004016,0.01505006,0.019226161,0.001129015,0.000758573,0.001613119,0.00317818,0.002878441,0.003485565,0.024777895,0.024688581,0.024865487
MLP,WC_missingness,2,0.848293802,0.836587812,0.860679938,0.021286387,0.020350487,0.022195882,0.216334129,0.205741852,0.226861977,0.021382952,0.020377535,0.022372605,0.012883081,0.012180814,0.013564151,0.000433876,0.000394889,0.000472391,0.003053461,0.002761251,0.003377341,0.024777895,0.024689155,0.024845885
MLP,WD_shift,3,0.90145003,0.889334076,0.913469373,0.027562575,0.025324748,0.030006472,0.192525417,0.176994473,0.208035561,0.028338801,0.025715056,0.031110673,0.025048891,0.021786045,0.028636246,0.00497268,0.003216475,0.006975673,0.003861894,0.003558218,0.004183487,0.024777895,0.024689155,0.024866061
MLP,WE_surrogate_corrupt,4,0.86772323,0.84978629,0.883929339,0.024181136,0.021437478,0.028295939,0.210120793,0.190890413,0.234075035,0.024434716,0.021484872,0.02885397,0.01606355,0.011767322,0.021574546,0.001950437,0.000524728,0.004270057,0.003518397,0.00307507,0.003935289,0.024777895,0.02468973,0.024865487
MLP,WF_nonlinear,5,0.865205127,0.854965809,0.877365861,0.16145015,0.144916285,0.17357903,2.424303413,2.094057631,2.709355196,0.162341171,0.147399464,0.173932747,0.16227105,0.146932379,0.173927076,0.13583387,0.118985192,0.14970771,0.002383171,0.002004281,0.002813986,0.024777895,0.024689155,0.024866061
MLP,WH_subgroup_shift,6,0.88815183,0.875709315,0.901086617,0.025338119,0.023423664,0.027450177,0.194717212,0.179699117,0.210608804,0.025486667,0.023156281,0.02799885,0.020250849,0.01729511,0.023435749,0.002580673,0.001574179,0.003789761,0.003713559,0.003416897,0.004047274,0.024777895,0.024689155,0.024865501
MLP,WI_prevalence_shift,7,0.874963051,0.86119379,0.890192246,0.208505949,0.200654658,0.216531588,2.191022289,2.046328596,2.321545839,0.215800327,0.208802507,0.223055374,0.210825462,0.203660728,0.217564118,0.095210404,0.088118667,0.102164237,0.117228672,0.109857556,0.125283019,0.22753514,0.227527686,0.227542593
MLP,WJ_concept_drift,8,0.882137413,0.867629451,0.898185747,0.020557495,0.019316889,0.021646365,0.18426185,0.1697073,0.197204822,0.020644675,0.019288756,0.021849527,0.01038187,0.008840168,0.012047425,0.000333374,0.000223518,0.000483201,0.004094759,0.003679859,0.004522761,0.024777895,0.024689155,0.024866061
MLP,WG_label_noise,9,0.57248423,0.56691518,0.578454995,0.115082723,0.11216154,0.117957871,1.647211751,1.600259677,1.689293847,0.115178338,0.112417863,0.117881364,0.101993453,0.098757484,0.104794094,0.010830375,0.010184832,0.011464429,0.002612774,0.002283066,0.00292719,0.104892686,0.102517967,0.107172702
RandomForest,WA_clean,0,0.959472345,0.955745693,0.962971601,0.018009869,0.017757995,0.018225767,0.065598481,0.064539163,0.066605443,0.010616435,0.009591525,0.011659255,0.011148808,0.010260169,0.012047482,0.000825609,0.000691915,0.000955903,0.005291217,0.005001437,0.005618222,0.024777895,0.024689155,0.02484646
RandomForest,WB_noise_outliers,1,0.953935989,0.949556351,0.958240101,0.018730046,0.018438534,0.018990525,0.070495899,0.069328717,0.071623045,0.013737431,0.012813762,0.014630332,0.014069439,0.013276386,0.014845969,0.000959469,0.000820422,0.00108679,0.004884633,0.004609921,0.005165371,0.024777895,0.02468973,0.024866635
RandomForest,WC_missingness,2,0.953773408,0.949132846,0.957754331,0.019379481,0.019177443,0.019548761,0.070065925,0.068959422,0.071102667,0.009722625,0.008817893,0.010750059,0.012314183,0.011485149,0.01311048,0.001170402,0.001008389,0.001336337,0.004804717,0.004535097,0.005092259,0.024777895,0.024689155,0.024866061
RandomForest,WD_shift,3,0.950006638,0.946163987,0.953921694,0.018862578,0.018492092,0.019205356,0.075521539,0.074045152,0.077017049,0.018964616,0.017758018,0.02014914,0.015767655,0.014612449,0.016936022,0.000519843,0.000450577,0.000588367,0.004575905,0.004233662,0.004937783,0.024777895,0.02468973,0.024866635
RandomForest,WE_surrogate_corrupt,4,0.958532468,0.954460295,0.962099832,0.01823885,0.017874697,0.018632051,0.066899512,0.06544109,0.068378568,0.011545506,0.010591883,0.012447662,0.012075226,0.011229292,0.012926608,0.000863116,0.000713755,0.001040475,0.005146621,0.004898992,0.005424691,0.024777895,0.024688581,0.024846474
RandomForest,WF_nonlinear,5,0.832564386,0.791149515,0.863902385,0.025016349,0.024800917,0.025226546,0.121264131,0.119051377,0.123303367,0.034241749,0.032462221,0.035875338,0.037838989,0.035208791,0.040500282,0.001754554,0.001541721,0.001963736,0.001459917,0.001149962,0.001764576,0.024777895,0.024689155,0.02484646
RandomForest,WH_subgroup_shift,6,0.947208349,0.941527369,0.95194227,0.018730544,0.018394457,0.019081865,0.07269732,0.071060396,0.07440929,0.013704009,0.013027564,0.014436797,0.01125205,0.010477453,0.011974402,0.000294564,0.000250406,0.000345102,0.004396619,0.004116632,0.004688907,0.024777895,0.024689155,0.024864338
RandomForest,WI_prevalence_shift,7,0.959180733,0.954950751,0.963017982,0.228057976,0.224230595,0.23172921,0.686675236,0.670956416,0.70078872,0.264733634,0.261733756,0.267520678,0.266843444,0.264166937,0.269670123,0.154096267,0.149685849,0.15854698,0.154085398,0.14996136,0.158280466,0.22753514,0.227527686,0.227542593
RandomForest,WJ_concept_drift,8,0.962354123,0.9587576,0.965983589,0.017785205,0.017496405,0.018055156,0.064501071,0.063198753,0.065674742,0.011089181,0.010147831,0.012044119,0.011675686,0.010860634,0.012516402,0.000841103,0.00071235,0.000980576,0.005397794,0.005076287,0.005743467,0.024777895,0.024689155,0.02484646
RandomForest,WG_label_noise,9,0.58179852,0.573502755,0.58954065,0.109714426,0.106649843,0.112654523,0.811352481,0.782373989,0.841257925,0.098107852,0.094869512,0.101286663,0.09778102,0.094681328,0.100756307,0.010178193,0.009519647,0.01079783,0.003597354,0.003287136,0.003932127,0.104892686,0.102402367,0.107126508
SVC_RBF,WA_clean,0,0.931025409,0.923670254,0.938713294,0.01745511,0.016991137,0.017918305,0.069555379,0.067364242,0.071534992,0.006245577,0.005469906,0.007141773,0.005381525,0.004487003,0.006307775,0.000101973,5.41E-05,0.000159934,0.004169093,0.003847737,0.004496969,0.024777895,0.024688581,0.024866635
SVC_RBF,WB_noise_outliers,1,0.898041617,0.887236761,0.909086714,0.02274374,0.02211537,0.023373406,0.090312011,0.087664658,0.09303014,0.022447914,0.021514952,0.02334873,0.023002563,0.02201744,0.024082088,0.002910782,0.002603034,0.003230269,0.002808786,0.002523979,0.003111472,0.024777895,0.024709331,0.02484646
SVC_RBF,WC_missingness,2,0.911743093,0.902980951,0.920512427,0.018327063,0.017793275,0.018821767,0.075184027,0.072794194,0.077416907,0.007560337,0.006845771,0.008295336,0.007041534,0.006467569,0.007548369,0.000176716,0.000124762,0.000230636,0.003726704,0.003407904,0.004067812,0.024777895,0.024689155,0.024866635
SVC_RBF,WD_shift,3,0.935145598,0.928979791,0.941482634,0.018649482,0.017949427,0.019401163,0.073410011,0.071039579,0.07591602,0.013577209,0.012065125,0.015372278,0.012579924,0.010854441,0.014429658,0.000758817,0.000480589,0.001130273,0.004299034,0.004007451,0.004618935,0.024777895,0.024688581,0.024863248
SVC_RBF,WE_surrogate_corrupt,4,0.924930376,0.918454371,0.932316247,0.018696081,0.01742272,0.020301188,0.074517006,0.07020268,0.079390622,0.010854933,0.007131976,0.015161489,0.010601679,0.007142469,0.015442606,0.000712377,0.00016863,0.001408553,0.003931952,0.003543639,0.004323218,0.024777895,0.024689155,0.024865501
SVC_RBF,WF_nonlinear,5,0.406005214,0.296889462,0.536198723,0.141851967,0.135077852,0.149066691,0.465683018,0.450239561,0.480773511,0.335512805,0.324740375,0.345397819,0.335512805,0.324526611,0.345481398,0.116726373,0.109751241,0.123758879,0.001618566,0.001501304,0.001749211,0.024777895,0.024689155,0.024866061
SVC_RBF,WH_subgroup_shift,6,0.930708327,0.923819462,0.938335684,0.018429586,0.017668286,0.019240807,0.072867674,0.069835255,0.075725456,0.010966623,0.009744885,0.012359568,0.009693969,0.008288116,0.011251101,0.000502783,0.000287813,0.000790072,0.00414365,0.003830549,0.004484248,0.024777895,0.024689155,0.024864913
SVC_RBF,WI_prevalence_shift,7,0.930295801,0.922773946,0.938240145,0.196521401,0.187742413,0.204668596,0.692277087,0.657066439,0.726373945,0.22541722,0.217680859,0.232566598,0.226402815,0.218565159,0.234027285,0.102225838,0.096143202,0.108569357,0.133527803,0.128294119,0.139036874,0.22753514,0.227527686,0.227542593
SVC_RBF,WJ_concept_drift,8,0.93410855,0.925508118,0.942653431,0.017227794,0.016768964,0.017689926,0.068387531,0.066062136,0.070440863,0.006176973,0.005401626,0.007049333,0.005611788,0.004880989,0.006313727,9.38E-05,6.33E-05,0.000132941,0.004384628,0.004014274,0.004752591,0.024777895,0.024689155,0.024866635
SVC_RBF,WG_label_noise,9,0.580485311,0.573030506,0.58790117,0.109153787,0.106015439,0.112048539,0.571698726,0.553362109,0.588821277,0.097453705,0.094205715,0.100496494,0.093645143,0.0902499,0.096822433,0.009487498,0.008797388,0.01008997,0.002967598,0.002670166,0.003314418,0.104892686,0.102437264,0.10707131
