bin,p_mean,y_mean,count,fold,model,world
5,0.37801508119483274,0.8888888888888888,36,2,Logistic_L2,WI_prevalence_shift
6,0.42056622639787467,1.0,17,2,Logistic_L2,WI_prevalence_shift
7,0.5008980359953832,1.0,41,2,Logistic_L2,WI_prevalence_shift
8,0.557666348489537,0.9285714285714286,14,2,Logistic_L2,WI_prevalence_shift
9,0.616714966445553,0.9090909090909091,11,2,Logistic_L2,WI_prevalence_shift
10,0.7024270696881102,0.0,1,2,Logistic_L2,WI_prevalence_shift
11,0.7747929580865787,0.9722222222222222,36,2,Logistic_L2,WI_prevalence_shift
12,0.8391123497889358,1.0,22,2,Logistic_L2,WI_prevalence_shift
13,0.8910223065107262,1.0,29,2,Logistic_L2,WI_prevalence_shift
14,0.9804531178132256,1.0,127,2,Logistic_L2,WI_prevalence_shift
0,0.008855209135232231,0.003849114703618168,2598,2,RandomForest,WA_clean
1,0.09237767584097858,0.1834862385321101,109,2,RandomForest,WA_clean
2,0.16102040816326532,0.2653061224489796,49,2,RandomForest,WA_clean
3,0.22854838709677414,0.41935483870967744,31,2,RandomForest,WA_clean
4,0.29363636363636364,0.09090909090909091,11,2,RandomForest,WA_clean
5,0.3656944444444445,0.5,6,2,RandomForest,WA_clean
6,0.4575,1.0,2,2,RandomForest,WA_clean
7,0.4958333333333334,0.8,5,2,RandomForest,WA_clean
8,0.5533333333333333,1.0,1,2,RandomForest,WA_clean
9,0.655,1.0,1,2,RandomForest,WA_clean
10,0.7145833333333333,1.0,2,2,RandomForest,WA_clean
11,0.7725,1.0,1,2,RandomForest,WA_clean
0,0.011053685897435899,0.07425213675213675,1872,2,RandomForest,WI_prevalence_shift
1,0.10082854406130269,0.8362068965517241,348,2,RandomForest,WI_prevalence_shift
2,0.1676214405360134,0.8944723618090452,199,2,RandomForest,WI_prevalence_shift
3,0.22222069597069602,0.9560439560439561,182,2,RandomForest,WI_prevalence_shift
4,0.28572463768115947,0.6521739130434783,23,2,RandomForest,WI_prevalence_shift
5,0.37038759689922485,0.9302325581395349,43,2,RandomForest,WI_prevalence_shift
6,0.45669354838709675,1.0,31,2,RandomForest,WI_prevalence_shift
7,0.48878048780487804,1.0,41,2,RandomForest,WI_prevalence_shift
8,0.5533333333333332,1.0,19,2,RandomForest,WI_prevalence_shift
9,0.6549999999999998,1.0,22,2,RandomForest,WI_prevalence_shift
10,0.7161594202898551,1.0,23,2,RandomForest,WI_prevalence_shift
11,0.7725000000000001,1.0,13,2,RandomForest,WI_prevalence_shift
0,0.008222950436643617,0.00989345509893455,2628,3,Logistic_L2,WA_clean
1,0.0951087252995488,0.13253012048192772,83,3,Logistic_L2,WA_clean
2,0.16341448663502414,0.1891891891891892,37,3,Logistic_L2,WA_clean
3,0.22804653429017588,0.06666666666666667,15,3,Logistic_L2,WA_clean
4,0.3003561979363986,0.2857142857142857,14,3,Logistic_L2,WA_clean
5,0.3617291809236931,0.25,4,3,Logistic_L2,WA_clean
6,0.43352168245638856,0.5,10,3,Logistic_L2,WA_clean
7,0.4897946049596342,0.6666666666666666,3,3,Logistic_L2,WA_clean
8,0.5658356993490951,0.5,4,3,Logistic_L2,WA_clean
9,0.6132202197534949,0.0,1,3,Logistic_L2,WA_clean
10,0.6778180547721475,0.5,2,3,Logistic_L2,WA_clean
11,0.7811797306127081,1.0,1,3,Logistic_L2,WA_clean
12,0.8462566958093349,1.0,2,3,Logistic_L2,WA_clean
13,0.8934154938930655,0.6666666666666666,3,3,Logistic_L2,WA_clean
14,0.9856334369562629,0.6666666666666666,9,3,Logistic_L2,WA_clean
0,0.010814651319923298,0.17848643503093764,2101,3,Logistic_L2,WI_prevalence_shift
1,0.09416391082585542,0.71,200,3,Logistic_L2,WI_prevalence_shift
2,0.15720052644969995,0.8230088495575221,113,3,Logistic_L2,WI_prevalence_shift
3,0.2481571500505843,0.696969696969697,33,3,Logistic_L2,WI_prevalence_shift
4,0.29738649934783223,0.9016393442622951,61,3,Logistic_L2,WI_prevalence_shift
5,0.36095213655137715,0.8181818181818182,11,3,Logistic_L2,WI_prevalence_shift
6,0.42871894759650814,0.972972972972973,74,3,Logistic_L2,WI_prevalence_shift
7,0.49380014798899446,0.972972972972973,37,3,Logistic_L2,WI_prevalence_shift
8,0.5667346297448235,0.9285714285714286,28,3,Logistic_L2,WI_prevalence_shift
9,0.6132202197534949,0.0,1,3,Logistic_L2,WI_prevalence_shift
10,0.6784795942953695,0.9,10,3,Logistic_L2,WI_prevalence_shift
11,0.7811797306127081,1.0,8,3,Logistic_L2,WI_prevalence_shift
12,0.8466597489828086,1.0,29,3,Logistic_L2,WI_prevalence_shift
13,0.8816078317407853,1.0,33,3,Logistic_L2,WI_prevalence_shift
14,0.9940924069079025,0.987012987012987,77,3,Logistic_L2,WI_prevalence_shift
0,0.008573767334360554,0.005778120184899846,2596,3,RandomForest,WA_clean
1,0.09422176308539947,0.1322314049586777,121,3,RandomForest,WA_clean
2,0.15496666666666667,0.24,50,3,RandomForest,WA_clean
3,0.22949074074074075,0.5,18,3,RandomForest,WA_clean
4,0.29442307692307695,0.3076923076923077,13,3,RandomForest,WA_clean
5,0.366,0.6,5,3,RandomForest,WA_clean
6,0.42562500000000003,0.75,4,3,RandomForest,WA_clean
7,0.4977777777777778,1.0,3,3,RandomForest,WA_clean
8,0.545,1.0,2,3,RandomForest,WA_clean
10,0.7066666666666667,1.0,4,3,RandomForest,WA_clean
0,0.012123056994818653,0.11191709844559586,1930,3,RandomForest,WI_prevalence_shift
1,0.10275520833333333,0.753125,320,3,RandomForest,WI_prevalence_shift
2,0.15635174418604653,0.8662790697674418,172,3,RandomForest,WI_prevalence_shift
3,0.22501282051282054,0.9538461538461539,130,3,RandomForest,WI_prevalence_shift
4,0.2964880952380952,0.8928571428571429,56,3,RandomForest,WI_prevalence_shift
5,0.36997807017543866,0.9473684210526315,38,3,RandomForest,WI_prevalence_shift
6,0.42669999999999997,1.0,50,3,RandomForest,WI_prevalence_shift
7,0.5000189393939394,1.0,44,3,RandomForest,WI_prevalence_shift
8,0.5415625000000001,1.0,32,3,RandomForest,WI_prevalence_shift
10,0.7071212121212122,1.0,44,3,RandomForest,WI_prevalence_shift
0,0.008357096278291938,0.0072270825408900724,2629,4,Logistic_L2,WA_clean
1,0.08956652504336168,0.14285714285714285,98,4,Logistic_L2,WA_clean
2,0.1659364607522664,0.3333333333333333,33,4,Logistic_L2,WA_clean
3,0.2353962107048643,0.09090909090909091,11,4,Logistic_L2,WA_clean
4,0.2893130078150263,0.2857142857142857,7,4,Logistic_L2,WA_clean
5,0.37891946508344126,0.16666666666666666,6,4,Logistic_L2,WA_clean
6,0.41201253643270364,0.5,2,4,Logistic_L2,WA_clean
8,0.5657579159182918,0.7142857142857143,7,4,Logistic_L2,WA_clean
9,0.6356522074717841,0.6666666666666666,6,4,Logistic_L2,WA_clean
10,0.6845712572998968,0.0,2,4,Logistic_L2,WA_clean
11,0.7707631865006735,1.0,4,4,Logistic_L2,WA_clean
12,0.8418993264014049,1.0,3,4,Logistic_L2,WA_clean
13,0.8898413066623212,0.0,1,4,Logistic_L2,WA_clean
14,0.9762478362684194,1.0,7,4,Logistic_L2,WA_clean
0,0.010221815730727656,0.12898406374501992,2008,4,Logistic_L2,WI_prevalence_shift
1,0.09837095731364108,0.8038461538461539,260,4,Logistic_L2,WI_prevalence_shift
2,0.17396529004042102,0.9302325581395349,172,4,Logistic_L2,WI_prevalence_shift
3,0.23760109147491737,0.6470588235294118,17,4,Logistic_L2,WI_prevalence_shift
4,0.2937286436922558,0.9210526315789473,38,4,Logistic_L2,WI_prevalence_shift
5,0.3760928042155415,0.8235294117647058,17,4,Logistic_L2,WI_prevalence_shift
6,0.4020938721480566,0.9333333333333333,15,4,Logistic_L2,WI_prevalence_shift
8,0.5619193306958956,0.9682539682539683,63,4,Logistic_L2,WI_prevalence_shift
9,0.635852279710754,0.9807692307692307,52,4,Logistic_L2,WI_prevalence_shift
10,0.6833796171395884,0.0,1,4,Logistic_L2,WI_prevalence_shift
11,0.7695286909700642,1.0,43,4,Logistic_L2,WI_prevalence_shift
12,0.8369048491465245,1.0,34,4,Logistic_L2,WI_prevalence_shift
