model,time_fit_s_mean,time_fit_s_std,time_pred_all_worlds_s_mean,time_pred_all_worlds_s_std,time_shap_s_mean,time_shap_s_std,time_total_s_mean,time_total_s_std
ExtraTrees,2.9374264266663888,0.0923902732713707,3.5046933666671976,0.18238256412415418,2491.9926678333336,103.63164892276744,2498.4347876266675,103.40315156301858
GaussianNB,0.0891760600005,0.004856236002607665,0.16353638000230905,0.007765936566553922,0.0,0.0,0.25271244000280907,0.012224891282494954
GradientBoosting,30.54922823333315,0.6024573435767773,0.3100574799967338,0.013255337386699343,1.4067989866667632,0.06777424418042594,32.26608469999665,0.6097372058441879
Logistic_L2,0.15571093999988078,0.01582232176410815,0.12290596000232958,0.007334184036251552,0.16027116666676497,0.025149158492597436,0.43888806666897534,0.025691271882717515
MLP,8.171237233333887,0.9068517430457915,0.2027907400004551,0.007744410290809719,0.0,0.0,8.374027973334341,0.9064023348269256
RandomForest,7.740751240000099,0.825056472297934,3.2655715999993844,0.3541941753396038,500.51473370000025,24.305174184065745,511.52105653999973,24.917816357995562
SVC_RBF,6.225590959999499,0.25786128110628537,3.984613400001399,0.129222901367865,0.0,0.0,10.210204360000898,0.3487205494904272
