model,n_pairs,ppv_standardized_pi_ref_mean_full,ppv_standardized_pi_ref_mean_demo,ppv_standardized_pi_ref_mean_diff_full_minus_demo,ppv_standardized_pi_ref_sd_diff,ppv_standardized_pi_ref_cohen_d_paired,ppv_standardized_pi_ref_diff_boot_mean,ppv_standardized_pi_ref_diff_boot_ci_low,ppv_standardized_pi_ref_diff_boot_ci_high,ppv_standardized_pi_ref_p_ttest,ppv_standardized_pi_ref_p_wilcoxon,ppv_observed_test_mean_full,ppv_observed_test_mean_demo,ppv_observed_test_mean_diff_full_minus_demo,ppv_observed_test_sd_diff,ppv_observed_test_cohen_d_paired,ppv_observed_test_diff_boot_mean,ppv_observed_test_diff_boot_ci_low,ppv_observed_test_diff_boot_ci_high,ppv_observed_test_p_ttest,ppv_observed_test_p_wilcoxon,sens_test_mean_full,sens_test_mean_demo,sens_test_mean_diff_full_minus_demo,sens_test_sd_diff,sens_test_cohen_d_paired,sens_test_diff_boot_mean,sens_test_diff_boot_ci_low,sens_test_diff_boot_ci_high,sens_test_p_ttest,sens_test_p_wilcoxon,spec_test_mean_full,spec_test_mean_demo,spec_test_mean_diff_full_minus_demo,spec_test_sd_diff,spec_test_cohen_d_paired,spec_test_diff_boot_mean,spec_test_diff_boot_ci_low,spec_test_diff_boot_ci_high,spec_test_p_ttest,spec_test_p_wilcoxon,thr_from_train_inner_oof_mean_full,thr_from_train_inner_oof_mean_demo,thr_from_train_inner_oof_mean_diff_full_minus_demo,thr_from_train_inner_oof_sd_diff,thr_from_train_inner_oof_cohen_d_paired,thr_from_train_inner_oof_diff_boot_mean,thr_from_train_inner_oof_diff_boot_ci_low,thr_from_train_inner_oof_diff_boot_ci_high,thr_from_train_inner_oof_p_ttest,thr_from_train_inner_oof_p_wilcoxon,pi_test_mean_full,pi_test_mean_demo,pi_test_mean_diff_full_minus_demo,pi_test_sd_diff,pi_test_cohen_d_paired,pi_test_diff_boot_mean,pi_test_diff_boot_ci_low,pi_test_diff_boot_ci_high,pi_test_p_ttest,pi_test_p_wilcoxon
Logistic_L2,15,0.9870624744887233,0.026795368814239957,0.9602671056744833,0.015494691184412076,61.97394283278962,0.9602671056744833,0.9524080702140113,0.967245625815652,1.0465608764917324e-26,6.103515625e-05,0.9870472260606071,0.47342491762991545,0.5136223084306919,0.048519821687610015,10.585824320163363,0.5136223084306919,0.48693313550793077,0.5338780537505672,5.515679476729035e-16,6.103515625e-05,0.8556468440271258,0.769927536231884,0.08571930779524166,0.1713118033199132,0.5003701212295726,0.08571930779524166,-0.0014463269147898749,0.1687235490236102,0.07306918981547265,0.0946044921875,0.999708516766061,0.254320987654321,0.7453875291117401,0.15713543030302363,4.743599375865248,0.7453875291117401,0.6663023139518626,0.8194372902730356,3.388649969827115e-11,0.0006533107814151376,0.9181687060312643,0.42961613315500724,0.48855257287625714,0.015924816007310643,30.678694978452256,0.48855257287625714,0.48060972255443307,0.4963832871638272,1.9626530637680803e-22,6.103515625e-05,0.02542432108626195,0.4642352941176471,-0.4388109730313851,0.00540438354599976,-81.19537950932187,-0.4388109730313851,-0.441635712628066,-0.4360335819195526,2.3852993755014735e-28,0.0005805787842419944
MLP,15,0.9854120147676259,0.025733646391532545,0.9596783683760932,0.02081108895577813,46.113798774073366,0.9596783683760932,0.9484802782163327,0.9692610396853515,6.553925945647539e-25,6.103515625e-05,0.9854209473235142,0.46202359817484595,0.5233973491486682,0.06644448991621126,7.877212238496976,0.5233973491486682,0.48945671945241975,0.5563793186562365,3.308391724053086e-14,6.103515625e-05,0.8788601982263954,0.775,0.10386019822639539,0.20269608849114956,0.5123936973797613,0.10386019822639539,0.007788650178040846,0.20685550906080583,0.06715765678096175,0.12054443359375,0.9996599170503486,0.21728395061728392,0.7823759664330647,0.1820009220818573,4.298747267231871,0.7823759664330647,0.6885245186937644,0.8664249884054586,1.2709917048984437e-10,0.0006533107814151376,0.9532194084705118,0.42160735123698495,0.5316120572335267,0.024021896999885387,22.130311242116434,0.5316120572335267,0.5194923105664161,0.5433031298109537,1.8885703092109714e-20,6.103515625e-05,0.02542432108626195,0.4642352941176471,-0.4388109730313851,0.00540438354599976,-81.19537950932187,-0.4388109730313851,-0.441635712628066,-0.4360335819195526,2.3852993755014735e-28,0.0005805787842419944
ExtraTrees,15,0.988433806101667,0.030829957648842818,0.957603848452824,0.012262285927957693,78.09342027080874,0.957603848452824,0.9512326730964292,0.963468959554858,4.11477806487118e-28,6.103515625e-05,0.9884439166153227,0.5119855573276626,0.4764583592876601,0.03188383118583946,14.943573013875106,0.4764583592876601,0.4612055190304109,0.49192342114185633,4.540829727825603e-18,0.0006533107814151376,0.8641105894627022,0.7841787439613526,0.07993184550134949,0.10990932783126486,0.7272526097517634,0.07993184550134949,0.024708840806513796,0.13085714771722118,0.013723333701076708,0.01806640625,0.9997327944969295,0.35061728395061725,0.6491155105463126,0.10459407574806387,6.206044710503867,0.6491155105463126,0.6096336594703802,0.7057853977222774,8.784734063178766e-13,0.0006451158437926242,0.9523188249003521,0.42074908667872596,0.5315697382216262,0.017972035861490963,29.577602800171974,0.5315697382216262,0.5233924219679853,0.5405496380393031,3.2723830540959103e-22,6.103515625e-05,0.02542432108626195,0.4642352941176471,-0.4388109730313851,0.00540438354599976,-81.19537950932187,-0.4388109730313851,-0.441635712628066,-0.4360335819195526,2.3852993755014735e-28,0.0005805787842419944
RandomForest,15,0.9891538634709278,0.04471093306525504,0.9444429304056727,0.01904771499941263,49.58300407344379,0.9444429304056727,0.9344723328812388,0.9529673893677266,2.3748888380334336e-25,6.103515625e-05,0.9891538376149399,0.5956411045457948,0.3935127330691452,0.07049728732188952,5.581955675434321,0.3935127330691452,0.35724626477982685,0.4249262089515151,3.734633495836323e-12,6.103515625e-05,0.8426056338028171,0.7528985507246376,0.0897070830781792,0.12774123583741182,0.702256264315133,0.0897070830781792,0.02639458733074776,0.15066074992628872,0.01659911889126904,0.01985307238846635,0.9997570899293884,0.5506172839506172,0.4491398059787712,0.12274229066592537,3.6592099067241652,0.4491398059787712,0.3874350912192443,0.5083747611760465,1.0761489641672827e-09,0.0006500242387180628,0.9334849001535804,0.41585366098185994,0.5176312391717206,0.022068637171866048,23.455514499627412,0.5176312391717206,0.5066556776634227,0.5281174668349659,8.377690426844242e-21,6.103515625e-05,0.02542432108626195,0.4642352941176471,-0.4388109730313851,0.00540438354599976,-81.19537950932187,-0.4388109730313851,-0.441635712628066,-0.4360335819195526,2.3852993755014735e-28,0.0005805787842419944
GradientBoosting,15,0.9865817232137064,0.04393772455348498,0.9426439986602214,0.013929235567664094,67.67377822574228,0.9426439986602214,0.9357262199774736,0.9492419884132153,3.0543448608304174e-27,6.103515625e-05,0.9865873778825293,0.5925589031945768,0.39402847468795255,0.06737986103079788,5.847867132107184,0.39402847468795255,0.36163490932670506,0.42756299706597,1.9800230103901805e-12,6.103515625e-05,0.8603416797078769,0.8008454106280194,0.059496269079857576,0.11055897390878734,0.5381405685706057,0.059496269079857576,0.0021260291215894184,0.11041880712617087,0.055942003386992456,0.030874206962359277,0.9996842124828073,0.5135802469135803,0.48610396556922714,0.12495561290708135,3.890213126565995,0.48610396556922714,0.4268440980390769,0.5477837613577828,4.799090358060669e-10,0.0006483852534615971,0.9684295320169576,0.40418696658267017,0.5642425654342875,0.021693733021386868,26.00947309889111,0.5642425654342875,0.5535943874133051,0.5748328648459788,1.9752113934426996e-21,6.103515625e-05,0.02542432108626195,0.4642352941176471,-0.4388109730313851,0.00540438354599976,-81.19537950932187,-0.4388109730313851,-0.441635712628066,-0.4360335819195526,2.3852993755014735e-28,0.0005805787842419944
SVC_RBF,15,0.9249639965006352,0.029116442218495443,0.8958475542821399,0.039950434975952194,22.423974978529955,0.8958475542821399,0.8759679034506495,0.915421728388749,1.570808083482505e-20,6.103515625e-05,0.9249228296673581,0.49610484185162684,0.42881798781573105,0.06962204252030131,6.159227340833769,0.42881798781573105,0.39332421428458136,0.46156218901938095,9.744082188950766e-13,6.103515625e-05,0.8371544079290559,0.8107487922705315,0.026405615658524426,0.12778166201699795,0.20664636256657753,0.026405615658524426,-0.03319727949014536,0.08977630071896754,0.43688621994380916,0.52447509765625,0.9981782762545559,0.2765432098765432,0.7216350663780128,0.16789403632286853,4.298157827299314,0.7216350663780128,0.639837066303666,0.805925696026524,1.27332385386378e-10,6.103515625e-05,0.444148274719199,0.42989440747335983,0.014253867245839113,0.031897447653587714,0.4468654483154513,0.014253867245839113,-0.0009001118279204297,0.03027093062846778,0.10547468503195284,0.1688232421875,0.02542432108626195,0.4642352941176471,-0.4388109730313851,0.00540438354599976,-81.19537950932187,-0.4388109730313851,-0.441635712628066,-0.4360335819195526,2.3852993755014735e-28,0.0005805787842419944
GaussianNB,15,0.20439702478548188,0.029477561637165906,0.17583324471048317,0.3366546021582252,,0.17583324471048317,0.036131370204414016,0.38220123664841293,0.08413692403939685,0.000244140625,0.20448041568101483,0.4934048890404176,-0.2801398331340747,0.32075385100226467,,-0.2801398331340747,-0.4223315616139343,-0.08948903125634831,0.008390270394241922,0.026611328125,0.7979003651538863,0.8059178743961354,-0.008017509242248982,0.19817737393967993,-0.04045622909853122,-0.008017509242248982,-0.09574320723050059,0.09798353121952327,0.8777291991472473,0.4954339467055269,0.7451439935849435,0.22469135802469134,0.5204526355602525,0.274700953566219,1.8946153218750765,0.5204526355602525,0.3737229451846659,0.6436919402594937,3.688327597051894e-06,0.0001220703125,0.07872684138007831,0.4331228108920879,-0.35439596951200963,0.07958655672648852,-4.452962712408152,-0.35439596951200963,-0.38047289160441344,-0.3109183741038172,7.92844186942469e-11,6.103515625e-05,0.02542432108626195,0.4642352941176471,-0.4388109730313851,0.00540438354599976,-81.19537950932187,-0.4388109730313851,-0.441635712628066,-0.4360335819195526,2.3852993755014735e-28,0.0005805787842419944
