fold,model,ppv_standardized_pi_ref_full,ppv_observed_test_full,sens_test_full,spec_test_full,thr_from_train_inner_oof_full,pi_test_full,ppv_standardized_pi_ref_demo,ppv_observed_test_demo,sens_test_demo,spec_test_demo,thr_from_train_inner_oof_demo,pi_test_demo
1,Logistic_L2,1.0,1.0,0.9305555555555556,1.0,0.8983924196726031,0.0255591054313099,0.0221755109873515,0.4358974358974359,0.7083333333333334,0.1851851851851851,0.4118784750821818,0.4705882352941176
1,RandomForest,1.0,1.0,0.875,1.0,0.9148544090183494,0.0255591054313099,0.0554427504560002,0.6666666666666666,0.75,0.6666666666666666,0.420727281945269,0.4705882352941176
1,ExtraTrees,1.0,1.0,0.8888888888888888,1.0,0.948839271187475,0.0255591054313099,0.026879679646276,0.4848484848484848,0.6666666666666666,0.3703703703703703,0.4285265340268186,0.4705882352941176
1,GradientBoosting,1.0,1.0,0.8055555555555556,1.0,0.9721462096473632,0.0255591054313099,0.0358423820447336,0.5588235294117647,0.7916666666666666,0.4444444444444444,0.387965006240016,0.4705882352941176
1,SVC_RBF,0.9162512949375744,0.9166666666666666,0.9166666666666666,0.9978142076502732,0.4655205849289271,0.0255591054313099,0.0348620180369286,0.5517241379310345,0.6666666666666666,0.5185185185185185,0.446544162241631,0.4705882352941176
1,MLP,1.0,1.0,0.9444444444444444,1.0,0.9110218176557544,0.0255591054313099,0.022645211894148,0.4411764705882353,0.625,0.2962962962962963,0.4176067713853198,0.4705882352941176
1,GaussianNB,0.0609877373609712,0.061299176578225,0.9305555555555556,0.6262295081967213,0.0567378479460237,0.0255591054313099,0.0206936711534591,0.4186046511627907,0.75,0.074074074074074,0.4382310296530721,0.4705882352941176
2,Logistic_L2,0.9685160636634488,0.9682539682539684,0.8591549295774648,0.9992714025500912,0.9286024612404804,0.0252130681818181,0.0260971792274753,0.4772727272727273,0.875,0.1481481481481481,0.4341138322372526,0.4705882352941176
2,RandomForest,0.984744528355482,0.9846153846153848,0.9014084507042254,0.9996357012750456,0.94535482898062,0.0252130681818181,0.0619438024155476,0.6923076923076923,0.75,0.7037037037037037,0.4465072878307112,0.4705882352941176
2,ExtraTrees,0.969485054321528,0.9692307692307692,0.8873239436619719,0.9992714025500912,0.9616836751152956,0.0252130681818181,0.0317595533388048,0.5277777777777778,0.7916666666666666,0.3703703703703703,0.4163110897582989,0.4705882352941176
2,GradientBoosting,0.969947521445401,0.9696969696969696,0.9014084507042254,0.9992714025500912,0.9737055660655832,0.0252130681818181,0.0421665198007276,0.6,0.75,0.5555555555555556,0.3863296299982003,0.4705882352941176
2,SVC_RBF,0.9224893481155702,0.921875,0.8309859154929577,0.9981785063752276,0.4219748035026198,0.0252130681818181,0.0259871403176528,0.4761904761904761,0.8333333333333334,0.1851851851851851,0.4168379160052106,0.4705882352941176
2,MLP,0.969485054321528,0.9692307692307692,0.8873239436619719,0.9992714025500912,0.9606395229327154,0.0252130681818181,0.0245386001878601,0.4615384615384615,0.75,0.2222222222222222,0.4004965321263792,0.4705882352941176
2,GaussianNB,0.9685160636634488,0.9682539682539684,0.8591549295774648,0.9992714025500912,0.3560987383839268,0.0252130681818181,0.0254243306583339,0.4705882352941176,1.0,0.0,0.4281787290312453,0.4705882352941176
3,Logistic_L2,1.0,1.0,0.7887323943661971,1.0,0.9262566014287744,0.0252130681818181,0.0255782065706124,0.4615384615384615,0.782608695652174,0.2222222222222222,0.4251645031248677,0.46
3,RandomForest,1.0,1.0,0.7887323943661971,1.0,0.9314107807782788,0.0252130681818181,0.0373425531746172,0.5588235294117647,0.8260869565217391,0.4444444444444444,0.3905020863494367,0.46
3,ExtraTrees,1.0,1.0,0.7746478873239436,1.0,0.9494975356473648,0.0252130681818181,0.0335436111650363,0.53125,0.7391304347826086,0.4444444444444444,0.4173634296589239,0.46
3,GradientBoosting,1.0,1.0,0.6901408450704225,1.0,0.9671575445692542,0.0252130681818181,0.05086687646315,0.6363636363636364,0.9130434782608696,0.5555555555555556,0.3893613781785561,0.46
3,SVC_RBF,0.967483514870606,0.9672131147540984,0.8309859154929577,0.9992714025500912,0.4163137800958723,0.0252130681818181,0.0312296505274163,0.5128205128205128,0.8695652173913043,0.2962962962962963,0.411892608431176,0.46
3,MLP,1.0,1.0,0.8450704225352113,1.0,0.9491831565861698,0.0252130681818181,0.0260971792274753,0.4666666666666667,0.9130434782608696,0.1111111111111111,0.4223376495742843,0.46
3,GaussianNB,0.0678565702173081,0.0673170731707317,0.971830985915493,0.6517304189435337,0.0578804500592205,0.0252130681818181,0.0246743268045756,0.4523809523809524,0.8260869565217391,0.1481481481481481,0.4008745308633417,0.46
4,Logistic_L2,1.0,1.0,0.9305555555555556,1.0,0.9070145805364308,0.0255681818181818,0.0224527182825737,0.4285714285714285,0.782608695652174,0.1111111111111111,0.4402803985227864,0.46
4,RandomForest,1.0,1.0,0.8333333333333334,1.0,0.9273157330412368,0.0255681818181818,0.05086687646315,0.6363636363636364,0.9130434782608696,0.5555555555555556,0.3990757108407435,0.46
4,ExtraTrees,1.0,1.0,0.9027777777777778,1.0,0.9444840695881224,0.0255681818181818,0.0364513738356978,0.5526315789473685,0.9130434782608696,0.3703703703703703,0.4287896942922889,0.46
4,GradientBoosting,1.0,1.0,0.9444444444444444,1.0,0.9615674861690792,0.0255681818181818,0.052744173026643,0.6451612903225806,0.8695652173913043,0.5925925925925926,0.405928020490076,0.46
