model,R_mean_full,R_ci_lo_full,R_ci_hi_full,Q_label_mean_full,Q_label_ci_lo_full,Q_label_ci_hi_full,S_drop_mean_full,S_drop_ci_lo_full,S_drop_ci_hi_full,S_ratio_mean_full,S_ratio_ci_lo_full,S_ratio_ci_hi_full,C_exp_mean_full,C_exp_ci_lo_full,C_exp_ci_hi_full,C_linear_mean_full,C_linear_ci_lo_full,C_linear_ci_hi_full,E_cos_mean_full,E_cos_ci_lo_full,E_cos_ci_hi_full,E_rank_mean_full,E_rank_ci_lo_full,E_rank_ci_hi_full,E_jaccard_mean_full,E_jaccard_ci_lo_full,E_jaccard_ci_hi_full,E_mix_mean_full,E_mix_ci_lo_full,E_mix_ci_hi_full,R_mean_demo,R_ci_lo_demo,R_ci_hi_demo,Q_label_mean_demo,Q_label_ci_lo_demo,Q_label_ci_hi_demo,S_drop_mean_demo,S_drop_ci_lo_demo,S_drop_ci_hi_demo,S_ratio_mean_demo,S_ratio_ci_lo_demo,S_ratio_ci_hi_demo,C_exp_mean_demo,C_exp_ci_lo_demo,C_exp_ci_hi_demo,C_linear_mean_demo,C_linear_ci_lo_demo,C_linear_ci_hi_demo,E_cos_mean_demo,E_cos_ci_lo_demo,E_cos_ci_hi_demo,E_rank_mean_demo,E_rank_ci_lo_demo,E_rank_ci_hi_demo,E_jaccard_mean_demo,E_jaccard_ci_lo_demo,E_jaccard_ci_hi_demo,E_mix_mean_demo,E_mix_ci_lo_demo,E_mix_ci_hi_demo,R_mean_delta,R_ci_lo_delta,R_ci_hi_delta,Q_label_mean_delta,Q_label_ci_lo_delta,Q_label_ci_hi_delta,S_drop_mean_delta,S_drop_ci_lo_delta,S_drop_ci_hi_delta,S_ratio_mean_delta,S_ratio_ci_lo_delta,S_ratio_ci_hi_delta,C_exp_mean_delta,C_exp_ci_lo_delta,C_exp_ci_hi_delta,C_linear_mean_delta,C_linear_ci_lo_delta,C_linear_ci_hi_delta,E_cos_mean_delta,E_cos_ci_lo_delta,E_cos_ci_hi_delta,E_rank_mean_delta,E_rank_ci_lo_delta,E_rank_ci_hi_delta,E_jaccard_mean_delta,E_jaccard_ci_lo_delta,E_jaccard_ci_hi_delta,E_mix_mean_delta,E_mix_ci_lo_delta,E_mix_ci_hi_delta
ExtraTrees,0.9564424683455054,0.9523605394135294,0.960843215055098,0.6095918983787242,0.6005077282909769,0.6195197321695017,0.9921711436115144,0.9913239490415502,0.9930354066559623,0.9918196208872232,0.9909870042359048,0.9926215873237048,0.6253509029699239,0.5979912910859678,0.6501162608866932,0.9613062120756816,0.9607159875231216,0.9619276685901114,0.9407765790787442,0.9394024097191896,0.9420579907322796,0.9967038669973364,0.9964982229060144,0.9968939794220864,0.8283744033744035,0.8103225940725939,0.847105672105672,0.9219516164834948,0.91618138712346,0.9286971852052416,0.6282541599570585,0.5885508923778852,0.6680369363929147,0.9366794412636278,0.8917215972006821,0.9759714650287312,0.9898607718184258,0.9858600241990658,0.9935681319726556,0.9841935258872998,0.9779435638682608,0.9902621409045448,0.7907704217893019,0.753801567975412,0.8236466817377286,0.9636076055304048,0.957979858121274,0.9690114365347672,0.8974086949275194,0.8939143311853989,0.9008899609640818,0.990870289508649,0.9895856239002432,0.991940580293282,0.8383720446220446,0.814641885891886,0.8620912767787768,0.9088836763527378,0.9003490560743358,0.9172132006513372,0.3281883083884469,0.3638096470356442,0.29280627866218323,-0.3270875428849036,-0.29121386890970524,-0.3564517328592295,0.0023103717930885725,0.005463924842484369,-0.0005327253166932389,0.007626094999923394,0.013043440367644044,0.0023594464191599718,-0.165419518819378,-0.15581027688944415,-0.17353042085103543,-0.002301393454723244,0.0027361294018476423,-0.007083767944655817,0.043367884151224834,0.04548807853379078,0.04116802976819778,0.0058335774886874026,0.006912599005771236,0.0049533991288043255,-0.009997641247641131,-0.004319291819292137,-0.014985604673104835,0.013067940130756961,0.015832331049124182,0.011483984553904425
GaussianNB,0.6096025107485288,0.6040812178173829,0.6149706004573843,0.8534813589273648,0.8432333649092616,0.8641284132094476,0.9959765351781956,0.9955294351778124,0.996449750302929,0.9934032242702944,0.9926664172000385,0.9941583364378468,0.9562603917880196,0.9546127777570312,0.957879178422232,0.9626990712855698,0.9613860473908036,0.963989338761219,,,,,,,,,,,,,0.5469851494006084,0.5155013754696727,0.5777781132581858,0.9356500284025924,0.8994631145005678,0.968369144877418,0.9934709825966996,0.99077059206383,0.9959266267495812,0.9883085822746082,0.984012027038298,0.9925564548556997,0.9468612398433752,0.93438582034828,0.9590589442715192,0.9724483815886183,0.9640346909005254,0.9797100451377266,,,,,,,,,,,,,0.0626173613479204,0.08857984234771021,0.03719248719919843,-0.08216866947522761,-0.05622974959130622,-0.10424073166797043,0.0025055525814959845,0.004758843113982447,0.0005231235533478262,0.005094641995686211,0.00865439016174041,0.0016018815821471355,0.009399151944644357,0.020226957408751245,-0.00117976584928714,-0.009749310303048597,-0.0026486435097218264,-0.015720706376507687,,,,,,,,,,,,
GradientBoosting,0.9585266185931992,0.954773590150136,0.9622791838864236,0.6084823164483637,0.599398326754593,0.6174937540900821,0.9816295722813712,0.9782418518861952,0.9846775929029268,0.9808454978990272,0.9772157692404568,0.984138515906516,0.4631659841789237,0.4192146684394331,0.509423222041682,0.9112373133943702,0.8957755895405941,0.9266190666295196,0.8457726089845822,0.8429049655048516,0.8483711939805119,0.9947130695768336,0.994311987260425,0.9950993707504772,0.872506023230661,0.8598427793355329,0.8860283436370393,0.9043305672640256,0.900424728383528,0.908776680290816,0.7153068527464661,0.6755803811057434,0.7528191536947576,0.9314362398197884,0.9044245969317444,0.9573824437954812,0.9446598254078628,0.9359831069094732,0.9544544135497488,0.9238162199429688,0.9128251028623868,0.9362073579824232,0.8337107769069316,0.8050081197383974,0.862835607229827,0.9517687387323568,0.9443866912458664,0.959348514931436,0.8359455699139406,0.8310613245154514,0.8413970727630715,0.9943259754431856,0.993699917589831,0.9949639143325936,0.8792746732601805,0.8652603732150835,0.8919380559054474,0.9031820728724358,0.8985220244851101,0.9076499100978463,0.2432197658467331,0.2791932090443926,0.20946003019166604,-0.3229539233714247,-0.30502627017715134,-0.3398886897053991,0.0369697468735084,0.042258744976721996,0.030223179353177976,0.05702927795605839,0.06439066637807,0.04793115792409286,-0.37054479272800794,-0.38579345129896425,-0.353412385188145,-0.04053142533798659,-0.048611101705272275,-0.032729448301916375,0.00982703907064153,0.011843640989400162,0.006974121217440343,0.0003870941336480138,0.0006120696705940176,0.00013545641788359486,-0.006768650029519541,-0.005417593879550653,-0.005909712268408085,0.001148494391589816,0.0019027038984179567,0.001126770192969695
Logistic_L2,0.9192540438451602,0.9091411390694828,0.9289334685458664,0.6289134321387607,0.6188045063724206,0.6397944959924857,0.9786975465368408,0.969015371990313,0.9856628804757716,0.9769236581352376,0.9666712707720612,0.9846531028507104,0.468905638594329,0.4165669632047082,0.5207196602499322,0.9482475057923871,0.9473029877505964,0.9493737442534902,0.873668196708058,0.8726353891418768,0.8746156256041515,0.9959036068287268,0.9954215096324104,0.996294009154733,0.9076049313005836,0.8996993694711085,0.9160199510634291,0.9257255782791228,0.9231199899551858,0.9286685387574206,0.6068080157452138,0.5770178028269816,0.6397166308820897,0.9563506310801252,0.9261233495731774,0.9825343286097112,0.948046957599343,0.9412593988521486,0.954831857918456,0.9144794058863394,0.904658019412766,0.923737361484769,0.8291670760417162,0.8081262263393548,0.8487126586019321,0.945663469602738,0.939018252804116,0.9509349871493608,0.8748090304489359,0.8703655792804759,0.8800162452180927,0.9943587808214878,0.9935521346524004,0.9950480190117786,0.9282197753936884,0.9171901703369096,0.9386067585795844,0.9324625288880374,0.9290399601237525,0.9355914371168286,0.31244602809994637,0.33212333624250123,0.2892168376637767,-0.32743719894136447,-0.30731884320075686,-0.3427398326172255,0.030650588937497836,0.027755973138164358,0.030831022557315513,0.06244425224889827,0.06201325135929514,0.060915741365941356,-0.36026143744738726,-0.3915592631346466,-0.3279929983519999,0.002584036189649197,0.00828473494648041,-0.0015612428958705626,-0.0011408337408779223,0.0022698098614009066,-0.005400619613941227,0.0015448260072390418,0.0018693749800099413,0.0012459901429543452,-0.020614844093104767,-0.017490800865801126,-0.02258680751615527,-0.006736950608914549,-0.005919970168566602,-0.0069228983594079585
MLP,0.8754029786679716,0.8625331141406665,0.8901119945540777,0.6544930412281159,0.6441906275595376,0.6650239007549196,0.9885340869110198,0.9841326867756583,0.9924024756217316,0.9871140934908912,0.982408229251751,0.9910055625081692,0.6508017258630632,0.6293207699209359,0.6715354991526851,0.9555254545979311,0.9536035061062615,0.9577497329228392,,,,,,,,,,,,,0.6062980855251389,0.5688346528896047,0.6409872070137771,0.9506253427935576,0.913255314770373,0.9818734235231664,0.9836690234165324,0.9770753829877378,0.9886199478111938,0.9723018208870384,0.9602016360146012,0.9820973041597966,0.8884317507990411,0.875603944241696,0.901198094264002,0.9559475039654478,0.948706523767071,0.9623743452676288,,,,,,,,,,,,,0.2691048931428327,0.2936984612510618,0.24912478754030065,-0.2961323015654417,-0.26906468721083543,-0.31684952276824685,0.004865063494487454,0.007057303787920577,0.0037825278105377835,0.01481227260385276,0.022206593237149796,0.00890825834837261,-0.23763002493597796,-0.24628317432076008,-0.22966259511131693,-0.00042204936751666366,0.004896982339190559,-0.004624612344789614,,,,,,,,,,,,
RandomForest,0.959472344563168,0.9558296314187602,0.9628171642847688,0.6064342247804938,0.5972279711882899,0.6145449621461889,0.9797157427365212,0.9743462928745164,0.9835624681691134,0.9788792144169952,0.973168945328344,0.9828699552284784,0.5910376825057956,0.5481055810624408,0.6309392776194178,0.9629663989553296,0.9621253105595302,0.9638001152398205,0.9302352874145388,0.928245556721642,0.9323888287159126,0.9980564808491644,0.9979732448582684,0.9981399218577762,0.868201243201243,0.8401301476301475,0.8907959401709399,0.932164337154982,0.922928947757804,0.9398063490499512,0.740025049203793,0.7008819779924853,0.7784744587582751,0.9278701367727684,0.8979402367487447,0.9558809146534992,0.9698669337294036,0.9621628596629538,0.9771586218401304,0.9605075920595012,0.9514525607576024,0.9692690893197442,0.7933242425023062,0.7683810404090173,0.8183334759341121,0.9568102859477124,0.9480896578159042,0.964122401960784,0.8635872111303844,0.858412494830595,0.8687358602697728,0.9956753920789412,0.9953037046132196,0.9960520759722076,0.8591595904095903,0.8387026688589189,0.8822493305305806,0.9061407312063052,0.8992624298736046,0.9135845981055344,0.21944729535937502,0.2549476534262749,0.18434270552649368,-0.3214359119922746,-0.30071226556045483,-0.3413359525073103,0.009848809007117598,0.012183433211562567,0.006403846328983054,0.01837162235749401,0.021716384570741543,0.013600865908734217,-0.20228655999651057,-0.22027545934657655,-0.18739419831469428,0.006156113007617203,0.01403565274362606,-0.0003222867209635716,0.06664807628415437,0.06983306189104699,0.06365296844613977,0.0023810887702232497,0.0026695402450488404,0.002087845885568651,0.009041652791652699,0.0014274787712286185,0.008546609640359248,0.02602360594867681,0.02366651788419938,0.02622175094441681
SVC_RBF,0.9310254087092512,0.9239616878254592,0.938789956023515,0.623618369054631,0.6134640874462712,0.632387338024884,0.9262111444380696,0.912288851253544,0.9416094711754198,0.9207456954055128,0.9063944117253768,0.9385075010246976,0.3793679266852557,0.3344760783967943,0.4210627038410549,0.9267326540458456,0.9251471878669112,0.9286073371513274,,,,,,,,,,,,,0.6585368581141527,0.6238161455537664,0.6945759527643586,0.9448327622693822,0.9107345250990024,0.9761337927467314,0.9876376772200672,0.9832022114830372,0.9917697488992684,0.9818239283761656,0.9758345911126072,0.987591298309033,0.7197412092911935,0.6505280517201042,0.7780436810402843,0.9576402631094504,0.950796781749593,0.9636965244878146,,,,,,,,,,,,,0.27248855059509847,0.30014554227169277,0.24421400325915643,-0.3212143932147512,-0.2972704376527312,-0.3437464547218474,-0.06142653278199761,-0.07091336022949324,-0.05016027772384857,-0.061078232970652846,-0.06944017938723035,-0.04908379728433543,-0.34037328260593774,-0.3160519733233099,-0.35698097719922944,-0.03090760906360479,-0.025649593882681843,-0.03508918733648725,,,,,,,,,,,,
