metric,world,mean_delta,ci_lower,ci_upper,n_models
Brier_ci_lo,WG_label_noise,-0.0881793207612418,-0.16249256424313757,0.029123691552316405,7
Brier_ci_lo,WH_subgroup_shift,-0.14066238988693888,-0.2351619585897459,0.02044970868929388,7
Brier_ci_lo,WI_prevalence_shift,0.000483954744084398,-0.041948372992323346,0.05299276032712519,7
Brier_ci_lo,WJ_concept_drift,-0.14387332050423154,-0.2414086943665816,0.018019079523509392,7
Brier_ci_hi,WA_clean,-0.17730329209623677,-0.2754512993510382,-0.021206499173873763,7
Brier_ci_hi,WB_noise_outliers,-0.17897290322606652,-0.2823931732069144,-0.017728209297273295,7
Brier_ci_hi,WC_missingness,-0.18083797408744975,-0.27974504613892986,-0.02462090543280676,7
Brier_ci_hi,WD_shift,-0.17051810808961676,-0.2653261457075249,-0.015720127051038348,7
Brier_ci_hi,WE_surrogate_corrupt,-0.17287895576822884,-0.2747394310507589,-0.01008701496386622,7
Brier_ci_hi,WF_nonlinear,-0.08749197884725742,-0.22466059545138684,0.0793442194609058,7
Brier_ci_hi,WG_label_noise,-0.11602927251478666,-0.19270619920556245,-0.002195430814494355,7
Brier_ci_hi,WH_subgroup_shift,-0.17069174274152576,-0.2662427395715907,-0.015092695258260689,7
Brier_ci_hi,WI_prevalence_shift,-0.02908368814277083,-0.07466626714789491,0.017205689643664267,7
Brier_ci_hi,WJ_concept_drift,-0.1753391078026742,-0.27273795869953477,-0.01984663357371842,7
LogLoss_mean,WA_clean,0.18048708184048692,-0.8495206998606055,2.041831509244126,7
LogLoss_mean,WB_noise_outliers,0.1508109935526672,-0.9298411996622288,2.0499811388279023,7
LogLoss_mean,WC_missingness,0.1703678890171247,-0.8325428718618526,1.9925177789330728,7
LogLoss_mean,WD_shift,0.19896912193326144,-0.8327098590443197,2.0725592299735256,7
LogLoss_mean,WE_surrogate_corrupt,0.2268093696302894,-0.8472221164568834,2.1747746886927115,7
LogLoss_mean,WF_nonlinear,0.045033171859080685,-1.815213939922389,2.589072030129338,7
LogLoss_mean,WG_label_noise,0.6230795940893713,-0.12571655360546208,1.9366649566725884,7
LogLoss_mean,WH_subgroup_shift,0.1975985582437298,-0.8342232905923631,2.0684872385653468,7
LogLoss_mean,WI_prevalence_shift,0.5458577558285408,-0.00591168489088602,1.3521725430667613,7
LogLoss_mean,WJ_concept_drift,0.18502919143014268,-0.8383377225913932,2.0385861447317652,7
LogLoss_ci_lo,WA_clean,0.3224948122908508,-0.7661608220519172,2.3456668114022716,7
LogLoss_ci_lo,WB_noise_outliers,0.2964682802198445,-0.8350021042541013,2.348718988477398,7
LogLoss_ci_lo,WC_missingness,0.3051575796002982,-0.7608771322268207,2.2910838338140125,7
LogLoss_ci_lo,WD_shift,0.337746355356726,-0.7495546795675663,2.3664460116800674,7
LogLoss_ci_lo,WE_surrogate_corrupt,0.36356406538343716,-0.7669474207564243,2.4695308352882215,7
LogLoss_ci_lo,WF_nonlinear,0.20474449351393048,-1.6245748033326952,2.90704082149636,7
LogLoss_ci_lo,WG_label_noise,0.7614964442078843,-0.08016016507234476,2.255078466600076,7
LogLoss_ci_lo,WH_subgroup_shift,0.33932040719652296,-0.7515835481186628,2.3772464894292518,7
LogLoss_ci_lo,WI_prevalence_shift,0.6332302237082158,0.011768906023180783,1.5736573478892952,7
LogLoss_ci_lo,WJ_concept_drift,0.3265343052580804,-0.7654774212783315,2.3528562311566503,7
LogLoss_ci_hi,WA_clean,0.04273754675277042,-0.942975956935946,1.7571863724985402,7
LogLoss_ci_hi,WB_noise_outliers,0.004416432387194247,-1.029509831684003,1.7554011940577243,7
LogLoss_ci_hi,WC_missingness,0.040363070378580716,-0.9085046191761144,1.708466671308982,7
LogLoss_ci_hi,WD_shift,0.06523012482242982,-0.9307173782530075,1.8101517485642415,7
LogLoss_ci_hi,WE_surrogate_corrupt,0.09539699227094049,-0.9297283475803432,1.9004460812714434,7
LogLoss_ci_hi,WF_nonlinear,-0.12877629893923145,-2.01638031597366,2.2440423504160725,7
LogLoss_ci_hi,WG_label_noise,0.4814561168417156,-0.1794943952752287,1.6309323966124145,7
LogLoss_ci_hi,WH_subgroup_shift,0.06887482119435638,-0.9248771494866294,1.8043393663514327,7
LogLoss_ci_hi,WI_prevalence_shift,0.4532446959658775,-0.032948247548868125,1.1351387896596032,7
LogLoss_ci_hi,WJ_concept_drift,0.05057173572451463,-0.9201841571137844,1.7518388147748478,7
ECE_mean,WA_clean,-0.13365784561447488,-0.2446419331878038,0.020962056255269847,7
ECE_mean,WB_noise_outliers,-0.13339671937011882,-0.24795448463977077,0.025601752639573865,7
ECE_mean,WC_missingness,-0.13656332137224775,-0.24987365193258465,0.016587619424086236,7
ECE_mean,WD_shift,-0.12048157172623473,-0.2285563535160582,0.03255741284963311,7
ECE_mean,WE_surrogate_corrupt,-0.13314445235388184,-0.2463625044237553,0.028850725575319626,7
ECE_mean,WF_nonlinear,0.029106286630054014,-0.13205342843193205,0.20095622650249076,7
ECE_mean,WG_label_noise,-0.07491029840606582,-0.16108933899616906,0.03521956068631293,7
ECE_mean,WH_subgroup_shift,-0.12344072225348786,-0.23540855053351575,0.027077483407833954,7
ECE_mean,WI_prevalence_shift,0.011650886816585255,-0.045481128378635036,0.06523502942633333,7
ECE_mean,WJ_concept_drift,-0.1305960232802574,-0.23852623344373372,0.022460161394123632,7
ECE_ci_lo,WA_clean,-0.1109205045794673,-0.22161025568923876,0.0440011956453705,7
ECE_ci_lo,WB_noise_outliers,-0.11312804287100009,-0.22723392929435882,0.04722840392433731,7
ECE_ci_lo,WC_missingness,-0.11519597551903361,-0.2291568777861527,0.03680148980424208,7
ECE_ci_lo,WD_shift,-0.09829696653592886,-0.20427937108427566,0.05474193342706728,7
ECE_ci_lo,WE_surrogate_corrupt,-0.11136946348248901,-0.22704337315158363,0.05147069887520699,7
ECE_ci_lo,WF_nonlinear,0.036806440192474456,-0.12236918357444675,0.21490138953670787,7
ECE_ci_lo,WG_label_noise,-0.054259087035828345,-0.13828634364566114,0.054702134226110234,7
ECE_ci_lo,WH_subgroup_shift,-0.10179425777002978,-0.21043475223226532,0.04942599462761562,7
ECE_ci_lo,WI_prevalence_shift,0.033900061544007216,-0.023925944349990107,0.09003832288116112,7
ECE_ci_lo,WJ_concept_drift,-0.10767534050488663,-0.21553382145359942,0.04581119245894811,7
ECE_ci_hi,WA_clean,-0.15758970259378247,-0.2685108058628047,-0.0019048287885548218,7
ECE_ci_hi,WB_noise_outliers,-0.15564981048499762,-0.2710050804828202,0.0009897044693032828,7
ECE_ci_hi,WC_missingness,-0.15818358470364052,-0.2697627387906777,-0.005068082045467351,7
ECE_ci_hi,WD_shift,-0.14233311251178174,-0.2509226515446201,0.01023710438994673,7
ECE_ci_hi,WE_surrogate_corrupt,-0.15447664735877883,-0.26624762142422836,0.006609432110172794,7
ECE_ci_hi,WF_nonlinear,0.02182996961066726,-0.1464870387496621,0.1957593283475543,7
ECE_ci_hi,WG_label_noise,-0.09666046373560679,-0.18632003441916492,0.014056117377889104,7
ECE_ci_hi,WH_subgroup_shift,-0.14491399725410067,-0.25977302224229804,0.005546037040807686,7
ECE_ci_hi,WI_prevalence_shift,-0.014440637628569758,-0.07286083830267569,0.036088321978746125,7
ECE_ci_hi,WJ_concept_drift,-0.1548880235145854,-0.2635076545590003,-0.0017134472161876148,7
aECE_mean,WA_clean,-0.15852495476700587,-0.25851505893014004,0.0028869259957358486,7
aECE_mean,WB_noise_outliers,-0.15164386568766938,-0.25801293852538626,0.013104542346264533,7
aECE_mean,WC_missingness,-0.15773573374513708,-0.262439973308631,0.0045392759102771485,7
aECE_mean,WD_shift,-0.14700125611829334,-0.24267879383801227,0.012307776424684681,7
aECE_mean,WE_surrogate_corrupt,-0.15766383792637648,-0.2624758045296584,0.012450715702018606,7
aECE_mean,WF_nonlinear,-0.03809966740156113,-0.18278855881858277,0.12882995738707737,7
