metric,model,mean_delta,ci_lower,ci_upper,n_worlds
ECE_ci_lo,Logistic_L2,-0.19314190052146202,-0.22923218183669236,-0.14628759579202627,10
ECE_ci_lo,MLP,-0.2514767279831037,-0.29729502821013226,-0.19536995079995095,10
ECE_ci_lo,RandomForest,-0.09241899602759016,-0.12925562507484056,-0.04394208200205177,10
ECE_ci_lo,SVC_RBF,-0.03535930083757027,-0.09906196105649576,0.05513033794545709,10
ECE_ci_hi,ExtraTrees,-0.1308579187725534,-0.16145882300124104,-0.08614971353390256,10
ECE_ci_hi,GaussianNB,0.2509431027199963,0.20086034006500114,0.2892311715538913,10
ECE_ci_hi,GradientBoosting,-0.1951989619729817,-0.2603924475844804,-0.10307231671112115,10
ECE_ci_hi,Logistic_L2,-0.23555010822652211,-0.26791592819632687,-0.19094258114332024,10
ECE_ci_hi,MLP,-0.3065208472054436,-0.34453536927818623,-0.2591127320263953,10
ECE_ci_hi,RandomForest,-0.1276572262749916,-0.16342112268537823,-0.08144663522788177,10
ECE_ci_hi,SVC_RBF,-0.06527224739012735,-0.13529521777347658,0.033734944355815706,10
aECE_mean,ExtraTrees,-0.16606753029525367,-0.19450126904381337,-0.12330376100211839,10
aECE_mean,GaussianNB,0.2929473599112933,0.2453465210248561,0.3311045693688525,10
aECE_mean,GradientBoosting,-0.1779100438295204,-0.22870661326359681,-0.11099691885658723,10
aECE_mean,Logistic_L2,-0.22632019552927635,-0.2574935877401037,-0.18375734105194494,10
aECE_mean,MLP,-0.26803055714244584,-0.3107514929398076,-0.21570572170203886,10
aECE_mean,RandomForest,-0.16754355273695049,-0.1983361694522408,-0.12482185867109394,10
aECE_mean,SVC_RBF,-0.15183956999411827,-0.1976310604449775,-0.09250859277064934,10
aECE_ci_lo,ExtraTrees,-0.14617485196610208,-0.17423197640326318,-0.10313984959130293,10
aECE_ci_lo,GaussianNB,0.3206525752038364,0.27195290618064205,0.3611657338604499,10
aECE_ci_lo,GradientBoosting,-0.1658325699139572,-0.20548985201348402,-0.11761307855963113,10
aECE_ci_lo,Logistic_L2,-0.20695044402012286,-0.23966247350072947,-0.16426395266117416,10
aECE_ci_lo,MLP,-0.24117692814334882,-0.28687990188444384,-0.18604303689324195,10
aECE_ci_lo,RandomForest,-0.15049182148918472,-0.1817118260530849,-0.10829666474094235,10
aECE_ci_lo,SVC_RBF,-0.13262363558517218,-0.17793462667145532,-0.07325641473899944,10
aECE_ci_hi,ExtraTrees,-0.18567970945436513,-0.2139644750048734,-0.14362340081925679,10
aECE_ci_hi,GaussianNB,0.26397977236498094,0.21495689692095693,0.301718933490351,10
aECE_ci_hi,GradientBoosting,-0.19118588680315404,-0.2538364509048763,-0.10188825341021376,10
aECE_ci_hi,Logistic_L2,-0.24453503040355412,-0.27463100481933306,-0.2036129921378782,10
aECE_ci_hi,MLP,-0.29656921448287293,-0.3352783865695775,-0.24878799912419883,10
aECE_ci_hi,RandomForest,-0.18467291822155205,-0.2157969987449967,-0.14083727643496852,10
aECE_ci_hi,SVC_RBF,-0.17034034042519894,-0.21670743202168638,-0.11062276380260454,10
Brier_REL_mean,ExtraTrees,-0.05485809655155527,-0.0688962736286572,-0.029011011337562242,10
Brier_REL_mean,GaussianNB,0.4512771139316462,0.3632572506252449,0.515240295985082,10
Brier_REL_mean,GradientBoosting,-0.06575567601120542,-0.09562159460213668,-0.02220899079030275,10
Brier_REL_mean,Logistic_L2,-0.09864354178221697,-0.11939354858093225,-0.07729918554865464,10
Brier_REL_mean,MLP,-0.13274742156349,-0.15877252452657312,-0.09712420151564159,10
Brier_REL_mean,RandomForest,-0.053625100637087496,-0.06827309568395307,-0.0276311540868457,10
Brier_REL_mean,SVC_RBF,-0.04964149609853368,-0.06568809561099986,-0.027963436785438677,10
Brier_REL_ci_lo,ExtraTrees,-0.04270690367601453,-0.05706625597456077,-0.01632358362803078,10
Brier_REL_ci_lo,GaussianNB,0.47540004447949685,0.3894854337938003,0.5390917051477871,10
Brier_REL_ci_lo,GradientBoosting,-0.059166340482293446,-0.07797121202183166,-0.034388611144585274,10
Brier_REL_ci_lo,Logistic_L2,-0.08388673730232414,-0.10459377141816095,-0.0633134109844908,10
Brier_REL_ci_lo,MLP,-0.10917397706095382,-0.13672333330187303,-0.07181118144566546,10
Brier_REL_ci_lo,RandomForest,-0.04449389893149201,-0.05886516072190034,-0.019394613183138003,10
Brier_REL_ci_lo,SVC_RBF,-0.039587107169216866,-0.05512421257051578,-0.01867468428382661,10
Brier_REL_ci_hi,ExtraTrees,-0.06718343859744,-0.08127197476544142,-0.04149359320861261,10
Brier_REL_ci_hi,GaussianNB,0.4214671895936357,0.3296607897511471,0.48633649193222045,10
Brier_REL_ci_hi,GradientBoosting,-0.0739712589238517,-0.11662662970652003,-0.007178152942405891,10
Brier_REL_ci_hi,Logistic_L2,-0.11354145466008232,-0.13401649268247495,-0.09192864036145454,10
Brier_REL_ci_hi,MLP,-0.1576234001956708,-0.1806470382377127,-0.1261946755944285,10
Brier_REL_ci_hi,RandomForest,-0.06332228449552091,-0.07902564540202861,-0.036188240626123115,10
Brier_REL_ci_hi,SVC_RBF,-0.05988230045108358,-0.07684291998145407,-0.03759154521896426,10
Brier_RES_mean,ExtraTrees,-0.059418328905150884,-0.07355764298284426,-0.033912933919479596,10
Brier_RES_mean,GaussianNB,-0.025486076853299115,-0.0298228424173021,-0.021800987619934868,10
Brier_RES_mean,GradientBoosting,-0.07683243538387274,-0.0932507558842343,-0.049941664913475514,10
Brier_RES_mean,Logistic_L2,-0.0662346469572656,-0.08000990414497024,-0.04498881929385362,10
Brier_RES_mean,MLP,-0.061394786147429645,-0.07341178784534057,-0.04221332661288684,10
Brier_RES_mean,RandomForest,-0.08353236959549222,-0.10021961362472409,-0.056534688802768004,10
Brier_RES_mean,SVC_RBF,-0.06683019934086334,-0.07990547730870198,-0.044974430166358784,10
Brier_RES_ci_lo,ExtraTrees,-0.050015200591821206,-0.06406425421894645,-0.024683905832800487,10
Brier_RES_ci_lo,GaussianNB,-0.01440563777767485,-0.018267489409106125,-0.010950200310207802,10
Brier_RES_ci_lo,GradientBoosting,-0.06533073631632523,-0.08189795603074654,-0.03759963031282108,10
Brier_RES_ci_lo,Logistic_L2,-0.05646443362143875,-0.06899262674313078,-0.0364325374934382,10
Brier_RES_ci_lo,MLP,-0.050497770140620526,-0.062520230514401,-0.031983626747805596,10
Brier_RES_ci_lo,RandomForest,-0.07092434633049512,-0.08757824783258676,-0.04461779683732473,10
Brier_RES_ci_lo,SVC_RBF,-0.05534899282598719,-0.0676689454975588,-0.03413825992018151,10
Brier_RES_ci_hi,ExtraTrees,-0.06931911749667444,-0.08425922575479243,-0.043136115372324854,10
Brier_RES_ci_hi,GaussianNB,-0.03838850532852394,-0.04294263120330467,-0.034230167163894695,10
Brier_RES_ci_hi,GradientBoosting,-0.0889720990944152,-0.10556492051256286,-0.06250739916664041,10
Brier_RES_ci_hi,Logistic_L2,-0.07610054361143631,-0.09153383913604395,-0.05320470161220471,10
Brier_RES_ci_hi,MLP,-0.07213867366732277,-0.08484625805160378,-0.051551254393579875,10
Brier_RES_ci_hi,RandomForest,-0.09640228728304719,-0.11351105489812077,-0.0681742809054609,10
Brier_RES_ci_hi,SVC_RBF,-0.07894763396431992,-0.0931924189298569,-0.05595276743608432,10
Brier_UNC_mean,ExtraTrees,-0.19357137546778513,-0.22391608401803356,-0.149199026924494,10
Brier_UNC_mean,GaussianNB,-0.19357137546778513,-0.22391608401803356,-0.149199026924494,10
Brier_UNC_mean,GradientBoosting,-0.19357137546778513,-0.22391608401803356,-0.149199026924494,10
Brier_UNC_mean,Logistic_L2,-0.19357137546778513,-0.22391608401803356,-0.149199026924494,10
Brier_UNC_mean,MLP,-0.19357137546778513,-0.22391608401803356,-0.149199026924494,10
Brier_UNC_mean,RandomForest,-0.19357137546778513,-0.22391608401803356,-0.149199026924494,10
Brier_UNC_mean,SVC_RBF,-0.19357137546778513,-0.22391608401803356,-0.149199026924494,10
Brier_UNC_ci_lo,ExtraTrees,-0.19347907728195587,-0.2238281836453977,-0.1490119234244298,10
Brier_UNC_ci_lo,GaussianNB,-0.19350604031924987,-0.22383835044164405,-0.14903389090698194,10
Brier_UNC_ci_lo,GradientBoosting,-0.19349544442669356,-0.22383345078766478,-0.14902810998043584,10
Brier_UNC_ci_lo,Logistic_L2,-0.19349471647048913,-0.22383332207149959,-0.1490274416430117,10
Brier_UNC_ci_lo,MLP,-0.19348163305454816,-0.22383333595652033,-0.149014268465115,10
Brier_UNC_ci_lo,RandomForest,-0.193486126351671,-0.22382365147970637,-0.14901881917781007,10
Brier_UNC_ci_lo,SVC_RBF,-0.19349890989202453,-0.2238310083568529,-0.1490316307583792,10
Brier_UNC_ci_hi,ExtraTrees,-0.19362718978210242,-0.2240329377519049,-0.14933205304839378,10
Brier_UNC_ci_hi,GaussianNB,-0.19362251567532965,-0.22403393048938117,-0.14930410038912337,10
Brier_UNC_ci_hi,GradientBoosting,-0.19362484603754004,-0.22403390450883473,-0.14930472619678062,10
Brier_UNC_ci_hi,Logistic_L2,-0.19362321755894785,-0.22402442124531516,-0.14930931183314716,10
Brier_UNC_ci_hi,MLP,-0.19363135858432465,-0.22402828196378172,-0.14934183603680642,10
Brier_UNC_ci_hi,RandomForest,-0.1936447579643465,-0.22403586327083394,-0.14935176232524364,10
Brier_UNC_ci_hi,SVC_RBF,-0.19362908417718577,-0.22402818988355777,-0.1493124904656458,10
