model,world,severity_full,AUROC_mean_full,AUROC_ci_lo_full,AUROC_ci_hi_full,Brier_mean_full,Brier_ci_lo_full,Brier_ci_hi_full,LogLoss_mean_full,LogLoss_ci_lo_full,LogLoss_ci_hi_full,ECE_mean_full,ECE_ci_lo_full,ECE_ci_hi_full,aECE_mean_full,aECE_ci_lo_full,aECE_ci_hi_full,Brier_REL_mean_full,Brier_REL_ci_lo_full,Brier_REL_ci_hi_full,Brier_RES_mean_full,Brier_RES_ci_lo_full,Brier_RES_ci_hi_full,Brier_UNC_mean_full,Brier_UNC_ci_lo_full,Brier_UNC_ci_hi_full,severity_demo,AUROC_mean_demo,AUROC_ci_lo_demo,AUROC_ci_hi_demo,Brier_mean_demo,Brier_ci_lo_demo,Brier_ci_hi_demo,LogLoss_mean_demo,LogLoss_ci_lo_demo,LogLoss_ci_hi_demo,ECE_mean_demo,ECE_ci_lo_demo,ECE_ci_hi_demo,aECE_mean_demo,aECE_ci_lo_demo,aECE_ci_hi_demo,Brier_REL_mean_demo,Brier_REL_ci_lo_demo,Brier_REL_ci_hi_demo,Brier_RES_mean_demo,Brier_RES_ci_lo_demo,Brier_RES_ci_hi_demo,Brier_UNC_mean_demo,Brier_UNC_ci_lo_demo,Brier_UNC_ci_hi_demo,severity_delta,AUROC_mean_delta,AUROC_ci_lo_delta,AUROC_ci_hi_delta,Brier_mean_delta,Brier_ci_lo_delta,Brier_ci_hi_delta,LogLoss_mean_delta,LogLoss_ci_lo_delta,LogLoss_ci_hi_delta,ECE_mean_delta,ECE_ci_lo_delta,ECE_ci_hi_delta,aECE_mean_delta,aECE_ci_lo_delta,aECE_ci_hi_delta,Brier_REL_mean_delta,Brier_REL_ci_lo_delta,Brier_REL_ci_hi_delta,Brier_RES_mean_delta,Brier_RES_ci_lo_delta,Brier_RES_ci_hi_delta,Brier_UNC_mean_delta,Brier_UNC_ci_lo_delta,Brier_UNC_ci_hi_delta
ExtraTrees,WA_clean,0,0.9564424683455054,0.9524073436184878,0.9606943801507852,0.0183077752891563,0.0179998531396227,0.0185758688391023,0.0677042789913101,0.0664968884760813,0.0688918444749365,0.0118132997256592,0.0107073211920987,0.0128524150129039,0.012751093335569,0.0118692344258177,0.0136380858989856,0.0009567137677415,0.0008000116733111,0.0011223328105573,0.0049489167379641,0.0046446190378726,0.0052656514809158,0.0247778952207207,0.0246885812372384,0.0248660608927586,0,0.6282541599570585,0.591226180891036,0.6674881463589194,0.2407294602812472,0.2297842118008947,0.2513866121354739,0.6773874269436492,0.6535717360027584,0.7025578240114242,0.1514142996683407,0.124681648458214,0.1804374875768374,0.2055378407283291,0.1828539371991736,0.2277763440365646,0.067409021723513,0.0545213033950039,0.081601096655797,0.0745292733564013,0.0663355782391388,0.0829816674356016,0.2486939792387543,0.2484979930795848,0.2488421937716263,0,0.3281883083884469,0.3611811627274518,0.29320623379186583,-0.2224216849920909,-0.211784358661272,-0.2328107432963716,-0.609683147952339,-0.5870748475266772,-0.6336659795364877,-0.1396009999426815,-0.1139743272661153,-0.16758507256393348,-0.19278674739276008,-0.1709847027733559,-0.214138258137579,-0.0664523079557715,-0.0537212917216928,-0.08047876384523969,-0.0695803566184372,-0.0616909592012662,-0.0777160159546858,-0.2239160840180336,-0.2238094118423464,-0.2239761328788677
ExtraTrees,WB_noise_outliers,1,0.9515196308849536,0.9470144535559148,0.956437795524684,0.018484123229177,0.0181695038601161,0.0187652807950687,0.0702783678376209,0.0689023750518916,0.071546784813245,0.0127359831730715,0.0118480741827359,0.0136256403094419,0.0133620240721671,0.0124274686535168,0.0143185454797142,0.0008118053989679,0.0006840532926767,0.0009360258827266,0.004751891297483,0.0044761022823339,0.0050450644573393,0.0247778952207207,0.0246891553929606,0.0248660608927586,1,0.6343062265163713,0.5972558261764178,0.6710238862050456,0.2394591003841516,0.2293831945255387,0.2495952976661219,0.6744397442621165,0.6495443449495516,0.6986885751182991,0.156599757939658,0.1446984722831512,0.1696085855551241,0.2044390171989173,0.1829458969383772,0.2233089765595592,0.0645949322352527,0.0541781059594045,0.0743513659286553,0.0742159835960527,0.0618296220684352,0.0855893252595155,0.2486939792387543,0.2484979930795848,0.2488899653979238,0,0.31721340436858236,0.34975862737949703,0.2854139093196384,-0.2209749771549746,-0.21121369066542262,-0.2308300168710532,-0.6041613764244956,-0.58064196989766,-0.627141790305054,-0.1438637747665865,-0.1328503981004153,-0.15598294524568218,-0.1910769931267502,-0.1705184282848604,-0.208990431079845,-0.0637831268362848,-0.0534940526667278,-0.0734153400459287,-0.0694640922985697,-0.0573535197861013,-0.08054426080217619,-0.2239160840180336,-0.2238088376866242,-0.22402390450516518
ExtraTrees,WC_missingness,2,0.949255708585006,0.9444070128478754,0.9541910744149704,0.0192842021813107,0.019030628762136,0.0195131896123604,0.0714633605892833,0.0700662214389953,0.0728100745831892,0.0100666948146442,0.0090129790350033,0.01120195431918,0.0132748770814281,0.0126474381325291,0.0139519364629972,0.0011762922788412,0.0010234346763918,0.0013268912184087,0.0045610441587207,0.0043053682788296,0.0048361046400177,0.0247778952207207,0.0246891410390675,0.0248469066062941,2,0.6168925568080158,0.5828536522633745,0.6512403269815709,0.2433188943418191,0.2338029249974888,0.2527166630912462,0.6827543010612905,0.6621787682799322,0.7041009223070641,0.1575542056919992,0.1371644894411009,0.1772808164488017,0.2155588545552019,0.1936768553508081,0.2404166481281867,0.0692838476152845,0.0560117274668891,0.083890522140436,0.0738085761886453,0.0655268467256183,0.0839176173266692,0.2486939792387543,0.2484979930795848,0.2488899653979238,0,0.33236315177699016,0.36155336058450094,0.30295074743339956,-0.22403469216050842,-0.21477229623535282,-0.2332034734788858,-0.6112909404720073,-0.5921125468409368,-0.6312908477238749,-0.147487510877355,-0.1281515104060976,-0.1660788621296217,-0.2022839774737738,-0.181029417218279,-0.2264647116651895,-0.0681075553364433,-0.0549882927904973,-0.0825636309220273,-0.06924753202992459,-0.0612214784467887,-0.0790815126866515,-0.2239160840180336,-0.22380885204051731,-0.2240430587916297
ExtraTrees,WD_shift,3,0.95249066156283,0.9483579865905422,0.9567290438661704,0.0184457364547462,0.0181402197981039,0.0187077981929854,0.0725921313961086,0.0713271816619484,0.0737925931425435,0.017159789741979,0.0160811894894097,0.0182997297257723,0.0156844113462898,0.0148950809041082,0.0165567638425725,0.0006340958059113,0.0005346192584309,0.0007401486475852,0.0046268318993303,0.0043912409250313,0.0048696242861399,0.0247778952207207,0.0246891553929606,0.0248654867370364,3,0.6375402576489535,0.6055173667024513,0.6712843308284132,0.2386713163561163,0.2285973179601991,0.2483273266117465,0.6725018621117383,0.6500161479252232,0.6940034357421515,0.1474774718679136,0.1234092017756313,0.1730991786060959,0.2169534195803319,0.2015364883314478,0.2323691933326455,0.071937700019335,0.0618708132752118,0.0832583469139053,0.0814477918749199,0.0716162701525054,0.0914552282455465,0.2486939792387543,0.2484979930795848,0.2488899653979238,0,0.3149504039138765,0.3428406198880909,0.2854447130377572,-0.2202255799013701,-0.2104570981620952,-0.2296195284187611,-0.5999097307156298,-0.5786889662632748,-0.620210842599608,-0.1303176821259346,-0.1073280122862216,-0.1547994488803236,-0.2012690082340421,-0.1866414074273396,-0.215812429490073,-0.0713036042134237,-0.0613361940167809,-0.08251819826632009,-0.0768209599755896,-0.0672250292274741,-0.08658560395940659,-0.2239160840180336,-0.2238088376866242,-0.2240244786608874
ExtraTrees,WE_surrogate_corrupt,4,0.9552201557144546,0.9507869954523244,0.9594813774903528,0.0184741944520205,0.0181537685643801,0.0187252226275055,0.0688827072307288,0.0675608757343612,0.0701619233050178,0.0125630793415571,0.0115170605551311,0.013508593202758,0.0132876945923971,0.0123776759634805,0.0141793065667716,0.000952976474104,0.0007739220119391,0.0011400638856986,0.0048703723756994,0.0045909709445498,0.0051765107253718,0.0247778952207207,0.0246885812372384,0.0248458854808463,4,0.6290861513687601,0.5916503958668814,0.6669873859366613,0.2399880858961925,0.2293438786330434,0.2506294968280246,0.6757808012435927,0.65101708818621,0.698359337525278,0.1642684841848315,0.1393043445202979,0.1886221671286315,0.2062481356009536,0.1810746168115297,0.2296876299033865,0.0668510100339441,0.0533766007802284,0.0800199800102036,0.0746983365372292,0.0662652891195693,0.083375078046905,0.2486939792387543,0.2484979930795848,0.2488899653979238,0,0.3261340043456945,0.359136599585443,0.2924939915536915,-0.221513891444172,-0.21119011006866328,-0.2319042742005191,-0.606898094012864,-0.5834562124518488,-0.6281974142202602,-0.1517054048432744,-0.1277872839651668,-0.1751135739258735,-0.1929604410085565,-0.1686969408480492,-0.2155083233366149,-0.0658980335598401,-0.0526026787682893,-0.07887991612450501,-0.0698279641615298,-0.061674318175019505,-0.0781985673215332,-0.2239160840180336,-0.2238094118423464,-0.2240440799170775
ExtraTrees,WF_nonlinear,5,0.9182900105760836,0.9134674089822477,0.9230103241853592,0.0243484641309258,0.0239682340940108,0.0247478649622979,0.1160714043012374,0.1129999502324012,0.1191389027157621,0.048982120317655,0.0448913709643776,0.0531611992656721,0.0480748963429058,0.0438544226986218,0.0522183543312298,0.0030604276089937,0.0025545576270625,0.0035696992299113,0.0032349690294173,0.0029805963770279,0.00349931145538,0.0247778952207207,0.0246885812372384,0.0248464596365685,5,0.6160292538915727,0.5718999373769906,0.6517458400429416,0.2422504046560657,0.2366873543713599,0.248304101475127,0.6777200960357617,0.666524220684469,0.6907680584925528,0.1359805873363232,0.112211237469887,0.1595075569360857,0.2249923538401474,0.2063157049149145,0.2435897766456786,0.0744631965908986,0.0627598279788422,0.0864201905929355,0.0813837395873382,0.0713604138151993,0.0935085276175829,0.2486939792387543,0.2484979930795848,0.2488899653979238,0,0.3022607566845109,0.341567471605257,0.27126448414241766,-0.2179019405251399,-0.2127191202773491,-0.2235562365128291,-0.5616486917345243,-0.5535242704520679,-0.5716291557767907,-0.0869984670186682,-0.06731986650550939,-0.1063463576704136,-0.1769174574972416,-0.1624612822162927,-0.1913714223144488,-0.0714027689819049,-0.06020527035177971,-0.0828504913630242,-0.0781487705579209,-0.0683798174381714,-0.09000921616220289,-0.2239160840180336,-0.2238094118423464,-0.2240435057613553
ExtraTrees,WH_subgroup_shift,6,0.950487627903996,0.9458082196040318,0.955227390389792,0.0184429671638224,0.0181418147566931,0.0187195362769764,0.0711761279317382,0.0699034621174885,0.0725200348155834,0.0148008631320924,0.0139288944502354,0.0158148777367368,0.0135511284063069,0.012285381324703,0.0147931854575668,0.0006075748364346,0.0004807832464613,0.0007366063336913,0.0045467446126464,0.0042313507778202,0.0048755153280347,0.0247778952207207,0.0246885812372384,0.0248654867370364,6,0.6338074789765611,0.6018883073895152,0.6673651368760064,0.2393841627948686,0.2292791004161201,0.2490847308223246,0.6741618025259296,0.6511472872998029,0.6949447136939773,0.1534623974131321,0.1343895460859811,0.173925719207705,0.2103276058947646,0.1852532385414242,0.2317480978253148,0.0684766090125472,0.0556608343680014,0.0807077099696201,0.0768713212866846,0.062084313084711,0.0926081320005126,0.2486939792387543,0.2485469896193771,0.2488899653979238,0,0.3166801489274349,0.3439199122145167,0.2878622535137856,-0.2209411956310462,-0.211137285659427,-0.2303651945453482,-0.6029856745941914,-0.5812438251823143,-0.6224246788783938,-0.13866153428103972,-0.12046065163574571,-0.1581108414709682,-0.1967764774884577,-0.1729678572167212,-0.216954912367748,-0.06786903417611259,-0.0551800511215401,-0.0799711036359288,-0.0723245766740382,-0.0578529623068908,-0.0877326166724779,-0.2239160840180336,-0.2238584083821387,-0.2240244786608874
ExtraTrees,WI_prevalence_shift,7,0.9563179415817492,0.9521410349035948,0.9607251151377876,0.2351008783671892,0.2304492533015959,0.2392968893106503,0.7097590395213078,0.6911376745650828,0.7261164734887614,0.2701152532769088,0.2670576029645701,0.2730084607712429,0.2722381682296012,0.2693409948469202,0.2751129415096453,0.1584690821566771,0.154705254598589,0.1625915717667661,0.1511911138469873,0.1474566418043798,0.154976914871062,0.2275351396672801,0.2275276858751078,0.2275425934594524,7,0.6336647727272727,0.5875608077300786,0.6804212699915825,0.2320223673001074,0.2184904985681716,0.2453530436619973,0.6562047940748356,0.6260162649193548,0.6873976453720991,0.1912510868084036,0.1618873631441575,0.2223206301922769,0.263253662646934,0.2383335344212123,0.2901417895949538,0.100612167172029,0.0823371619545124,0.1189890566825539,0.0998411149557862,0.088408238882481,0.1110610292195309,0.2295894809688581,0.2290491349480968,0.2301298269896193,0,0.3226531688544765,0.36458022717351624,0.2803038451462051,0.0030785110670818183,0.01195875473342431,-0.006056154351347015,0.05355424544647225,0.06512140964572799,0.038718828116662274,0.07886416646850516,0.1051702398204126,0.050687830578966,0.008984505582667168,0.0310074604257079,-0.015028848085308466,0.057856914984648095,0.07236809264407659,0.043602515084212215,0.05134999889120111,0.05904840292189881,0.043915885651531095,-0.002054341301578,-0.0015214490729890118,-0.0025872335301669047
ExtraTrees,WJ_concept_drift,8,0.9587412237164388,0.9545045970076238,0.9632834525121282,0.0181813677734112,0.0178473898323981,0.0184603227435374,0.0669685989227853,0.0654359571305315,0.06831410835109,0.0126773812244418,0.0116840736603348,0.0135972049948539,0.0131534591322248,0.0121910996530721,0.014056535491494,0.0010092942962264,0.0008475231422699,0.0011875650854657,0.0050808533072262,0.0047803604182052,0.0054054957879451,0.0247778952207207,0.0246891553929606,0.0248464596365685,8,0.6321010019681517,0.5942733494363929,0.6697018697441401,0.2396682074721919,0.2285861608852588,0.2500973215047886,0.6746791128513369,0.6503477427744235,0.6990355739698599,0.1530877971553443,0.1281509350205244,0.1789574031110379,0.198593766654255,0.1796183346615459,0.2171989978822797,0.0615300110990178,0.0506485094706922,0.0723334548695253,0.0696011687812379,0.061649421120082,0.0783446327053697,0.2486939792387543,0.2485457647058823,0.2488899653979238,0,0.3266402217482871,0.36023124757123093,0.29358158276798807,-0.2214868396987807,-0.2107387710528607,-0.23163699876125118,-0.6077105139285516,-0.584911785643892,-0.63072146561877,-0.14041041593090248,-0.1164668613601896,-0.165360198116184,-0.1854403075220302,-0.16742723500847378,-0.2031424623907857,-0.060520716802791405,-0.0498009863284223,-0.0711458897840596,-0.0645203154740117,-0.056869060701876806,-0.07293913691742461,-0.2239160840180336,-0.2238566093129217,-0.2240435057613553
ExtraTrees,WG_label_noise,9,0.5829518659636233,0.5751717188872084,0.5913781483419059,0.1096903336169424,0.1066398870998418,0.1125408881608375,0.7759364980176481,0.7500760536828041,0.8030595168240068,0.0979125734311619,0.0947379943055621,0.1010197909149851,0.0976477106655711,0.094276537638669,0.1007933166726621,0.0103217417847492,0.0096138267026935,0.0109671676462851,0.0036281925731863,0.0031785662525256,0.0040831355253342,0.1048926856550902,0.1024276115733914,0.1072488428147648,9,0.6009807226592457,0.5562881526945239,0.6430852946627351,0.2492167921909088,0.2391209339417028,0.2596292655275779,0.6962540410933892,0.6732105547782529,0.7205430395567293,0.1857040648347762,0.1637729972339139,0.2109095092164847,0.2277961094571627,0.2063052467320261,0.2501786123487207,0.0814224744223777,0.0677221383411853,0.0945807347178641,0.0792269127258746,0.0701118298090477,0.0883832656670511,0.2472234268870947,0.2451271546840958,0.2487103621683967,0,-0.018028856695622486,0.018883566192684498,-0.05170714632082918,-0.1395264585739664,-0.13248104684186102,-0.1470883773667404,0.0796824569242589,0.07686549890455119,0.08251647726727751,-0.0877914914036143,-0.0690350029283518,-0.10988971830149959,-0.1301483987915916,-0.1120287090933571,-0.14938529567605857,-0.07110073263762849,-0.058108311638491804,-0.083613567071579,-0.07559872015268829,-0.0669332635565221,-0.0843001301417169,-0.1423307412320045,-0.14269954311070437,-0.1414615193536319
