model,time_fit_s_mean_full,time_fit_s_std_full,world_full,time_pred_all_worlds_s_std_full,time_shap_s_mean_full,time_shap_s_std_full,time_total_s_mean_full,time_total_s_std_full,time_fit_s_mean_demo,time_fit_s_std_demo,world_demo,time_pred_all_worlds_s_std_demo,time_shap_s_mean_demo,time_shap_s_std_demo,time_total_s_mean_demo,time_total_s_std_demo
ExtraTrees,2.9374264266663888,0.0923902732713707,3.5046933666671976,0.1823825641241541,2491.9926678333336,103.63164892276744,2498.4347876266675,103.40315156301858,2.6214342105999813,0.4476088846834156,3.447729387200074,0.4701247290070799,64.9695353456,6.218047819831109,71.03869894340005,6.402858954438824
GaussianNB,0.0891760600005,0.0048562360026076,0.163536380002309,0.0077659365665539,0.0,0.0,0.252712440002809,0.0122248912824949,0.0262079713999961,0.0153047639613837,0.11246280239997,0.0199002920331146,0.0,0.0,0.1386707737999662,0.0324180775471789
GradientBoosting,30.54922823333315,0.6024573435767773,0.3100574799967338,0.0132553373866993,1.4067989866667632,0.0677742441804259,32.26608469999665,0.6097372058441879,2.3938528353333366,0.3476581199897364,0.1185817460000938,0.0250264385307305,0.7006416606666562,0.1598926627293097,3.2130762420000867,0.3724207910351138
Logistic_L2,0.1557109399998807,0.0158223217641081,0.1229059600023295,0.0073341840362515,0.1602711666667649,0.0251491584925974,0.4388880666689753,0.0256912718827175,0.0475264168667005,0.0418919837740412,0.1138611323999877,0.0147778285435751,0.1862715844666695,0.0394286052165863,0.3476591337333578,0.0797065680103575
MLP,8.171237233333887,0.9068517430457916,0.2027907400004551,0.0077444102908097,0.0,0.0,8.374027973334341,0.9064023348269256,1.4723911790666762,0.4968746269792532,0.1571185677331565,0.0770818295303395,0.0,0.0,1.6295097467998327,0.517363538663746
RandomForest,7.740751240000099,0.825056472297934,3.2655715999993844,0.3541941753396038,500.51473370000025,24.305174184065745,511.5210565399997,24.91781635799556,4.288183196266656,0.4063722825162792,3.411824369600034,0.3083829470545034,10.699139405266646,0.4807773453305792,18.399146971133337,0.9866149377846818
SVC_RBF,6.225590959999499,0.2578612811062853,3.984613400001399,0.129222901367865,0.0,0.0,10.210204360000898,0.3487205494904272,0.0361099387999805,0.0066087886353841,0.1082861009332873,0.0254901859553437,0.0,0.0,0.1443960397332678,0.0315815477143912
