model,RSCE_full_full,RSCE_full_demo,RSCE_full_delta,rank_full,rank_demo,rank_change_full_minus_demo
ExtraTrees,0.8973882158467035,0.7956021737421477,0.10178604210455577,1.0,3.0,-2.0
Logistic_L2,0.8471324005254136,0.7761466961611344,0.0709857043642792,4.0,4.0,0.0
MLP,0.7764557646870688,0.7118961306359755,0.06455963405109333,5.0,5.0,0.0
RandomForest,0.8888766723670232,0.8334412189204594,0.055435453446563754,2.0,1.0,1.0
GradientBoosting,0.8607305503691752,0.8203279697501071,0.040402580619068096,3.0,2.0,1.0
GaussianNB,0.7331140499381038,0.704658882411301,0.02845516752680277,6.0,6.0,0.0
SVC_RBF,0.7245074574424055,0.7019101636167497,0.022597293825655784,7.0,7.0,0.0
