model,E_full,E_demo,E_delta
ExtraTrees,0.9219516164834947,0.9088836763527376,0.013067940130757072
GradientBoosting,0.9043305672640255,0.9031820728724357,0.001148494391589816
Logistic_L2,0.9257255782791227,0.9324625288880374,-0.00673695060891466
RandomForest,0.9321643371549821,0.9061407312063053,0.02602360594867681
