model,n_folds,ppv_std_mean,ppv_std_std,ppv_obs_mean,sens_mean,spec_mean,thr_mean,ppv_std_sem
ExtraTrees,15,0.988433806101667,0.012454409715734537,0.9884439166153227,0.8641105894627021,0.9997327944969296,0.9523188249003521,0.003215714761058914
GaussianNB,15,0.20439702478548194,0.33957535649092535,0.20448041568101485,0.7979003651538863,0.7451439935849437,0.07872684138007835,0.08767798003145337
GradientBoosting,15,0.9865817232137064,0.01508316666068653,0.9865873778825293,0.8603416797078769,0.9996842124828073,0.9684295320169576,0.003894456885660658
Logistic_L2,15,0.9870624744887233,0.013804841360870668,0.9870472260606072,0.8556468440271258,0.9997085167660611,0.9181687060312644,0.0035643947125124954
MLP,15,0.9854120147676259,0.017342156045504407,0.9854209473235142,0.8788601982263954,0.9996599170503486,0.9532194084705116,0.0044777254367712556
RandomForest,15,0.9891538634709279,0.01205297993609672,0.9891538376149399,0.842605633802817,0.9997570899293884,0.9334849001535804,0.003112066037644982
SVC_RBF,15,0.9249639965006353,0.03725591879122611,0.9249228296673581,0.8371544079290558,0.9981782762545559,0.444148274719199,0.009619436868404978
