fold,model,n_test,pi_test,pi_ref,target_sens_train,thr_from_train_inner_oof,TP,FP,TN,FN,sens_test,spec_test,ppv_observed_test,ppv_standardized_pi_ref
3,RandomForest,50,0.46,0.025424330658333924,0.8,0.39050208634943673,19,15,12,4,0.8260869565217391,0.4444444444444444,0.5588235294117647,0.03734255317461721
3,ExtraTrees,50,0.46,0.025424330658333924,0.8,0.4173634296589239,17,15,12,6,0.7391304347826086,0.4444444444444444,0.53125,0.033543611165036354
3,GradientBoosting,50,0.46,0.025424330658333924,0.8,0.38936137817855615,21,12,15,2,0.9130434782608695,0.5555555555555556,0.6363636363636364,0.05086687646315005
3,SVC_RBF,50,0.46,0.025424330658333924,0.8,0.411892608431176,20,19,8,3,0.8695652173913043,0.2962962962962963,0.5128205128205128,0.031229650527416324
3,MLP,50,0.46,0.025424330658333924,0.8,0.4223376495742843,21,24,3,2,0.9130434782608695,0.1111111111111111,0.4666666666666667,0.026097179227475363
3,GaussianNB,50,0.46,0.025424330658333924,0.8,0.4008745308633417,19,23,4,4,0.8260869565217391,0.14814814814814814,0.4523809523809524,0.024674326804575663
4,Logistic_L2,50,0.46,0.025424330658333924,0.8,0.44028039852278644,18,24,3,5,0.782608695652174,0.1111111111111111,0.42857142857142855,0.022452718282573787
4,RandomForest,50,0.46,0.025424330658333924,0.8,0.3990757108407435,21,12,15,2,0.9130434782608695,0.5555555555555556,0.6363636363636364,0.05086687646315005
4,ExtraTrees,50,0.46,0.025424330658333924,0.8,0.4287896942922889,21,17,10,2,0.9130434782608695,0.37037037037037035,0.5526315789473685,0.03645137383569784
4,GradientBoosting,50,0.46,0.025424330658333924,0.8,0.405928020490076,20,11,16,3,0.8695652173913043,0.5925925925925926,0.6451612903225806,0.052744173026643
4,SVC_RBF,50,0.46,0.025424330658333924,0.8,0.4466198983930841,23,26,1,0,1.0,0.037037037037037035,0.46938775510204084,0.026376397135871463
4,MLP,50,0.46,0.025424330658333924,0.8,0.4489386738663758,9,20,7,14,0.391304347826087,0.25925925925925924,0.3103448275862069,0.013593717331809899
4,GaussianNB,50,0.46,0.025424330658333924,0.8,0.4567171562376425,9,5,22,14,0.391304347826087,0.8148148148148148,0.6428571428571429,0.05224428711356828
5,Logistic_L2,50,0.46,0.025424330658333924,0.8,0.4254165699472121,21,13,14,2,0.9130434782608695,0.5185185185185185,0.6176470588235294,0.047138485003935054
5,RandomForest,50,0.46,0.025424330658333924,0.8,0.43591737262856406,13,10,17,10,0.5652173913043478,0.6296296296296297,0.5652173913043478,0.03828762673875393
5,ExtraTrees,50,0.46,0.025424330658333924,0.8,0.4171240649714088,16,17,10,7,0.6956521739130435,0.37037037037037035,0.48484848484848486,0.02801562002692221
5,GradientBoosting,50,0.46,0.025424330658333924,0.8,0.42039245152986726,15,12,15,8,0.6521739130434783,0.5555555555555556,0.5555555555555556,0.03686931950816496
5,SVC_RBF,50,0.46,0.025424330658333924,0.8,0.4329114367269268,17,15,12,6,0.7391304347826086,0.4444444444444444,0.53125,0.033543611165036354
5,MLP,50,0.46,0.025424330658333924,0.8,0.4101429122744439,16,11,16,7,0.6956521739130435,0.5925925925925926,0.5925925925925926,0.04264519553573274
5,GaussianNB,50,0.46,0.025424330658333924,0.8,0.4384048702460401,22,26,1,1,0.9565217391304348,0.037037037037037035,0.4583333333333333,0.02525856377819424
6,Logistic_L2,51,0.47058823529411764,0.025424330658333924,0.8,0.41549982602366725,19,19,8,5,0.7916666666666666,0.2962962962962963,0.5,0.028511760437498892
6,RandomForest,51,0.47058823529411764,0.025424330658333924,0.8,0.40595021231442746,19,13,14,5,0.7916666666666666,0.5185185185185185,0.59375,0.041129796225502384
6,ExtraTrees,51,0.47058823529411764,0.025424330658333924,0.8,0.41725200560943215,18,17,10,6,0.75,0.37037037037037035,0.5142857142857142,0.030138375866018405
6,GradientBoosting,51,0.47058823529411764,0.025424330658333924,0.8,0.39607545968786206,19,12,15,5,0.7916666666666666,0.5555555555555556,0.6129032258064516,0.04440508158122653
6,SVC_RBF,51,0.47058823529411764,0.025424330658333924,0.8,0.40469785809215036,19,22,5,5,0.7916666666666666,0.18518518518518517,0.4634146341463415,0.02471990328153102
6,MLP,51,0.47058823529411764,0.025424330658333924,0.8,0.4087455918831787,18,17,10,6,0.75,0.37037037037037035,0.5142857142857142,0.030138375866018405
6,GaussianNB,51,0.47058823529411764,0.025424330658333924,0.8,0.44278857614337863,24,26,1,0,1.0,0.037037037037037035,0.48,0.026376397135871463
7,Logistic_L2,51,0.47058823529411764,0.025424330658333924,0.8,0.41294917453536334,19,21,6,5,0.7916666666666666,0.2222222222222222,0.475,0.025866592977003246
7,RandomForest,51,0.47058823529411764,0.025424330658333924,0.8,0.3965072143164069,15,13,14,9,0.625,0.5185185185185185,0.5357142857142857,0.03275450992936737
7,ExtraTrees,51,0.47058823529411764,0.025424330658333924,0.8,0.42622858828593013,19,16,11,5,0.7916666666666666,0.4074074074074074,0.5428571428571428,0.03367767617542891
7,GradientBoosting,51,0.47058823529411764,0.025424330658333924,0.8,0.3830863540122413,20,14,13,4,0.8333333333333334,0.48148148148148145,0.5882352941176471,0.040239388141494775
7,SVC_RBF,51,0.47058823529411764,0.025424330658333924,0.8,0.4514143651523587,16,13,14,8,0.6666666666666666,0.5185185185185185,0.5517241379310345,0.03486201803692863
7,MLP,51,0.47058823529411764,0.025424330658333924,0.8,0.4171630882320242,24,27,0,0,1.0,0.0,0.47058823529411764,0.025424330658333924
7,GaussianNB,51,0.47058823529411764,0.025424330658333924,0.8,0.44120186559431396,24,27,0,0,1.0,0.0,0.47058823529411764,0.025424330658333924
8,Logistic_L2,50,0.46,0.025424330658333924,0.8,0.43004338987781926,23,26,1,0,1.0,0.037037037037037035,0.46938775510204084,0.026376397135871463
8,RandomForest,50,0.46,0.025424330658333924,0.8,0.4523707284736452,16,9,18,7,0.6956521739130435,0.6666666666666666,0.64,0.051632598486237004
8,ExtraTrees,50,0.46,0.025424330658333924,0.8,0.4376208110605465,19,16,11,4,0.8260869565217391,0.4074074074074074,0.5428571428571428,0.035090541752536154
8,GradientBoosting,50,0.46,0.025424330658333924,0.8,0.4370409272238538,17,7,20,6,0.7391304347826086,0.7407407407407407,0.7083333333333334,0.06922537362162844
8,SVC_RBF,50,0.46,0.025424330658333924,0.8,0.41702259840225603,23,27,0,0,1.0,0.0,0.46,0.025424330658333924
8,MLP,50,0.46,0.025424330658333924,0.8,0.4342552499537543,20,27,0,3,0.8695652173913043,0.0,0.425531914893617,0.022181672857501337
8,GaussianNB,50,0.46,0.025424330658333924,0.8,0.43989485882346663,6,5,22,17,0.2608695652173913,0.8148148148148148,0.5454545454545454,0.035446822737160176
9,Logistic_L2,50,0.46,0.025424330658333924,0.8,0.43031457027900855,23,25,2,0,1.0,0.07407407407407407,0.4791666666666667,0.027402541808295603
9,RandomForest,50,0.46,0.025424330658333924,0.8,0.40398656613711675,15,15,12,8,0.6521739130434783,0.4444444444444444,0.5,0.029714566777847798
9,ExtraTrees,50,0.46,0.025424330658333924,0.8,0.4191447789586209,17,17,10,6,0.7391304347826086,0.37037037037037035,0.5,0.029714566777847794
9,GradientBoosting,50,0.46,0.025424330658333924,0.8,0.3824258184557343,15,20,7,8,0.6521739130434783,0.25925925925925924,0.42857142857142855,0.022452718282573784
9,SVC_RBF,50,0.46,0.025424330658333924,0.8,0.42236038875478904,17,21,6,6,0.7391304347826086,0.2222222222222222,0.4473684210526316,0.02419157159533022
9,MLP,50,0.46,0.025424330658333924,0.8,0.4006508007822737,15,18,9,8,0.6521739130434783,0.3333333333333333,0.45454545454545453,0.024885382039272867
9,GaussianNB,50,0.46,0.025424330658333924,0.8,0.4043905772335409,23,27,0,0,1.0,0.0,0.46,0.025424330658333924
10,Logistic_L2,50,0.46,0.025424330658333924,0.8,0.4366129920126951,13,15,12,10,0.5652173913043478,0.4444444444444444,0.4642857142857143,0.025855060798219292
10,RandomForest,50,0.46,0.025424330658333924,0.8,0.42269786527473097,21,15,12,2,0.9130434782608695,0.4444444444444444,0.5833333333333334,0.04111174639553727
10,ExtraTrees,50,0.46,0.025424330658333924,0.8,0.41792479181652126,21,17,10,2,0.9130434782608695,0.37037037037037035,0.5526315789473685,0.03645137383569784
10,GradientBoosting,50,0.46,0.025424330658333924,0.8,0.4311046106902179,21,16,11,2,0.9130434782608695,0.4074074074074074,0.5675675675675675,0.03864155109888541
10,SVC_RBF,50,0.46,0.025424330658333924,0.8,0.41007671439242094,21,19,8,2,0.9130434782608695,0.2962962962962963,0.525,0.03274001010010263
10,MLP,50,0.46,0.025424330658333924,0.8,0.4182252329476582,18,20,7,5,0.782608695652174,0.25925925925925924,0.47368421052631576,0.02682281292665089
10,GaussianNB,50,0.46,0.025424330658333924,0.8,0.4454499134669235,17,11,16,6,0.7391304347826086,0.5925925925925926,0.6071428571428571,0.04519007403524683
11,Logistic_L2,51,0.47058823529411764,0.025424330658333924,0.8,0.4339109143393394,16,17,10,8,0.6666666666666666,0.37037037037037035,0.48484848484848486,0.026879679646276092
11,RandomForest,51,0.47058823529411764,0.025424330658333924,0.8,0.37941808330696986,18,13,14,6,0.75,0.5185185185185185,0.5806451612903226,0.03904960180125344
11,ExtraTrees,51,0.47058823529411764,0.025424330658333924,0.8,0.4207906360390823,18,18,9,6,0.75,0.3333333333333333,0.5,0.028511760437498892
11,GradientBoosting,51,0.47058823529411764,0.025424330658333924,0.8,0.37080508424299313,19,14,13,5,0.7916666666666666,0.48148148148148145,0.5757575757575758,0.03830448618878559
11,SVC_RBF,51,0.47058823529411764,0.025424330658333924,0.8,0.43428842468024464,14,16,11,10,0.5833333333333334,0.4074074074074074,0.4666666666666667,0.025037021577973998
11,MLP,51,0.47058823529411764,0.025424330658333924,0.8,0.44472113129067575,12,14,13,12,0.5,0.48148148148148145,0.46153846153846156,0.02453860018786017
11,GaussianNB,51,0.47058823529411764,0.025424330658333924,0.8,0.41890555381343697,24,27,0,0,1.0,0.0,0.47058823529411764,0.025424330658333924
12,Logistic_L2,51,0.47058823529411764,0.025424330658333924,0.8,0.4323858786550258,13,15,12,11,0.5416666666666666,0.4444444444444444,0.4642857142857143,0.024804488329703202
12,RandomForest,51,0.47058823529411764,0.025424330658333924,0.8,0.4256192936138297,14,12,15,10,0.5833333333333334,0.5555555555555556,0.5384615384615384,0.03310640021841946
12,ExtraTrees,51,0.47058823529411764,0.025424330658333924,0.8,0.41324502112305317,17,15,12,7,0.7083333333333334,0.4444444444444444,0.53125,0.03219095239942311
12,GradientBoosting,51,0.47058823529411764,0.025424330658333924,0.8,0.4223882205959639,18,12,15,6,0.75,0.5555555555555556,0.6,0.04216651980072764
12,SVC_RBF,51,0.47058823529411764,0.025424330658333924,0.8,0.4275991201963813,18,16,11,6,0.75,0.4074074074074074,0.5294117647058824,0.03196181952450759
12,MLP,51,0.47058823529411764,0.025424330658333924,0.8,0.4276364879508037,24,27,0,0,1.0,0.0,0.47058823529411764,0.025424330658333924
12,GaussianNB,51,0.47058823529411764,0.025424330658333924,0.8,0.4295146683207027,5,4,23,19,0.20833333333333334,0.8518518518518519,0.5555555555555556,0.03538746084534516
13,Logistic_L2,50,0.46,0.025424330658333924,0.8,0.4311409352685231,13,15,12,10,0.5652173913043478,0.4444444444444444,0.4642857142857143,0.025855060798219292
13,RandomForest,50,0.46,0.025424330658333924,0.8,0.4289715614930922,19,6,21,4,0.8260869565217391,0.7777777777777778,0.76,0.08840450788186162
13,ExtraTrees,50,0.46,0.025424330658333924,0.8,0.42762249969668914,19,19,8,4,0.8260869565217391,0.2962962962962963,0.5,0.029714566777847794
13,GradientBoosting,50,0.46,0.025424330658333924,0.8,0.42013905092844855,20,8,19,3,0.8695652173913043,0.7037037037037037,0.7142857142857143,0.07111661771543935
13,SVC_RBF,50,0.46,0.025424330658333924,0.8,0.4336145871055081,21,17,10,2,0.9130434782608695,0.37037037037037035,0.5526315789473685,0.03645137383569784
13,MLP,50,0.46,0.025424330658333924,0.8,0.4376939140346593,21,23,4,2,0.9130434782608695,0.14814814814814814,0.4772727272727273,0.02720097533612607
13,GaussianNB,50,0.46,0.025424330658333924,0.8,0.4292443592647891,23,27,0,0,1.0,0.0,0.46,0.025424330658333924
14,Logistic_L2,50,0.46,0.025424330658333924,0.8,0.43976617288662706,17,21,6,6,0.7391304347826086,0.2222222222222222,0.4473684210526316,0.02419157159533022
14,RandomForest,50,0.46,0.025424330658333924,0.8,0.4225644305142822,15,13,14,8,0.6521739130434783,0.5185185185185185,0.5357142857142857,0.034130014192003275
14,ExtraTrees,50,0.46,0.025424330658333924,0.8,0.4486836717465105,15,18,9,8,0.6521739130434783,0.3333333333333333,0.45454545454545453,0.024885382039272867
14,GradientBoosting,50,0.46,0.025424330658333924,0.8,0.40987770670335544,17,18,9,6,0.7391304347826086,0.3333333333333333,0.4857142857142857,0.028110162028341098
14,SVC_RBF,50,0.46,0.025424330658333924,0.8,0.44976575253330237,17,22,5,6,0.7391304347826086,0.18518518518518517,0.4358974358974359,0.023117374960608648
14,MLP,50,0.46,0.025424330658333924,0.8,0.42384864547735596,18,22,5,5,0.782608695652174,0.18518518518518517,0.45,0.024443980507531368
14,GaussianNB,50,0.46,0.025424330658333924,0.8,0.4492259400451271,22,27,0,1,0.9565217391304348,0.0,0.4489795918367347,0.02434583700406485
15,Logistic_L2,50,0.46,0.025424330658333924,0.8,0.4447643645327382,19,25,2,4,0.8260869565217391,0.07407407407407407,0.4318181818181818,0.02274527861523468
15,RandomForest,50,0.46,0.025424330658333924,0.8,0.4069892196886735,23,19,8,0,1.0,0.2962962962962963,0.5476190476190477,0.035746644822727554
15,ExtraTrees,50,0.46,0.025424330658333924,0.8,0.3746086831367633,23,27,0,0,1.0,0.0,0.46,0.025424330658333924
15,GradientBoosting,50,0.46,0.025424330658333924,0.8,0.4198847797626663,22,14,13,1,0.9565217391304348,0.48148148148148145,0.6111111111111112,0.045914698999753416
15,SVC_RBF,50,0.46,0.025424330658333924,0.8,0.4427702809929583,22,25,2,1,0.9565217391304348,0.07407407407407407,0.46808510638297873,0.02624239252351211
15,MLP,50,0.46,0.025424330658333924,0.8,0.4116475867755875,23,27,0,0,1.0,0.0,0.46,0.025424330658333924
15,GaussianNB,50,0.46,0.025424330658333924,0.8,0.43381953464429773,23,27,0,0,1.0,0.0,0.46,0.025424330658333924
