fold,model,n_test,pi_test,pi_ref,target_sens_train,thr_from_train_inner_oof,TP,FP,TN,FN,sens_test,spec_test,ppv_observed_test,ppv_standardized_pi_ref
1,Logistic_L2,2817,0.025559105431309903,0.025424330658333924,0.8,0.8983924196726031,67,0,2745,5,0.9305555555555556,1.0,1.0,1.0
1,RandomForest,2817,0.025559105431309903,0.025424330658333924,0.8,0.9148544090183494,63,0,2745,9,0.875,1.0,1.0,1.0
1,ExtraTrees,2817,0.025559105431309903,0.025424330658333924,0.8,0.948839271187475,64,0,2745,8,0.8888888888888888,1.0,1.0,1.0
1,GradientBoosting,2817,0.025559105431309903,0.025424330658333924,0.8,0.9721462096473633,58,0,2745,14,0.8055555555555556,1.0,1.0,1.0
1,SVC_RBF,2817,0.025559105431309903,0.025424330658333924,0.8,0.4655205849289271,66,6,2739,6,0.9166666666666666,0.9978142076502732,0.9166666666666666,0.9162512949375743
1,MLP,2817,0.025559105431309903,0.025424330658333924,0.8,0.9110218176557544,68,0,2745,4,0.9444444444444444,1.0,1.0,1.0
1,GaussianNB,2817,0.025559105431309903,0.025424330658333924,0.8,0.056737847946023774,67,1026,1719,5,0.9305555555555556,0.6262295081967213,0.06129917657822507,0.06098773736097121
2,Logistic_L2,2816,0.02521306818181818,0.025424330658333924,0.8,0.9286024612404804,61,2,2743,10,0.8591549295774648,0.9992714025500911,0.9682539682539683,0.9685160636634487
2,RandomForest,2816,0.02521306818181818,0.025424330658333924,0.8,0.94535482898062,64,1,2744,7,0.9014084507042254,0.9996357012750455,0.9846153846153847,0.9847445283554819
2,ExtraTrees,2816,0.02521306818181818,0.025424330658333924,0.8,0.9616836751152956,63,2,2743,8,0.8873239436619719,0.9992714025500911,0.9692307692307692,0.969485054321528
2,GradientBoosting,2816,0.02521306818181818,0.025424330658333924,0.8,0.9737055660655832,64,2,2743,7,0.9014084507042254,0.9992714025500911,0.9696969696969697,0.969947521445401
2,SVC_RBF,2816,0.02521306818181818,0.025424330658333924,0.8,0.42197480350261984,59,5,2740,12,0.8309859154929577,0.9981785063752276,0.921875,0.9224893481155702
2,MLP,2816,0.02521306818181818,0.025424330658333924,0.8,0.9606395229327154,63,2,2743,8,0.8873239436619719,0.9992714025500911,0.9692307692307692,0.969485054321528
2,GaussianNB,2816,0.02521306818181818,0.025424330658333924,0.8,0.35609873838392686,61,2,2743,10,0.8591549295774648,0.9992714025500911,0.9682539682539683,0.9685160636634487
3,Logistic_L2,2816,0.02521306818181818,0.025424330658333924,0.8,0.9262566014287745,56,0,2745,15,0.7887323943661971,1.0,1.0,1.0
3,RandomForest,2816,0.02521306818181818,0.025424330658333924,0.8,0.9314107807782787,56,0,2745,15,0.7887323943661971,1.0,1.0,1.0
3,ExtraTrees,2816,0.02521306818181818,0.025424330658333924,0.8,0.9494975356473648,55,0,2745,16,0.7746478873239436,1.0,1.0,1.0
3,GradientBoosting,2816,0.02521306818181818,0.025424330658333924,0.8,0.9671575445692542,49,0,2745,22,0.6901408450704225,1.0,1.0,1.0
3,SVC_RBF,2816,0.02521306818181818,0.025424330658333924,0.8,0.4163137800958723,59,2,2743,12,0.8309859154929577,0.9992714025500911,0.9672131147540983,0.9674835148706061
3,MLP,2816,0.02521306818181818,0.025424330658333924,0.8,0.9491831565861698,60,0,2745,11,0.8450704225352113,1.0,1.0,1.0
3,GaussianNB,2816,0.02521306818181818,0.025424330658333924,0.8,0.05788045005922052,69,956,1789,2,0.971830985915493,0.6517304189435337,0.06731707317073171,0.06785657021730812
4,Logistic_L2,2816,0.02556818181818182,0.025424330658333924,0.8,0.9070145805364307,67,0,2744,5,0.9305555555555556,1.0,1.0,1.0
4,RandomForest,2816,0.02556818181818182,0.025424330658333924,0.8,0.9273157330412367,60,0,2744,12,0.8333333333333334,1.0,1.0,1.0
4,ExtraTrees,2816,0.02556818181818182,0.025424330658333924,0.8,0.9444840695881225,65,0,2744,7,0.9027777777777778,1.0,1.0,1.0
4,GradientBoosting,2816,0.02556818181818182,0.025424330658333924,0.8,0.9615674861690792,68,0,2744,4,0.9444444444444444,1.0,1.0,1.0
4,SVC_RBF,2816,0.02556818181818182,0.025424330658333924,0.8,0.5043574405936186,61,1,2743,11,0.8472222222222222,0.9996355685131195,0.9838709677419355,0.9837788341149473
4,MLP,2816,0.02556818181818182,0.025424330658333924,0.8,0.9578527985147183,62,0,2744,10,0.8611111111111112,1.0,1.0,1.0
4,GaussianNB,2816,0.02556818181818182,0.025424330658333924,0.8,0.05821892820025074,67,882,1862,5,0.9305555555555556,0.6785714285714286,0.07060063224446786,0.07022167870890679
5,Logistic_L2,2816,0.02556818181818182,0.025424330658333924,0.8,0.9204240737690205,58,1,2743,14,0.8055555555555556,0.9996355685131195,0.9830508474576272,0.9829541102349724
5,RandomForest,2816,0.02556818181818182,0.025424330658333924,0.8,0.9489546048344085,57,2,2742,15,0.7916666666666666,0.999271137026239,0.9661016949152542,0.9659115749450189
5,ExtraTrees,2816,0.02556818181818182,0.025424330658333924,0.8,0.9580127563144192,58,2,2742,14,0.8055555555555556,0.999271137026239,0.9666666666666667,0.9664796054208216
5,GradientBoosting,2816,0.02556818181818182,0.025424330658333924,0.8,0.9784637570326642,64,2,2742,8,0.8888888888888888,0.999271137026239,0.9696969696969697,0.9695263779279841
5,SVC_RBF,2816,0.02556818181818182,0.025424330658333924,0.8,0.43426917618118466,62,9,2735,10,0.8611111111111112,0.9967201166180758,0.8732394366197183,0.8725971773994358
