model,n_folds,ppv_std_mean,ppv_std_std,ppv_obs_mean,sens_mean,spec_mean,thr_mean,ppv_std_sem
ExtraTrees,15,0.030829957648842873,0.0037413479237929552,0.5119855573276626,0.7841787439613526,0.35061728395061725,0.4207490866787259,0.0009660118800811874
GaussianNB,15,0.029477561637165958,0.008816856698190092,0.4934048890404176,0.8059178743961353,0.22469135802469134,0.43312281089208793,0.0022765026105325027
GradientBoosting,15,0.04393772455348502,0.013134469272608026,0.5925589031945768,0.8008454106280193,0.5135802469135802,0.40418696658267017,0.003391305383605595
Logistic_L2,15,0.026795368814240005,0.005911779477777786,0.47342491762991545,0.769927536231884,0.254320987654321,0.4296161331550072,0.0015264148975922764
MLP,15,0.025733646391532604,0.005879337557022859,0.4620235981748459,0.775,0.21728395061728395,0.42160735123698495,0.001518038429672089
RandomForest,15,0.04471093306525509,0.015248618327227379,0.5956411045457948,0.7528985507246376,0.5506172839506173,0.41585366098185994,0.003937176322268323
SVC_RBF,15,0.02911644221849548,0.004633133836936469,0.4961048418516269,0.8107487922705314,0.2765432098765432,0.4298944074733599,0.0011962700127470009
