fold,model,R,Q_label,S_drop,S_ratio,C_exp,C_linear,E_cos,E_rank,E_jaccard,E_mix
4,GradientBoosting,0.95571398202138,0.6131542607760384,0.9733689794606603,0.9721349472319522,0.481622543637821,0.8660815086387559,0.8404841461258142,0.993837678196172,0.8701298701298701,0.9014838981506189
4,Logistic_L2,0.9273414723032071,0.6294676640549034,0.9867316240020598,0.9856920278073549,0.5957210462764797,0.9487319040401113,0.8753457202860683,0.9947370015588319,0.9228778467908902,0.9309868562119302
4,MLP,0.8470804988662131,0.7005023865514698,0.9923187839123745,0.9909321297110812,0.6902376627947214,0.9658529615662057,,,,
4,RandomForest,0.9539854632329122,0.6258398743351639,0.9884172791140265,0.9878585981306947,0.5529054928223956,0.9612518914861505,0.9242596861352531,0.9982774344237558,0.8513986013986015,0.9246452406525368
4,SVC_RBF,0.9290345602526725,0.6403299967146863,0.9005453617850206,0.8929483977555708,0.4425596932262382,0.925426995754136,,,,
5,ExtraTrees,0.9458237163913183,0.641598899699913,0.9915832776563007,0.9911011722389945,0.4991477694088227,0.9605700780450994,0.9403129359501472,0.9970854273554742,0.8257575757575757,0.9210519796877324
5,GaussianNB,0.6042020975056689,0.8854464921626962,0.9966935633576697,0.994527598204558,0.9622809566294845,0.9676690478788226,,,,
5,GradientBoosting,0.9599985827664399,0.6246370747145804,0.9880401937560739,0.9875418501033627,0.38578872663234837,0.9297061579240944,0.8487221326845025,0.994586514911396,0.8549574419139636,0.8994220298366207
5,Logistic_L2,0.8879170715905409,0.6575122959470059,0.9853325816933918,0.9834810943762262,0.2691602380634551,0.9470434128526114,0.8739887016673947,0.9968327749649915,0.9138198757763976,0.9282137841362612
5,MLP,0.8550119452542921,0.6595323125583985,0.9979598796363783,0.9976139276470722,0.6102908505540128,0.9542998032970273,,,,
5,RandomForest,0.9532363540654357,0.6224621216941711,0.9746090586532232,0.973363435795109,0.5237860157613383,0.9624368681463068,0.9266787034700363,0.9981825199998251,0.8712121212121212,0.9320244482273276
5,SVC_RBF,0.929325599287334,0.63095842838733,0.9082080427223077,0.9012273444863024,0.4009908514918538,0.9320510505934902,,,,
6,ExtraTrees,0.967215644606355,0.6135331649300394,0.9911467820279296,0.9908466968847062,0.7024821220794664,0.9645316118062951,0.9405286287194652,0.997159674929033,0.7878787878787878,0.9085223638424287
6,GaussianNB,0.5863893948593402,0.8768658119990409,0.9952599721542228,0.9919165866773885,0.9582858993836239,0.9639595494791657,,,,
6,GradientBoosting,0.9608328273628821,0.6053809738019196,0.9722022996357013,0.9710691604476984,0.3857929811489142,0.8677797971942626,0.8368210798444129,0.9947413917302983,0.8719613719613719,0.9011746145120277
6,Logistic_L2,0.9270542400323822,0.6409400579347159,0.938764926128314,0.9339466115054595,0.4856852244468603,0.948712090817889,0.871834217843369,0.9969190342490056,0.9188311688311688,0.9291948069745145
6,MLP,0.9252276867030964,0.6380896666154305,0.9656442901234569,0.9628678320257016,0.6539522306057008,0.9555972908356233,,,,
6,RandomForest,0.9669727787897187,0.6132140350963828,0.9827568432503542,0.9821678984882234,0.6566232158236202,0.9636403357664773,0.9356815091251964,0.9981262859272357,0.9423076923076923,0.9587051624533748
6,SVC_RBF,0.9362224246104027,0.6398770287728663,0.9051722829386764,0.8987124057606464,0.22711275854905802,0.9243143577859233,,,,
7,ExtraTrees,0.9535544780522845,0.5942520105022681,0.9908955949755439,0.9904521396156432,0.6447446999493737,0.9612884067249645,0.9450612507779486,0.9967777209166022,0.8522727272727273,0.931370566322426
7,GaussianNB,0.6180327868852459,0.8257352555430826,0.9944444444444445,0.991010904802607,0.9515847342731965,0.9587177747637307,,,,
7,GradientBoosting,0.9464506529156725,0.6079501593618492,0.9853305562684791,0.9845005720190597,0.37378105560525854,0.9074109008589926,0.8509637730594901,0.9945618993578785,0.8611388611388612,0.9022215111854099
7,Logistic_L2,0.9297365247954026,0.6108185819057512,0.9379795649964325,0.9332924615196505,0.3585889045114113,0.9482691990854754,0.8708595200844849,0.9961812229920299,0.9109730848861284,0.926004609320881
7,MLP,0.8629415839298084,0.6535034379614457,0.9913995356473999,0.9900335497636771,0.537937076232444,0.9530321070082411,,,,
7,RandomForest,0.9455758228789861,0.6138221098064692,0.9807717331944017,0.9796650185620136,0.5475013330555336,0.9622102624733665,0.935836554539132,0.9982873836313153,0.8484848484848484,0.9275362622184318
7,SVC_RBF,0.9340106211036713,0.623921059098998,0.9795001795838785,0.9780518337227246,0.2262540857788961,0.9256679273859827,,,,
8,ExtraTrees,0.9524974986531209,0.6057877184069195,0.993269073716398,0.9929333921677088,0.6501040401616851,0.9607123064216383,0.9408078407521492,0.9972217848285636,0.8135198135198135,0.9171831463668422
8,GaussianNB,0.6045768234177378,0.8398802120531027,0.996960280388665,0.9949721532577184,0.9597291515886368,0.9654856690338511,,,,
