model,R_mean,R_ci_lo,R_ci_hi,Q_label_mean,Q_label_ci_lo,Q_label_ci_hi,S_drop_mean,S_drop_ci_lo,S_drop_ci_hi,S_ratio_mean,S_ratio_ci_lo,S_ratio_ci_hi,C_exp_mean,C_exp_ci_lo,C_exp_ci_hi,C_linear_mean,C_linear_ci_lo,C_linear_ci_hi,E_cos_mean,E_cos_ci_lo,E_cos_ci_hi,E_rank_mean,E_rank_ci_lo,E_rank_ci_hi,E_jaccard_mean,E_jaccard_ci_lo,E_jaccard_ci_hi,E_mix_mean,E_mix_ci_lo,E_mix_ci_hi
ExtraTrees,0.9564424683455054,0.9523605394135294,0.9608432150550981,0.6095918983787242,0.6005077282909769,0.6195197321695017,0.9921711436115144,0.9913239490415502,0.9930354066559625,0.9918196208872232,0.9909870042359049,0.9926215873237049,0.6253509029699239,0.5979912910859678,0.6501162608866932,0.9613062120756816,0.9607159875231217,0.9619276685901114,0.9407765790787442,0.9394024097191896,0.9420579907322797,0.9967038669973363,0.9964982229060143,0.9968939794220865,0.8283744033744035,0.8103225940725939,0.847105672105672,0.9219516164834947,0.91618138712346,0.9286971852052417
GaussianNB,0.6096025107485288,0.6040812178173829,0.6149706004573843,0.8534813589273648,0.8432333649092616,0.8641284132094476,0.9959765351781956,0.9955294351778123,0.996449750302929,0.9934032242702944,0.9926664172000385,0.9941583364378467,0.9562603917880195,0.9546127777570311,0.9578791784222319,0.9626990712855698,0.9613860473908035,0.963989338761219,,,,,,,,,,,,
GradientBoosting,0.9585266185931992,0.954773590150136,0.9622791838864235,0.6084823164483637,0.599398326754593,0.6174937540900821,0.9816295722813712,0.9782418518861952,0.9846775929029269,0.9808454978990273,0.9772157692404568,0.984138515906516,0.4631659841789237,0.41921466843943317,0.509423222041682,0.9112373133943702,0.8957755895405941,0.9266190666295195,0.8457726089845822,0.8429049655048516,0.8483711939805119,0.9947130695768335,0.994311987260425,0.9950993707504772,0.872506023230661,0.8598427793355329,0.8860283436370393,0.9043305672640256,0.900424728383528,0.908776680290816
Logistic_L2,0.9192540438451602,0.9091411390694828,0.9289334685458663,0.6289134321387607,0.6188045063724206,0.6397944959924857,0.9786975465368407,0.969015371990313,0.9856628804757716,0.9769236581352377,0.9666712707720612,0.9846531028507104,0.468905638594329,0.41656696320470826,0.5207196602499322,0.9482475057923871,0.9473029877505963,0.9493737442534902,0.873668196708058,0.8726353891418768,0.8746156256041515,0.9959036068287269,0.9954215096324105,0.996294009154733,0.9076049313005835,0.8996993694711085,0.9160199510634291,0.9257255782791228,0.9231199899551858,0.9286685387574206
MLP,0.8754029786679716,0.8625331141406665,0.8901119945540777,0.6544930412281159,0.6441906275595376,0.6650239007549196,0.9885340869110198,0.9841326867756583,0.9924024756217317,0.9871140934908911,0.982408229251751,0.9910055625081693,0.6508017258630632,0.6293207699209359,0.6715354991526851,0.9555254545979313,0.9536035061062617,0.9577497329228393,,,,,,,,,,,,
RandomForest,0.9594723445631679,0.9558296314187602,0.9628171642847688,0.6064342247804938,0.5972279711882899,0.6145449621461889,0.9797157427365212,0.9743462928745164,0.9835624681691134,0.9788792144169951,0.9731689453283439,0.9828699552284785,0.5910376825057956,0.5481055810624408,0.6309392776194178,0.9629663989553296,0.9621253105595302,0.9638001152398203,0.9302352874145388,0.9282455567216421,0.9323888287159126,0.9980564808491645,0.9979732448582684,0.9981399218577762,0.868201243201243,0.8401301476301475,0.8907959401709399,0.9321643371549821,0.922928947757804,0.9398063490499511
SVC_RBF,0.9310254087092513,0.9239616878254593,0.938789956023515,0.623618369054631,0.6134640874462712,0.632387338024884,0.9262111444380695,0.9122888512535439,0.9416094711754198,0.9207456954055127,0.9063944117253769,0.9385075010246976,0.37936792668525576,0.3344760783967943,0.42106270384105493,0.9267326540458456,0.9251471878669112,0.9286073371513274,,,,,,,,,,,,
