model,time_fit_s_mean,time_fit_s_std,time_pred_all_worlds_s_mean,time_pred_all_worlds_s_std,time_shap_s_mean,time_shap_s_std,time_total_s_mean,time_total_s_std
ExtraTrees,2.6214342105999813,0.4476088846834156,3.447729387200074,0.4701247290070799,64.9695353456,6.218047819831109,71.03869894340005,6.402858954438824
GaussianNB,0.026207971399996192,0.015304763961383742,0.11246280239997002,0.019900292033114633,0.0,0.0,0.1386707737999662,0.032418077547178945
GradientBoosting,2.3938528353333366,0.3476581199897364,0.11858174600009382,0.025026438530730537,0.7006416606666562,0.15989266272930974,3.2130762420000867,0.37242079103511383
Logistic_L2,0.047526416866700553,0.041891983774041214,0.11386113239998773,0.01477782854357518,0.18627158446666953,0.03942860521658638,0.34765913373335783,0.07970656801035755
MLP,1.4723911790666762,0.4968746269792532,0.15711856773315655,0.07708182953033957,0.0,0.0,1.6295097467998327,0.517363538663746
RandomForest,4.288183196266656,0.4063722825162792,3.411824369600034,0.3083829470545034,10.699139405266646,0.4807773453305792,18.399146971133337,0.9866149377846818
SVC_RBF,0.03610993879998053,0.006608788635384187,0.10828610093328735,0.02549018595534373,0.0,0.0,0.14439603973326787,0.03158154771439122
