fold,model,time_fit_s,time_pred_all_worlds_s,time_shap_s,time_total_s
1,Logistic_L2,0.09515331600005084,0.13944347800003243,0.2791610869999772,0.5137578810000605
1,RandomForest,4.310550906000003,3.481382743999916,11.084798308000018,18.876731957999937
1,ExtraTrees,2.2513753579999616,2.9311819879999916,68.25872767399994,73.4412850199999
1,GradientBoosting,2.0927839309999854,0.10582106000003932,0.600725390999969,2.7993303819999937
1,SVC_RBF,0.033355089999986376,0.09083315999998831,0.0,0.12418824999997469
1,MLP,1.3833101110000143,0.37182179700005236,0.0,1.7551319080000667
1,GaussianNB,0.07053567100001601,0.15139522100014347,0.0,0.22193089200015947
2,Logistic_L2,0.14742965100003858,0.13756422200015095,0.22704503099998874,0.5120389040001783
2,RandomForest,3.9724299040000233,3.5493376929998703,10.716613073999952,18.238380670999845
2,ExtraTrees,2.1808427279999023,3.2614016120000997,59.17738807500007,64.61963241500007
2,GradientBoosting,2.131181159999983,0.1551629769999181,1.0483424550000109,3.334686591999912
2,SVC_RBF,0.047447680000004766,0.15914828300003592,0.0,0.20659596300004068
2,MLP,1.4257592540000132,0.10642844999972567,0.0,1.532187703999739
2,GaussianNB,0.018219532999978583,0.08842583700004525,0.0,0.10664537000002383
3,Logistic_L2,0.019946533000052113,0.09491427500017835,0.16630948900001385,0.2811702970002443
3,RandomForest,4.083583181999984,3.4892430339998555,11.54983124699993,19.12265746299977
3,ExtraTrees,2.5774896350000063,3.0998145069999055,64.92758269399997,70.60488683599988
3,GradientBoosting,2.1706503770000154,0.09355717100004313,0.6180216740000333,2.882229222000092
3,SVC_RBF,0.0317244440000195,0.0889174879997654,0.0,0.1206419319997849
3,MLP,1.5182283860000325,0.12936502099989866,0.0,1.6475934069999312
3,GaussianNB,0.022765689000038947,0.1031135489999997,0.0,0.12587923800003864
4,Logistic_L2,0.02492681100000027,0.10573128399994403,0.24870586500003355,0.37936395999997785
4,RandomForest,4.574090394999985,3.4262006149999706,10.92518595499996,18.925476964999916
4,ExtraTrees,2.2799607150000156,3.487405234000107,71.10470876599993,76.87207471500005
4,GradientBoosting,2.2966023779999887,0.09711712499995429,0.5886263789999475,2.9823458819998905
4,SVC_RBF,0.03171092200000203,0.09067862500023693,0.0,0.12238954700023896
4,MLP,2.4878941019999274,0.25956379099989135,0.0,2.747457892999819
4,GaussianNB,0.02528660600000876,0.1554765230001749,0.0,0.18076312900018365
5,Logistic_L2,0.12508879699998943,0.1264476089999107,0.14858016799996676,0.4001165739998669
5,RandomForest,4.058424649000017,3.5736260739998897,10.484419856000045,18.11647057899995
5,ExtraTrees,2.205467924000004,3.072649465999916,58.998959883,64.27707727299992
5,GradientBoosting,2.4095874570000433,0.1656428770003231,0.9836486650000325,3.558878999000399
5,SVC_RBF,0.04881089599996358,0.16797969099980037,0.0,0.21679058699976395
5,MLP,1.9090180819999887,0.12162205999982234,0.0,2.030640141999811
5,GaussianNB,0.020310158000029332,0.10450790699997015,0.0,0.12481806499999948
6,Logistic_L2,0.023733087999971758,0.11110339499975908,0.167845912999951,0.30268239599968183
6,RandomForest,4.767167400999938,3.5901121769999236,11.14669878299992,19.50397836099978
6,ExtraTrees,3.6584935590000214,4.518484298999965,71.2072405319999,79.38421838999989
6,GradientBoosting,2.3646146050000425,0.1310836609998205,0.6359040170000299,3.131602282999893
6,SVC_RBF,0.034911079000039535,0.10943481599974803,0.0,0.14434589499978756
6,MLP,1.1056508430001486,0.13081990499972562,0.0,1.2364707479998742
6,GaussianNB,0.019250456000008853,0.10708042099963677,0.0,0.12633087699964562
7,Logistic_L2,0.02250655300008475,0.10879532700005257,0.19391651999990245,0.32521840000003976
7,RandomForest,4.512620738999885,3.1111429879999832,10.249931706000098,17.873695432999966
7,ExtraTrees,3.0964930499999355,4.298500235000802,60.809405298,68.20439858300074
7,GradientBoosting,2.285380253999847,0.11898586500046804,0.6881795130000228,3.0925456320003377
7,SVC_RBF,0.03600719499991101,0.10595539200016901,0.0,0.14196258700008002
7,MLP,0.7825244530001783,0.14374993600040398,0.0,0.9262743890005822
7,GaussianNB,0.02486614700001155,0.11137720300007459,0.0,0.13624335000008614
8,Logistic_L2,0.027898287000198252,0.12093830200001321,0.17456657800016728,0.32340316700037874
8,RandomForest,5.404383861000042,4.226663638000218,11.346537046999856,20.977584546000116
8,ExtraTrees,2.7050456590000067,3.89422125100009,74.38780376799991,80.98707067800001
8,GradientBoosting,3.085366645000022,0.11908551600004103,0.5947001849999651,3.799152346000028
8,SVC_RBF,0.03428651199988053,0.12259369399998832,0.0,0.15688020599986885
8,MLP,1.2623658370000612,0.1328872719991523,0.0,1.3952531089992135
8,GaussianNB,0.01989117699986309,0.11722185899998294,0.0,0.13711303599984603
9,Logistic_L2,0.02500882200001797,0.11419835199967565,0.1777550809999866,0.3169622549996802
9,RandomForest,4.31420594400015,3.240086503000157,9.761987010999974,17.31627945800028
9,ExtraTrees,2.9587136459999783,3.5721282370000154,56.30100662799987,62.83184851099986
9,GradientBoosting,2.687326969000196,0.15122577400006776,0.8399072429999705,3.6784599860002345
9,SVC_RBF,0.0309086990000651,0.09298100699970746,0.0,0.12388970599977256
9,MLP,1.1076271239999187,0.11339886599989768,0.0,1.2210259899998164
9,GaussianNB,0.01817190500014476,0.09235099800025637,0.0,0.11052290300040113
10,Logistic_L2,0.02267029399990861,0.09790176000001338,0.1441378120000536,0.2647098659999756
10,RandomForest,3.9162568790000023,3.344754916000511,10.958882499999845,18.21989429500036
10,ExtraTrees,2.596626762999904,3.1968500830002995,68.07991093800001,73.87338778400022
