AUROC,Brier,LogLoss,ECE,aECE,Brier_REL,Brier_RES,Brier_UNC,fold,model,world,severity,n_eval
0.5447530864197531,0.27671843203153856,0.7647918842137207,0.25394008738624296,0.2358112409411617,0.08480924599005712,0.056324490580545936,0.2491349480968858,1,Logistic_L2,WA_clean,0,51
0.5787037037037037,0.27302800009441447,0.9731927856258868,0.2436689904505958,0.23815468228275188,0.08705717722124073,0.05959246443675509,0.2491349480968858,1,Logistic_L2,WB_noise_outliers,1,51
0.5895061728395062,0.25809569576734637,0.7139955525544146,0.20063452373353377,0.23409776335150068,0.07588071705492704,0.06612841214917338,0.2491349480968858,1,Logistic_L2,WC_missingness,2,51
0.625,0.2515346423839981,0.7064355627699902,0.23562019873210513,0.23312065852190242,0.06617133801431559,0.06612841214917338,0.2491349480968858,1,Logistic_L2,WD_shift,3,51
0.558641975308642,0.2794549834747151,0.7754139287206695,0.23592856372784335,0.2087689733914366,0.07117012903413257,0.04161860822760476,0.2491349480968858,1,Logistic_L2,WE_surrogate_corrupt,4,51
0.3364197530864198,0.47058581774045666,7.336818749896204,0.47058690149604815,0.47058697767534335,0.2677764847494863,0.04632449058054595,0.2491349480968858,1,Logistic_L2,WF_nonlinear,5,51
0.5910493827160495,0.2648473579806788,0.7375091444734099,0.21684909992661092,0.18225593941636217,0.04730934390416235,0.028546712802768163,0.2491349480968858,1,Logistic_L2,WH_subgroup_shift,6,51
0.537037037037037,0.26895000350319576,0.7475431178984456,0.24948489083225056,0.3064913571929364,0.11462029665508408,0.07804690503652441,0.2283737024221453,1,Logistic_L2,WI_prevalence_shift,7,51
0.5324074074074074,0.2843128745284797,0.7839133582932114,0.24658387749402474,0.2742239687137206,0.1157626902357303,0.08246828143021913,0.2491349480968858,1,Logistic_L2,WJ_concept_drift,8,51
0.5833333333333334,0.26230795240125504,0.7324846547906733,0.23003837474664987,0.19501424673914144,0.054126979234564096,0.04161860822760476,0.2491349480968858,1,Logistic_L2,WG_label_noise,9,51
0.7692901234567902,0.20386817810457522,0.5960673982525783,0.14295751633986925,0.1916830065359477,0.057892276007625296,0.10044213763936946,0.2491349480968858,1,RandomForest,WA_clean,0,51
0.7908950617283951,0.20432096949891068,0.5977353306249868,0.12418300653594774,0.14189542483660128,0.03787784064088598,0.08344867358708188,0.2491349480968858,1,RandomForest,WB_noise_outliers,1,51
0.7322530864197531,0.2135548883442266,0.6178899492202545,0.15838235294117647,0.1590032679738562,0.04371515182461873,0.08083429450211456,0.2491349480968858,1,RandomForest,WC_missingness,2,51
0.7191358024691358,0.2189912037037037,0.6284886494961234,0.1487581699346405,0.212156862745098,0.06617338984204793,0.09554017685505574,0.2491349480968858,1,RandomForest,WD_shift,3,51
0.7608024691358024,0.20691226851851854,0.6023598004231958,0.15338235294117647,0.17566993464052283,0.044743688725490185,0.08900422914263743,0.2491349480968858,1,RandomForest,WE_surrogate_corrupt,4,51
0.5285493827160493,0.24912135076252728,0.6914966430598307,0.05333333333333333,0.1277124183006536,0.03135885984023239,0.033448673587081895,0.2491349480968858,1,RandomForest,WF_nonlinear,5,51
0.7685185185185185,0.20709372276688456,0.6037634304753707,0.1215522875816993,0.2349183006535948,0.07921186229121278,0.12004998077662438,0.2491349480968858,1,RandomForest,WH_subgroup_shift,6,51
0.7592592592592592,0.19174483932461875,0.5698528687870115,0.15645424836601304,0.23348039215686275,0.07261567333877995,0.10745866974240675,0.2283737024221453,1,RandomForest,WI_prevalence_shift,7,51
0.7700617283950618,0.20425253267973859,0.5968448317122457,0.14464052287581702,0.19183006535947714,0.05848666938997822,0.10044213763936946,0.2491349480968858,1,RandomForest,WJ_concept_drift,8,51
0.7415123456790124,0.21507732843137256,0.6210460368999063,0.17727124183006535,0.18550653594771244,0.062301317401960814,0.09554017685505574,0.2491349480968858,1,RandomForest,WG_label_noise,9,51
0.6743827160493827,0.22758067810457513,0.6435966095599529,0.14720588235294116,0.19923202614379085,0.06354653912490922,0.08246828143021914,0.2491349480968858,1,ExtraTrees,WA_clean,0,51
0.6728395061728395,0.22813270697167753,0.6446914510051672,0.1316666666666667,0.26924836601307184,0.09428245688090049,0.11351403306420609,0.2491349480968858,1,ExtraTrees,WB_noise_outliers,1,51
0.6820987654320988,0.229338425925926,0.6500147089466173,0.1734313725490196,0.26601307189542484,0.08539205292302107,0.10436370626682044,0.2491349480968858,1,ExtraTrees,WC_missingness,2,51
0.6751543209876544,0.2243616557734204,0.6378433744894153,0.08457516339869281,0.14787581699346403,0.03262520878721859,0.05632449058054593,0.2491349480968858,1,ExtraTrees,WD_shift,3,51
0.6473765432098766,0.23248837145969495,0.6540128809729474,0.16375816993464049,0.23264705882352943,0.0694754436728395,0.08410226835832373,0.2491349480968858,1,ExtraTrees,WE_surrogate_corrupt,4,51
0.6743827160493827,0.23421889978213506,0.6608903691152748,0.11215686274509809,0.1961437908496732,0.04955005492011621,0.06351403306420605,0.2491349480968858,1,ExtraTrees,WF_nonlinear,5,51
0.6682098765432098,0.22795733932461873,0.6451720667759878,0.13965686274509803,0.18246732026143794,0.052096028503994196,0.0726643598615917,0.2491349480968858,1,ExtraTrees,WH_subgroup_shift,6,51
0.6835016835016835,0.2120002859477124,0.6077810440221785,0.15387254901960784,0.22923202614379082,0.07558808778140885,0.09111880046136099,0.2283737024221453,1,ExtraTrees,WI_prevalence_shift,7,51
0.683641975308642,0.22754771241830068,0.6435362762392086,0.17290849673202616,0.2153921568627451,0.05580208900689906,0.07593233371780084,0.2491349480968858,1,ExtraTrees,WJ_concept_drift,8,51
