model,R_mean,R_ci_lo,R_ci_hi,Q_label_mean,Q_label_ci_lo,Q_label_ci_hi,S_drop_mean,S_drop_ci_lo,S_drop_ci_hi,S_ratio_mean,S_ratio_ci_lo,S_ratio_ci_hi,C_exp_mean,C_exp_ci_lo,C_exp_ci_hi,C_linear_mean,C_linear_ci_lo,C_linear_ci_hi,E_cos_mean,E_cos_ci_lo,E_cos_ci_hi,E_rank_mean,E_rank_ci_lo,E_rank_ci_hi,E_jaccard_mean,E_jaccard_ci_lo,E_jaccard_ci_hi,E_mix_mean,E_mix_ci_lo,E_mix_ci_hi
ExtraTrees,0.6282541599570585,0.5885508923778852,0.6680369363929147,0.9366794412636278,0.8917215972006821,0.9759714650287312,0.9898607718184258,0.9858600241990658,0.9935681319726555,0.9841935258872998,0.9779435638682608,0.9902621409045447,0.7907704217893019,0.753801567975412,0.8236466817377286,0.9636076055304047,0.9579798581212741,0.9690114365347672,0.8974086949275194,0.8939143311853989,0.9008899609640818,0.990870289508649,0.9895856239002432,0.9919405802932819,0.8383720446220446,0.814641885891886,0.8620912767787768,0.9088836763527378,0.9003490560743358,0.9172132006513373
GaussianNB,0.5469851494006084,0.5155013754696727,0.5777781132581858,0.9356500284025924,0.8994631145005678,0.9683691448774181,0.9934709825966996,0.9907705920638299,0.9959266267495811,0.9883085822746082,0.984012027038298,0.9925564548556997,0.9468612398433753,0.9343858203482799,0.9590589442715193,0.9724483815886185,0.9640346909005254,0.9797100451377266,,,,,,,,,,,,
GradientBoosting,0.7153068527464661,0.6755803811057434,0.7528191536947576,0.9314362398197884,0.9044245969317445,0.9573824437954813,0.9446598254078628,0.9359831069094732,0.9544544135497488,0.9238162199429688,0.9128251028623867,0.9362073579824233,0.8337107769069316,0.8050081197383974,0.862835607229827,0.9517687387323567,0.9443866912458663,0.9593485149314361,0.8359455699139406,0.8310613245154514,0.8413970727630715,0.9943259754431857,0.993699917589831,0.9949639143325937,0.8792746732601805,0.8652603732150835,0.8919380559054474,0.9031820728724358,0.8985220244851101,0.9076499100978463
Logistic_L2,0.6068080157452138,0.5770178028269816,0.6397166308820897,0.9563506310801251,0.9261233495731774,0.9825343286097111,0.948046957599343,0.9412593988521486,0.9548318579184559,0.9144794058863394,0.9046580194127661,0.923737361484769,0.8291670760417162,0.8081262263393548,0.8487126586019321,0.945663469602738,0.9390182528041161,0.9509349871493608,0.8748090304489359,0.8703655792804759,0.8800162452180927,0.9943587808214878,0.9935521346524003,0.9950480190117786,0.9282197753936884,0.9171901703369095,0.9386067585795845,0.9324625288880374,0.9290399601237523,0.9355914371168286
MLP,0.6062980855251389,0.5688346528896047,0.6409872070137771,0.9506253427935576,0.913255314770373,0.9818734235231663,0.9836690234165324,0.9770753829877378,0.9886199478111938,0.9723018208870385,0.9602016360146013,0.9820973041597966,0.8884317507990411,0.875603944241696,0.9011980942640019,0.9559475039654478,0.948706523767071,0.9623743452676289,,,,,,,,,,,,
RandomForest,0.740025049203793,0.7008819779924853,0.7784744587582751,0.9278701367727683,0.8979402367487447,0.9558809146534991,0.9698669337294035,0.9621628596629538,0.9771586218401304,0.9605075920595011,0.9514525607576025,0.9692690893197442,0.7933242425023062,0.7683810404090173,0.8183334759341121,0.9568102859477123,0.9480896578159042,0.9641224019607841,0.8635872111303844,0.858412494830595,0.8687358602697728,0.9956753920789413,0.9953037046132197,0.9960520759722075,0.8591595904095903,0.8387026688589189,0.8822493305305806,0.9061407312063053,0.8992624298736046,0.9135845981055343
SVC_RBF,0.6585368581141527,0.6238161455537664,0.6945759527643586,0.9448327622693822,0.9107345250990024,0.9761337927467314,0.9876376772200671,0.9832022114830372,0.9917697488992683,0.9818239283761657,0.9758345911126072,0.987591298309033,0.7197412092911935,0.6505280517201042,0.7780436810402843,0.9576402631094505,0.950796781749593,0.9636965244878146,,,,,,,,,,,,
