model,RSCE_full
RandomForest,0.8334412189204594
GradientBoosting,0.8203279697501071
ExtraTrees,0.7956021737421477
Logistic_L2,0.7761466961611344
MLP,0.7118961306359755
GaussianNB,0.704658882411301
SVC_RBF,0.7019101636167497
