model,AUROC,AUPRC,LogLoss,Brier,ECE
ExtraTrees,0.6235517568850901,0.5665760821003344,0.6731895291172989,0.2400539578778767,0.0388810300902233
GaussianNB,0.5627097182652738,0.5181827085197567,0.6912127925135166,0.24879217795470504,0.06319685181826129
GradientBoosting,0.7321937321937322,0.6756097665495734,0.6125407032027014,0.21115661305246744,0.07789437315647227
Logistic_L2,0.5936688825577714,0.5414703407695152,0.6785111963066032,0.24280834898396078,0.022632153457823566
MLP,0.5453624564735675,0.5040848942146674,0.6881103971770247,0.24746600503329635,0.033321164373350746
RandomForest,0.7371953149730928,0.6955091258895663,0.6204319835300208,0.2143683657271661,0.08576510697615435
SVC_RBF,0.646343779677113,0.598515345459973,0.6679138156691334,0.23753381444985128,0.03788712759024678
