model,AUROC,AUPRC,LogLoss,Brier,ECE
ExtraTrees,0.9923306995514198,0.977644858985229,0.005408295629762112,0.0007886885984243868,0.0005896086499878293
GaussianNB,0.863439717279273,0.24422241273444417,0.08929728590467463,0.021678028182510106,0.005550219607444749
GradientBoosting,0.9937749779455198,0.973332736971836,0.006603966059197758,0.0010885462493767572,0.0014352956078234058
Logistic_L2,0.9963888460306211,0.9838544084495254,0.005894422743130769,0.0009306169503375076,0.0014539398096363096
MLP,0.9935973818777512,0.971119549841843,0.010855277410832117,0.0020475302545150337,0.002266837147868864
RandomForest,0.9948296645072885,0.9794706007310685,0.005686562271462156,0.0008373362073126934,0.0007401718901002231
SVC_RBF,0.9974560508252466,0.9467121383865471,0.016424622336610177,0.004217950752829843,0.0029679058664842392
