run_id,model,AUROC,AUPRC,LogLoss,Brier,ECE
483,ExtraTrees,1.0,1.0,0.029389238674334843,0.004417828825756442,0.02617806059690705
483,GradientBoosting,1.0,1.0,0.022608998596692253,0.0021794053494077524,0.021275895492635248
483,GaussianNB,0.43191056910569103,0.02114374793441478,0.11386600504206934,0.023319717313793252,0.007326143582136846
483,MLP,0.6998644986449865,0.34007011339134746,0.10011538056888741,0.021817561023617305,0.016359931597447974
483,SVC_RBF,0.7892953929539295,0.06276978930309772,0.10838641237472099,0.023170142562872746,0.008803358495932698
484,Logistic_L2,0.7161246612466124,0.3342680838181145,0.09849662568119932,0.021142655739964652,0.017405015794886996
484,RandomForest,0.9911924119241192,0.8859649122807017,0.04902253629358116,0.010595070815798836,0.022945960362061382
484,ExtraTrees,0.9939024390243902,0.8999999999999999,0.0406511302915203,0.0078019032966257585,0.020022576419223857
484,GradientBoosting,1.0,1.0,0.022608998596692256,0.0021794053494077524,0.021275895492635248
484,GaussianNB,0.6158536585365852,0.19234275682444785,0.1037041368525348,0.021618794041027053,0.0118388962486092
484,MLP,0.7411924119241192,0.23904483330732318,0.10220107398023826,0.021971409118577513,0.013145860549811438
484,SVC_RBF,0.698509485094851,0.07905966858556604,0.10892212780714688,0.023066587635723265,0.007794435874892132
485,Logistic_L2,0.7696476964769648,0.13297886427298192,0.10517234859118682,0.022800151393080694,0.011045457154648114
485,RandomForest,0.9932249322493225,0.8958333333333333,0.051456963140377135,0.011800972905852039,0.030037369254734596
485,ExtraTrees,0.997289972899729,0.9333333333333333,0.04017181872075278,0.008244649124466345,0.02513410855268694
485,GradientBoosting,1.0,1.0,0.02260899859669228,0.0021794053494077533,0.02127589549263525
485,GaussianNB,0.5657181571815718,0.35004177109440265,0.09582757085744217,0.020160038290591084,0.018900874829689697
485,MLP,0.45799457994579945,0.18796976358187586,0.11227321159714602,0.022586454720102865,0.012072553101806174
485,SVC_RBF,0.7967479674796748,0.06763774223139549,0.108573454071087,0.023367830779146972,0.008249389909615441
486,Logistic_L2,0.9762872628726288,0.6544657097288675,0.07376002049518653,0.01656422398472159,0.020494940037278
486,RandomForest,0.9952574525745257,0.8134920634920634,0.043201948664967744,0.009868533152364415,0.028002719453314458
486,ExtraTrees,1.0,1.0,0.027328238690502018,0.003812922151512492,0.024554863604228063
486,GradientBoosting,1.0,1.0,0.02302179169762311,0.0023654721226457607,0.021552295180939502
486,GaussianNB,0.5501355013550135,0.18904728818746536,0.10351898030289707,0.02160666954820952,0.00914640841813624
486,MLP,0.8929539295392954,0.5109986504723346,0.08317286173755653,0.018880913554263353,0.01827282106530353
486,SVC_RBF,0.924119241192412,0.15628919297649946,0.09514943105026161,0.022138372933266072,0.00929002598790198
487,Logistic_L2,0.7560975609756099,0.3240622317204595,0.09458322726258327,0.02002141589422572,0.017499482408049945
487,RandomForest,0.9864498644986449,0.7178571428571427,0.05728138603846854,0.013618633679072322,0.022607923801694015
487,ExtraTrees,0.997289972899729,0.8734126984126983,0.04161227273834154,0.010049464224059472,0.03130304783208574
487,GradientBoosting,0.9969512195121951,0.8178571428571427,0.0328667592820062,0.006519159378524558,0.02314054505012215
487,GaussianNB,0.6175474254742548,0.19308627567754563,0.1040505962775328,0.021774065250182044,0.011380292679817012
487,MLP,0.5806233062330624,0.054593612453874465,0.11278694161659289,0.023385135474072827,0.007041957677422
487,SVC_RBF,0.6754742547425474,0.05477286566800633,0.1115910455394389,0.023275142407971745,0.00904702255417369
488,Logistic_L2,0.6483739837398373,0.16937634883964137,0.10454518056098439,0.022514145832975747,0.009721813648561258
488,RandomForest,0.9417344173441735,0.27265580331618067,0.08070981735689828,0.020076924283242256,0.012314645343167523
488,ExtraTrees,0.9505420054200543,0.6686722436722436,0.06144084450096531,0.014163490189818504,0.02718950328012766
488,GradientBoosting,0.8485772357723578,0.7896825396825397,0.052249530815031205,0.010487773098925299,0.023998173170717313
488,GaussianNB,0.4532520325203252,0.022577010633716643,0.11437644665557918,0.02358118408501649,0.004303065754502095
488,MLP,0.8177506775067751,0.18440431158483894,0.10209862416027608,0.022373641496329574,0.011949548245808156
488,SVC_RBF,0.9654471544715446,0.2896825396825397,0.08216581990147606,0.020579533961599273,0.028590163149449337
489,Logistic_L2,0.9078590785907859,0.18803336403054374,0.09462309992857058,0.02180326851658876,0.01234149463522895
489,RandomForest,0.9911924119241192,0.7763278388278388,0.05530179540350193,0.01295585887669677,0.03093132766549255
489,ExtraTrees,1.0,1.0,0.03621560112919792,0.007583066383797556,0.027446691612522108
489,GradientBoosting,1.0,1.0,0.02260899859669228,0.002179405349407753,0.02127589549263525
489,GaussianNB,0.7503387533875339,0.36794127614634065,0.08988214752687058,0.01887248230700302,0.012222138355977496
489,MLP,0.5623306233062331,0.07108177613886732,0.11232016515164558,0.02321143679498109,0.00745688796603166
489,SVC_RBF,0.9424119241192412,0.4089170692431562,0.08467721240249751,0.019804415363654817,0.023217197219009972
490,Logistic_L2,0.8929539295392954,0.22416938997821348,0.09284056419709431,0.02132292322956138,0.014605370985083509
490,RandomForest,0.9715447154471545,0.7518315018315018,0.054129946246464215,0.011028488451203465,0.02156583942850183
490,ExtraTrees,0.9966124661246613,0.8968253968253967,0.039639886116854414,0.008584860846376764,0.02308882045557593
490,GradientBoosting,1.0,1.0,0.02260899859669228,0.0021794053494077533,0.021275895492635248
490,GaussianNB,0.6182249322493225,0.19193362655315005,0.10149866271831362,0.020565523562383864,0.011086549349504761
490,MLP,0.5013550135501355,0.044903990776475,0.11374248537889287,0.023318761307027848,0.007341170968568317
490,SVC_RBF,0.8136856368563685,0.1502115570599613,0.10280636971312677,0.022762844974642166,0.015100409569886116
491,Logistic_L2,0.7621951219512195,0.2545733230272533,0.09961866731625002,0.022424064332199928,0.010395370394201442
491,RandomForest,0.9464769647696477,0.7125576036866359,0.060842274183259,0.01219957421464012,0.021643178070133804
491,ExtraTrees,0.9532520325203252,0.8466666666666666,0.04842268641199312,0.008988731708627563,0.021635492179363513
491,GradientBoosting,0.848238482384824,0.7748015873015873,0.05581953125080448,0.011169303484839401,0.02112250555810315
491,GaussianNB,0.1873306233062331,0.015722560099996747,0.11629493669465092,0.02351628502656204,0.006684297064594476
491,MLP,0.5636856368563686,0.046152942835826515,0.11505088665303445,0.02375843259797904,0.008581815801373875
