bin,p_mean,y_mean,count,fold,model,world
3,0.2351388888888889,0.3333333333333333,6,2,RandomForest,WA_clean
4,0.29562499999999997,0.0,4,2,RandomForest,WA_clean
5,0.3634259259259259,0.3333333333333333,9,2,RandomForest,WA_clean
6,0.4335,0.2,5,2,RandomForest,WA_clean
7,0.5158333333333334,1.0,1,2,RandomForest,WA_clean
8,0.5606666666666666,0.8,5,2,RandomForest,WA_clean
9,0.6291666666666667,1.0,7,2,RandomForest,WA_clean
10,0.7001851851851852,0.5555555555555556,9,2,RandomForest,WA_clean
11,0.7783333333333333,0.0,1,2,RandomForest,WA_clean
12,0.8041666666666667,0.0,1,2,RandomForest,WA_clean
1,0.12166666666666667,1.0,1,2,RandomForest,WI_prevalence_shift
2,0.17666666666666667,0.0,2,2,RandomForest,WI_prevalence_shift
3,0.24233333333333337,0.2,5,2,RandomForest,WI_prevalence_shift
4,0.295625,0.0,8,2,RandomForest,WI_prevalence_shift
5,0.35874999999999996,0.16666666666666666,6,2,RandomForest,WI_prevalence_shift
6,0.436547619047619,0.14285714285714285,7,2,RandomForest,WI_prevalence_shift
7,0.5158333333333334,1.0,1,2,RandomForest,WI_prevalence_shift
8,0.5526190476190476,0.42857142857142855,7,2,RandomForest,WI_prevalence_shift
9,0.6288888888888889,1.0,6,2,RandomForest,WI_prevalence_shift
10,0.6970833333333333,0.5,8,2,RandomForest,WI_prevalence_shift
0,0.03543371910645855,0.5,2,3,Logistic_L2,WA_clean
1,0.11270237099241426,0.5,4,3,Logistic_L2,WA_clean
2,0.18291610069286063,0.5,2,3,Logistic_L2,WA_clean
3,0.2355325009903749,0.2857142857142857,7,3,Logistic_L2,WA_clean
4,0.2822426583910549,1.0,1,3,Logistic_L2,WA_clean
5,0.3743570148336645,0.5,6,3,Logistic_L2,WA_clean
6,0.44891796013370466,0.25,4,3,Logistic_L2,WA_clean
7,0.5232282559510278,0.5,2,3,Logistic_L2,WA_clean
8,0.5700806803995129,0.0,5,3,Logistic_L2,WA_clean
9,0.6068772035597244,0.0,1,3,Logistic_L2,WA_clean
10,0.6925003004396011,0.42857142857142855,7,3,Logistic_L2,WA_clean
11,0.7993109848047167,1.0,1,3,Logistic_L2,WA_clean
12,0.8204927543190017,1.0,2,3,Logistic_L2,WA_clean
13,0.8875870829825168,0.6666666666666666,3,3,Logistic_L2,WA_clean
14,0.9687323898912679,1.0,3,3,Logistic_L2,WA_clean
0,0.03543371910645855,0.5,2,3,Logistic_L2,WI_prevalence_shift
1,0.10643571185291298,0.2,5,3,Logistic_L2,WI_prevalence_shift
2,0.18732562195672356,1.0,1,3,Logistic_L2,WI_prevalence_shift
3,0.23046771279908812,0.2222222222222222,9,3,Logistic_L2,WI_prevalence_shift
4,0.2822426583910549,1.0,1,3,Logistic_L2,WI_prevalence_shift
5,0.3782323276483296,0.42857142857142855,7,3,Logistic_L2,WI_prevalence_shift
6,0.44875917616582406,0.14285714285714285,7,3,Logistic_L2,WI_prevalence_shift
7,0.520681574147689,0.0,2,3,Logistic_L2,WI_prevalence_shift
8,0.5827811391389378,0.0,4,3,Logistic_L2,WI_prevalence_shift
10,0.6908160684774789,0.42857142857142855,7,3,Logistic_L2,WI_prevalence_shift
11,0.7993109848047167,1.0,1,3,Logistic_L2,WI_prevalence_shift
12,0.8214764902916609,1.0,1,3,Logistic_L2,WI_prevalence_shift
13,0.8858465037053004,1.0,1,3,Logistic_L2,WI_prevalence_shift
