E_cos,E_rank,E_jaccard,E_mix,fold,model
0.8639154251651788,0.9954922006523073,0.9117965367965368,0.9237347208713409,1,Logistic_L2
0.8668664015146946,0.9955298664499963,0.8831168831168832,0.9151710503605246,1,RandomForest
0.8938475769689371,0.985300173305867,0.8068181818181819,0.8953219773643287,1,ExtraTrees
0.8276521249689941,0.994409442204301,0.8957708957708959,0.9059441543147303,1,GradientBoosting
0.8686453672743788,0.9955414208737883,0.9554865424430642,0.939891110197077,2,Logistic_L2
0.8664486795600104,0.9949585757336995,0.8030303030303031,0.8881458527746711,2,RandomForest
0.9018655890212689,0.9913164998793897,0.8607954545454546,0.9179925144820378,2,ExtraTrees
0.8479566536686752,0.9922152164775115,0.8886483886483887,0.9096067529315253,2,GradientBoosting
0.8767444479768396,0.9957020415345009,0.9177489177489178,0.9300651357534194,3,Logistic_L2
0.8583824582816721,0.9957600975692673,0.8257575757575757,0.893300043869505,3,RandomForest
0.9008940288692333,0.9927874792273954,0.7453379953379953,0.8796731678115414,3,ExtraTrees
0.822956122558756,0.9967313921317227,0.873235460191982,0.8976409916274869,3,GradientBoosting
0.8862411331286025,0.9922110786074626,0.8935817805383023,0.9240113307581225,4,Logistic_L2
0.8792550863000834,0.9953789140309075,0.8286713286713288,0.9011017763341066,4,RandomForest
0.8956436366960004,0.9912503497033757,0.8149350649350651,0.9006096837781471,4,ExtraTrees
0.8525209164335292,0.9955372143817205,0.8445558065123283,0.8975379791091926,4,GradientBoosting
0.8778995972544468,0.9951032350963762,0.9435817805383022,0.9388615376297084,5,Logistic_L2
0.8604186942203074,0.9958891174665663,0.9285714285714286,0.9282930800861008,5,RandomForest
0.8830777921249509,0.9929709992716711,0.795995670995671,0.8906814874640977,5,ExtraTrees
0.8298018773489956,0.9932760825872464,0.8244588744588744,0.8825122781317055,5,GradientBoosting
0.8730336199501115,0.9959038254369651,0.9534632034632035,0.9408002162834267,6,Logistic_L2
0.8847949253089084,0.995159084180457,0.8831168831168832,0.9210236308687495,6,RandomForest
0.8915605938776421,0.9925860399714161,0.768065268065268,0.884070633971442,6,ExtraTrees
0.8538024729466874,0.9924653215636822,0.8719613719613719,0.9060763888239137,6,GradientBoosting
0.873126875373724,0.9908575431639071,0.9554865424430642,0.9398236536602318,7,Logistic_L2
0.8732264094628666,0.9961408922483836,0.8484848484848485,0.905950716732033,7,RandomForest
0.9083347772726351,0.9911739301567865,0.795995670995671,0.8985014594750309,7,ExtraTrees
0.8440679084465297,0.9948671868151135,0.8771645021645023,0.9053665324753819,7,GradientBoosting
0.8655538928758033,0.994933533242387,0.9435817805383022,0.9346897355521642,8,Logistic_L2
0.8592568000449017,0.9947488131419431,0.8484848484848485,0.9008301538905644,8,RandomForest
0.8856638998369937,0.9857585702148874,0.8187229437229437,0.8967151379249416,8,ExtraTrees
0.834283765013202,0.9955779739386297,0.8771645021645021,0.9023420803721113,8,GradientBoosting
0.8763419564740951,0.9948159033176691,0.9435817805383022,0.9382465467766888,9,Logistic_L2
0.8606262945162835,0.9963406523420042,0.8376623376623378,0.8982097615068753,9,RandomForest
0.8968159564605236,0.9919658740981122,0.8741258741258742,0.9209692348948367,9,ExtraTrees
0.8219922190903859,0.9946185103096246,0.8525315264445699,0.8897140852815267,9,GradientBoosting
0.8707333769008465,0.9943151186149818,0.9208545078110295,0.9286343344422859,10,Logistic_L2
0.8425643026109335,0.9960262360431733,0.9423076923076923,0.9269660769872664,10,RandomForest
0.894379051677014,0.991720605278695,0.8901515151515151,0.9254170573690748,10,ExtraTrees
0.828687564049919,0.9940979223283949,0.9142857142857143,0.9123570668880093,10,GradientBoosting
0.8619086241176084,0.9960884094957008,0.9415584415584415,0.9331851583905836,11,Logistic_L2
0.8670888497450026,0.9969524927676234,0.9195804195804196,0.9278739206976819,11,RandomForest
0.9043176029560781,0.9921893160644386,0.8968531468531469,0.9311200219578879,11,ExtraTrees
0.8459695325612004,0.9957718975639381,0.9197722567287785,0.920504562284639,11,GradientBoosting
0.9003269633047123,0.9924482351966464,0.9100319969885187,0.9342690651632924,12,Logistic_L2
0.8527176007988513,0.9967792189258499,0.875,0.9081656065749004,12,RandomForest
0.8988156293916145,0.9928287079103643,0.8674242424242424,0.9196895265754069,12,ExtraTrees
0.8316166845017701,0.9950403261155432,0.8663419913419914,0.8976663339864349,12,GradientBoosting
0.872939339572887,0.993425607999151,0.9226190476190476,0.9296613317303618,13,Logistic_L2
0.8649589569084921,0.9946126516846425,0.7878787878787878,0.8824834654906408,13,RandomForest
0.908095936716454,0.9884815514123276,0.8741258741258742,0.9235677874182185,13,ExtraTrees
0.8337383271020409,0.9924542170698925,0.865921115921116,0.8973712200310165,13,GradientBoosting
0.878383239193911,0.9939668908821162,0.9237012987012987,0.9320171429257753,14,Logistic_L2
0.8553295652237474,0.9963022252871486,0.8376623376623378,0.8964313760577447,14,RandomForest
0.8959793175082694,0.9909448732807069,0.8831168831168832,0.9233470246352864,14,ExtraTrees
0.8363902520327837,0.99397043340937,0.8988095238095238,0.9097234030838925,14,GradientBoosting
0.8763415981708924,0.9945766682083591,0.8862224731789949,0.9190469131860821,15,Logistic_L2
0.8618731424590108,0.9945520433124555,0.8380681818181819,0.898164455863216,15,RandomForest
0.9018390345351776,0.9917793728543003,0.8831168831168832,0.9255784301687869,15,ExtraTrees
0.8277471279856423,0.9938564947510946,0.9184981684981685,0.9133672637449685,15,GradientBoosting
