fold,model,R,Q_label,S_drop,S_ratio,C_exp,C_linear,E_cos,E_rank,E_jaccard,E_mix
3,Logistic_L2,0.6151368760064412,1.0,0.9317947363123994,0.8891218095543413,0.8593645526549876,0.9552741126167588,0.8767444479768396,0.9957020415345009,0.9177489177489178,0.9300651357534194
3,MLP,0.6505636070853462,0.9336086252841705,0.9941752214170693,0.9910465655933046,0.9062129220706775,0.9631165120474783,,,,
3,RandomForest,0.784219001610306,0.9206039725150162,0.9461522493961353,0.9313358252046293,0.8192330129996994,0.9643583333333333,0.8583824582816721,0.9957600975692673,0.8257575757575757,0.893300043869505
3,SVC_RBF,0.7004830917874396,0.9562997347466455,0.9845102405394525,0.9778870330454732,0.6522317064422064,0.9486039722903584,,,,
4,ExtraTrees,0.7906602254428341,0.7434912162762862,0.9784621578099839,0.9727596741333474,0.7572994806592022,0.9727157590759076,0.8956436366960004,0.9912503497033757,0.8149350649350651,0.9006096837781471
4,GaussianNB,0.5386473429951691,0.7956438180638655,0.998858318236715,0.9978804652450163,0.9593023457071111,0.9800017314557649,,,,
4,GradientBoosting,0.7004830917874396,0.8251401392887829,0.9632397342995169,0.9475215517234991,0.8033459948405602,0.938324041190649,0.8525209164335292,0.9955372143817205,0.8445558065123283,0.8975379791091926
4,Logistic_L2,0.6972624798711755,0.8454362393189164,0.9394122383252819,0.9131062355648689,0.8030778423075235,0.9403315422799139,0.8862411331286025,0.9922110786074626,0.8935817805383023,0.9240113307581225
4,MLP,0.6376811594202899,0.7493282579477725,0.980877616747182,0.970012626261693,0.9205711438467343,0.973860381514567,,,,
4,RandomForest,0.825281803542673,0.7918875405493229,0.9667874396135266,0.9597560975599642,0.7281382277008274,0.9571270833333334,0.8792550863000834,0.9953789140309075,0.8286713286713288,0.9011017763341066
4,SVC_RBF,0.7536231884057971,0.8192497158003528,0.9834943639291466,0.9780982905976563,0.8294736119031128,0.9677014128000605,,,,
5,ExtraTrees,0.5837359098228664,0.8245582811296688,0.9914452495974235,0.9853448275853754,0.8089732108156334,0.9679895833333333,0.8830777921249509,0.9929709992716711,0.795995670995671,0.8906814874640977
