model,world,severity,AUROC_mean,AUROC_ci_lo,AUROC_ci_hi,Brier_mean,Brier_ci_lo,Brier_ci_hi,LogLoss_mean,LogLoss_ci_lo,LogLoss_ci_hi,ECE_mean,ECE_ci_lo,ECE_ci_hi,aECE_mean,aECE_ci_lo,aECE_ci_hi,Brier_REL_mean,Brier_REL_ci_lo,Brier_REL_ci_hi,Brier_RES_mean,Brier_RES_ci_lo,Brier_RES_ci_hi,Brier_UNC_mean,Brier_UNC_ci_lo,Brier_UNC_ci_hi
ExtraTrees,WA_clean,0,0.6282541599570585,0.591226180891036,0.6674881463589194,0.24072946028124728,0.22978421180089478,0.2513866121354739,0.6773874269436492,0.6535717360027584,0.7025578240114242,0.15141429966834072,0.12468164845821404,0.18043748757683747,0.2055378407283291,0.18285393719917364,0.2277763440365646,0.06740902172351305,0.0545213033950039,0.08160109665579705,0.07452927335640137,0.0663355782391388,0.08298166743560167,0.24869397923875436,0.24849799307958487,0.2488421937716263
ExtraTrees,WB_noise_outliers,1,0.6343062265163713,0.5972558261764178,0.6710238862050456,0.2394591003841516,0.2293831945255387,0.24959529766612193,0.6744397442621165,0.6495443449495516,0.6986885751182991,0.15659975793965802,0.14469847228315122,0.16960858555512415,0.20443901719891736,0.18294589693837726,0.22330897655955922,0.06459493223525277,0.05417810595940451,0.07435136592865531,0.07421598359605279,0.06182962206843522,0.08558932525951557,0.24869397923875436,0.24849799307958487,0.24888996539792385
ExtraTrees,WC_missingness,2,0.6168925568080158,0.5828536522633745,0.6512403269815709,0.24331889434181914,0.23380292499748884,0.25271666309124624,0.6827543010612905,0.6621787682799322,0.7041009223070641,0.15755420569199927,0.13716448944110096,0.1772808164488017,0.21555885455520196,0.1936768553508081,0.24041664812818672,0.06928384761528458,0.05601172746688913,0.08389052214043609,0.07380857618864538,0.06552684672561836,0.0839176173266692,0.24869397923875436,0.24849799307958487,0.24888996539792385
ExtraTrees,WD_shift,3,0.6375402576489535,0.6055173667024513,0.6712843308284132,0.23867131635611633,0.22859731796019914,0.24832732661174653,0.6725018621117383,0.6500161479252232,0.6940034357421515,0.1474774718679136,0.12340920177563132,0.1730991786060959,0.21695341958033193,0.2015364883314478,0.23236919333264552,0.07193770001933507,0.06187081327521186,0.08325834691390532,0.08144779187491992,0.07161627015250545,0.09145522824554658,0.24869397923875436,0.24849799307958484,0.24888996539792385
ExtraTrees,WE_surrogate_corrupt,4,0.6290861513687601,0.5916503958668814,0.6669873859366613,0.2399880858961925,0.22934387863304342,0.25062949682802466,0.6757808012435927,0.65101708818621,0.698359337525278,0.16426848418483156,0.13930434452029797,0.18862216712863153,0.20624813560095362,0.18107461681152973,0.22968762990338656,0.0668510100339441,0.05337660078022849,0.0800199800102036,0.07469833653722928,0.06626528911956939,0.08337507804690503,0.24869397923875436,0.24849799307958487,0.24888996539792385
ExtraTrees,WF_nonlinear,5,0.6160292538915727,0.5718999373769906,0.6517458400429416,0.2422504046560657,0.2366873543713599,0.24830410147512702,0.6777200960357617,0.666524220684469,0.6907680584925528,0.1359805873363232,0.11221123746988702,0.15950755693608576,0.2249923538401474,0.20631570491491452,0.24358977664567863,0.07446319659089866,0.06275982797884226,0.08642019059293557,0.0813837395873382,0.0713604138151993,0.09350852761758298,0.24869397923875436,0.24849799307958487,0.24888996539792385
ExtraTrees,WH_subgroup_shift,6,0.6338074789765611,0.6018883073895152,0.6673651368760064,0.23938416279486863,0.2292791004161201,0.2490847308223246,0.6741618025259296,0.6511472872998029,0.6949447136939773,0.15346239741313214,0.13438954608598114,0.17392571920770505,0.21032760589476462,0.18525323854142423,0.23174809782531483,0.0684766090125472,0.05566083436800145,0.08070770996962011,0.0768713212866846,0.062084313084711004,0.09260813200051263,0.24869397923875436,0.24854698961937718,0.24888996539792385
ExtraTrees,WI_prevalence_shift,7,0.6336647727272727,0.5875608077300786,0.6804212699915825,0.2320223673001074,0.21849049856817165,0.24535304366199734,0.6562047940748356,0.6260162649193548,0.6873976453720991,0.19125108680840366,0.16188736314415758,0.22232063019227694,0.26325366264693406,0.23833353442121238,0.2901417895949538,0.10061216717202903,0.08233716195451246,0.11898905668255398,0.09984111495578622,0.08840823888248109,0.11106102921953093,0.2295894809688581,0.22904913494809687,0.23012982698961934
ExtraTrees,WJ_concept_drift,8,0.6321010019681517,0.5942733494363929,0.6697018697441401,0.2396682074721919,0.2285861608852588,0.25009732150478864,0.6746791128513369,0.6503477427744235,0.6990355739698599,0.15308779715534432,0.12815093502052446,0.17895740311103792,0.19859376665425502,0.17961833466154595,0.21719899788227978,0.06153001109901787,0.0506485094706922,0.07233345486952533,0.06960116878123798,0.061649421120082024,0.07834463270536972,0.24869397923875436,0.24854576470588238,0.24888996539792385
ExtraTrees,WG_label_noise,9,0.6009807226592457,0.5562881526945239,0.6430852946627351,0.24921679219090884,0.2391209339417028,0.2596292655275779,0.6962540410933892,0.6732105547782529,0.7205430395567293,0.18570406483477622,0.16377299723391392,0.21090950921648471,0.22779610945716275,0.20630524673202616,0.25017861234872074,0.0814224744223777,0.06772213834118533,0.09458073471786413,0.07922691272587468,0.07011182980904779,0.08838326566705114,0.24722342688709473,0.24512715468409582,0.24871036216839676
GaussianNB,WA_clean,0,0.5469851494006084,0.5156119721774916,0.5800394189479336,0.4508058925886014,0.4207973310584658,0.4806360748610203,6.337941163542388,5.622960947538809,7.004047816697954,0.4575428436889625,0.43003998845588065,0.48576027382733733,0.4436463003614543,0.4135090254379997,0.47667466477921394,0.21790484051392253,0.18961181787529383,0.2507052894605884,0.022661851114731464,0.012289612945651916,0.03597990971697577,0.24869397923875436,0.24849799307958487,0.24888996539792385
GaussianNB,WB_noise_outliers,1,0.5467592592592593,0.5163726180891036,0.5742703860261226,0.44586922591230055,0.4149179141125453,0.47525922622474875,6.338285631773648,5.645511922874435,7.014587516014608,0.45222229967882976,0.42256988065720935,0.48280040702342414,0.4371843779066679,0.40158512788741874,0.4708519812382836,0.21591986527454737,0.1867795558888082,0.24967409634007404,0.02793976821247507,0.017961066823472295,0.03939757310723359,0.24869397923875436,0.24854698961937718,0.24888996539792385
GaussianNB,WC_missingness,2,0.5391371443907677,0.5069531669350511,0.5698956655931294,0.45785979758342454,0.4321951049456062,0.48381913756750433,6.444143471218368,5.729049025797486,7.118220949155549,0.46347631295387476,0.4365208474364398,0.491872325765951,0.44486701017353875,0.41666747470326154,0.47523304152611684,0.22205147958470767,0.19573965595274856,0.2563280158908183,0.02576587840002695,0.012496230757842324,0.04056279751260272,0.24869397923875436,0.24854698961937718,0.24888996539792385
GaussianNB,WD_shift,3,0.5525205761316873,0.5184466138844159,0.5844800612810879,0.444345912269079,0.4157433953225835,0.4756460184097186,6.283483102703424,5.592341907085396,6.902102976944589,0.45026238301095384,0.4222555389199196,0.4810992488322308,0.4347469084281139,0.4017764532264079,0.46974961332609133,0.21412247680604649,0.1843561298916582,0.24995617447164178,0.02771299349337376,0.016083426580984397,0.04116697725673879,0.24869397923875436,0.24849799307958484,0.24888996539792385
GaussianNB,WE_surrogate_corrupt,4,0.5724995526927895,0.5365344314725354,0.6072912193594561,0.4305826221832501,0.3984963736701421,0.458850436781641,6.051282024639829,5.346579742378519,6.7110462804178885,0.4384572300904988,0.4070861752072477,0.4687666657264245,0.4216514725570793,0.3870986919373458,0.4529922296262564,0.19940886219257786,0.16886897290348926,0.23117780921307718,0.02507302135260571,0.013732752782858109,0.03951804613430804,0.24869397923875436,0.24849799307958487,0.24888996539792385
GaussianNB,WF_nonlinear,5,0.6587403828949723,0.6127796788334229,0.7009879898013955,0.3962916306817077,0.34737347572954347,0.44433499716266583,5.682957005862255,4.9322564428948334,6.46009582467377,0.4008635543547372,0.3514813839467642,0.44543406531672286,0.3908559324573813,0.3429496426710692,0.43584930685913476,0.18328527113338647,0.14252936486536852,0.22423499209192838,0.04235579383302086,0.029005496253793363,0.05584971755072663,0.24869397923875436,0.2485469896193772,0.24888996539792385
GaussianNB,WH_subgroup_shift,6,0.5467860976918949,0.5158815306852749,0.5783088991769549,0.4451437310593248,0.4157350709245697,0.47550285585443836,6.2965774620227295,5.5630204211229755,6.923706880200522,0.4504826177661151,0.4215972049072281,0.47927672940378235,0.4355760775330105,0.41047257714304,0.46352992022381534,0.21153331552102947,0.18665208434689456,0.24360059623289887,0.024239353714864142,0.01415415130914887,0.03655885625771133,0.24869397923875436,0.24849799307958487,0.24888996539792385
GaussianNB,WI_prevalence_shift,7,0.5372211700336701,0.5024701879910215,0.5703237233445567,0.39171764485376076,0.3563327269876632,0.4344289734422927,5.301475280147453,4.7075491343766895,5.879358602705557,0.4015112249702934,0.36414287010856455,0.44894930302244473,0.387021044711155,0.35053980691201386,0.4314092042262898,0.18610254578109872,0.14458909123605163,0.23868595461405348,0.031754482219815736,0.017711125846858168,0.047069503114548376,0.2295894809688581,0.22904913494809687,0.22999474048442903
GaussianNB,WJ_concept_drift,8,0.5462985328323493,0.5141749977634641,0.577361949812131,0.44908979930746634,0.41991837407325106,0.48132966357686185,6.351977256837312,5.611950456858815,7.01754859553264,0.4563610234205404,0.42824256473800076,0.48742172229543196,0.44497959550446387,0.415918654445481,0.47484269683223823,0.219778536781412,0.19381557125466883,0.2539695607788748,0.02421517349467923,0.01214155520753008,0.038611891003603654,0.24869397923875436,0.2485469896193772,0.24888996539792385
GaussianNB,WG_label_noise,9,0.5171223921035543,0.4894362714253006,0.5434113335578415,0.47154643473232266,0.4475348411999556,0.5000469483717357,6.707849203241296,5.944935779127378,7.449000004162917,0.47827892448930265,0.45393165282524117,0.5051330516978699,0.46434268809651924,0.4355574005934089,0.4939724176188511,0.2378430086310954,0.21178739988300319,0.2678047305756316,0.020525208028841384,0.013052763377802777,0.029183506791206876,0.24722342688709473,0.2452210393438421,0.24873307676534664
GradientBoosting,WA_clean,0,0.7153068527464661,0.6749798711755234,0.7522057836822329,0.24378347574087084,0.21920047903270212,0.26926326016638236,0.8312943263751256,0.7281533071768516,0.9495399206614685,0.23887589985234775,0.2113307322867286,0.2682107341561471,0.23448637934216002,0.2082308198188275,0.2636001346475061,0.09342183424582633,0.07421227196131365,0.11334161006093701,0.09919724721261054,0.09119165974625144,0.10662822542611816,0.24869397923875436,0.24854698961937718,0.24888996539792385
GradientBoosting,WB_noise_outliers,1,0.7189613526570048,0.6816777375201288,0.7532151324029344,0.2482704503217488,0.2244664657503955,0.27421004940528965,0.839367593122299,0.7320547526371576,0.9582429732416068,0.24584056709112564,0.21966675826012771,0.27992115190060496,0.23545711655572887,0.20822258412909925,0.26663016359534997,0.08913229246906933,0.07175852124577017,0.11429373812227864,0.08982251954376523,0.07854446469306677,0.1016178259643727,0.24869397923875436,0.24849799307958487,0.24888996539792385
GradientBoosting,WC_missingness,2,0.6984388978350331,0.6612189121488639,0.7357156915369475,0.2578486646626913,0.23885752478643701,0.27712546888536327,0.8372077470499858,0.753037691989614,0.9205562573327524,0.25867749172630433,0.2319886674097444,0.2866693161582424,0.25084205777153035,0.22762735679468127,0.2734535825874304,0.09584551496819603,0.07949640247031475,0.11260730929644307,0.08686391387927721,0.07816727720107651,0.09635304485454316,0.24869397923875436,0.24849799307958487,0.24888996539792385
GradientBoosting,WD_shift,3,0.7148461263195564,0.677092614957953,0.7505960368581139,0.25067063696937236,0.22810262583829127,0.274482805833025,0.8868913728812043,0.7836428703469107,1.0080299946042344,0.25347365240632164,0.22901394804958786,0.2809143507994933,0.23747301827578815,0.21689169388752388,0.2598664930362615,0.0898650159384062,0.07510499544372004,0.10661236377118634,0.08708395745226195,0.07322301806997311,0.10078351223888249,0.24869397923875436,0.24849799307958487,0.24888996539792385
GradientBoosting,WE_surrogate_corrupt,4,0.7129316514582215,0.6744316961889426,0.7523400876722132,0.24858658704795736,0.22315424457653704,0.27446384637638827,0.8495565326510935,0.7405745316936392,0.9663359277811391,0.2501186099052376,0.2197982438767128,0.2800931370217189,0.24730494085729754,0.21859084715280627,0.2754582177486745,0.10224258551938714,0.08003056101495228,0.12712887271577708,0.1029989901320005,0.0896590652313213,0.11602415596565421,0.24869397923875436,0.24849799307958484,0.24888996539792385
GradientBoosting,WF_nonlinear,5,0.3853417427088925,0.3354128645553766,0.4360564278046162,0.4225951684125578,0.39137459266084174,0.4530299655145259,1.4958905473905175,1.2473453723664953,1.7880354296037202,0.4211765141152845,0.3816811218820792,0.4600315884864392,0.42888608584311044,0.393810959065868,0.4626219351674645,0.25545565482745375,0.21833500079369306,0.291856211787681,0.08156326028450596,0.0705207090862489,0.09483735511982572,0.24869397923875436,0.24854698961937718,0.24888996539792385
GradientBoosting,WH_subgroup_shift,6,0.7195160135981392,0.6875315351583469,0.753391930577921,0.24237989556769374,0.22193770793799664,0.262258278721451,0.8399565100360995,0.7462406889336799,0.9312665238583728,0.2407254361912686,0.21448094809167945,0.2673279945554663,0.2551791276592087,0.23243787539654415,0.28215691382961616,0.10026973027789947,0.08661322276085333,0.1182227999856676,0.10682687684224017,0.09388529603998463,0.12107521376393691,0.24869397923875436,0.24854698961937718,0.24888996539792385
GradientBoosting,WI_prevalence_shift,7,0.7126367845117844,0.6678195145903479,0.7536830983445566,0.23484383615825935,0.21114091593892856,0.2613797953857588,0.7884280510597103,0.683568983343149,0.9027938464980807,0.259204377964882,0.2328413442584208,0.28820782981551474,0.26029305510976136,0.23480556635779282,0.28740758477163564,0.11872806232108335,0.09849816766952628,0.13980054838719633,0.11547924131744201,0.09727526682045369,0.13347833730616426,0.2295894809688581,0.22904913494809687,0.22999474048442903
GradientBoosting,WJ_concept_drift,8,0.7249642154231527,0.6797230050098408,0.763500514403292,0.2363056503549404,0.21275450950927355,0.2633616458545458,0.8092551884316895,0.7005883371244258,0.9237034010590985,0.23949893222679108,0.2099143257687216,0.2748226741007964,0.24008631473487618,0.216707397827644,0.2692992686146986,0.09209491358852366,0.07328964914129962,0.11935771056037206,0.10478983980520314,0.09250788004613611,0.11894047673971549,0.24869397923875436,0.24849799307958484,0.24888996539792385
GradientBoosting,WG_label_noise,9,0.6722457268650004,0.626982137431764,0.7155856295556757,0.27430827604543606,0.24448067685570052,0.3012925357532172,0.9351413030076254,0.8131173325386049,1.0498626224975198,0.2650700037840028,0.23387566010785726,0.29576289060471117,0.26524786746876233,0.2356021053727776,0.2931022722849963,0.11223086044058146,0.09117705198087336,0.1346626534474696,0.08648268614635397,0.07463930129437397,0.09920673881840318,0.24722342688709473,0.24518610585672176,0.2486575073689607
Logistic_L2,WA_clean,0,0.6068080157452138,0.5744803408480945,0.6391381508319913,0.27129803756532384,0.25517508992466537,0.2862095277762816,0.7806684850510474,0.7393143917725122,0.820607298349934,0.25436854868283104,0.230744259975957,0.2792928964808282,0.2696085635033892,0.2469962815298633,0.2889876741566207,0.10387315125829769,0.08924589951893085,0.11727614220890437,0.08100552607971294,0.07137348160963732,0.09103716621812126,0.24869397923875436,0.24849799307958487,0.24888996539792385
Logistic_L2,WB_noise_outliers,1,0.5886920737162282,0.5600918098049741,0.6168698559670781,0.28950953622033965,0.2740750893626134,0.30538791600253434,0.9189762643931408,0.8541554241636963,0.9885286858605454,0.2716383902871053,0.24814118154276252,0.29607892886564297,0.265085250798014,0.24114760447465175,0.28706214461760726,0.1058514087746568,0.09247629894705668,0.12093329920602595,0.06480291170062796,0.056847423683198756,0.07687462950147379,0.24869397923875436,0.24849799307958487,0.24888996539792385
Logistic_L2,WC_missingness,2,0.5945741635355162,0.5607789855072464,0.630130613705493,0.2748023253630162,0.25694955105863715,0.2922492010479463,0.7877692171269998,0.7441763675193688,0.8275816676787792,0.24197796272411273,0.21406398649366576,0.26845501349761874,0.2526591472352807,0.2289879515936897,0.2750833298347192,0.09546545327656016,0.07943378353528595,0.11157659082902201,0.06932360886838394,0.061383490324234256,0.0777637977700884,0.24869397923875436,0.24849799307958487,0.24888996539792382
Logistic_L2,WD_shift,3,0.6447307210592236,0.6170013642869924,0.6746261629987476,0.26065365640516464,0.24449022744846774,0.2755503436692331,0.7569343457327967,0.7134307794833432,0.8001541486417154,0.24879343346643693,0.2208831018925955,0.27106927533911634,0.2627531407385911,0.24166952868188815,0.28101493374515957,0.1010591291563419,0.08563670774551196,0.11570946228537232,0.08989223631936435,0.08424989183647316,0.0956480594643086,0.24869397923875436,0.24854576470588238,0.24888996539792385
Logistic_L2,WE_surrogate_corrupt,4,0.6287171229200215,0.5986898371801754,0.6601100375738058,0.26718258198311784,0.25475276982131867,0.27839217912184255,0.7703622068685888,0.7333144043228159,0.8042160823773381,0.24992797292650654,0.2280409750090602,0.2705351271277835,0.2586921709904009,0.23540564518076526,0.28216446114618626,0.10272668134354748,0.08738097603471331,0.11921851248388106,0.08393145200563885,0.07046687812379855,0.09788848647955914,0.24869397923875436,0.2485469896193772,0.24888996539792385
Logistic_L2,WF_nonlinear,5,0.26831723027375204,0.2229004517802827,0.31297448112363563,0.46514679888206306,0.4617510046785392,0.46871644178731925,6.390034821665366,5.972226170666773,6.772181426935253,0.463822425097442,0.45718286396300256,0.4695664767743622,0.4625504938629586,0.4578976262324052,0.46670074420447694,0.3088421318341135,0.28952538430704494,0.32743194574929263,0.095918791980502,0.07652627587937123,0.11340093295963834,0.24869397923875436,0.24849799307958487,0.24888996539792385
Logistic_L2,WH_subgroup_shift,6,0.6308910359634997,0.6027459071390231,0.661742485238862,0.2650091682743782,0.24852993073486973,0.2810771200961611,0.7684102318482936,0.7222564556971502,0.8131597263119764,0.23938472395387753,0.2140225151137521,0.263018937445758,0.24823145632960159,0.21937512642503418,0.27674560514647084,0.09534711290167722,0.07473572848043988,0.11639424306953743,0.07952186594899398,0.06668852787389468,0.09224419236191209,0.24869397923875436,0.24849799307958487,0.24888996539792385
Logistic_L2,WI_prevalence_shift,7,0.6318567620650953,0.5803092557519641,0.6810394746071828,0.25341540699714726,0.23273872554729247,0.27425974896437005,0.7336543936254541,0.6787372686884774,0.7915112004866532,0.2720129619682717,0.24512516994282868,0.2994023236173842,0.29141456608273036,0.2681464946199774,0.31605577619783654,0.12693051845251405,0.11067957999812877,0.14486261288741453,0.1060496116878124,0.0933600949634756,0.11793941548122518,0.2295894809688581,0.22904913494809687,0.22999811764705877
Logistic_L2,WJ_concept_drift,8,0.603229558060476,0.5698554079441761,0.6397680712113079,0.27253258408782244,0.25550693840298405,0.28872822245661806,0.7839510031090444,0.7426750307926331,0.8268225463046401,0.23918675776948908,0.2118760042335393,0.2647703352805838,0.26189337073685626,0.2396518389757109,0.2834512214211493,0.09960791013873739,0.0845866701190915,0.11415771880977384,0.07576369601435347,0.06715022324746893,0.08389296155324874,0.24869397923875436,0.24854698961937718,0.24888996539792385
Logistic_L2,WG_label_noise,9,0.6042216469676729,0.5772874253530463,0.6328810698907787,0.2725825162157845,0.2571669563221817,0.2873224029722717,0.7886515321709244,0.7430445006367601,0.8366616433331887,0.2384917861646583,0.21043485596787687,0.2676069362455208,0.25301819785217045,0.22885438150668738,0.2755382366436815,0.09872765044853936,0.0824765384271464,0.11444325359090131,0.07341514801999231,0.06352686402665642,0.08282093169293861,0.24722342688709473,0.2452188991413559,0.2487289298987569
MLP,WA_clean,0,0.6062980855251389,0.5711387323313653,0.6406124753981033,0.33451803289084225,0.31239074666817945,0.3543391631457336,1.342416586941112,1.1816092080414242,1.5057686821277942,0.3503373525128511,0.32478611021137843,0.3753363310611288,0.32324607803249317,0.29254173639411263,0.3516871989155214,0.15590841530502758,0.13276035453474347,0.1787449047431967,0.07357197488145586,0.06471447930283225,0.08294778713315393,0.24869397923875436,0.24854698961937718,0.24888996539792385
MLP,WB_noise_outliers,1,0.5875246018965826,0.5511895016997674,0.6207070808731436,0.353755619510885,0.3330945612225602,0.37374946482083776,1.5740381356871311,1.3858076342480337,1.7672845936985564,0.36235613833381136,0.3371236937271592,0.3874709389821325,0.34557782927617603,0.3228583438444396,0.3679981230761196,0.16778598359414656,0.14911484084228105,0.1880135405314955,0.06335846725618352,0.05546787158785082,0.07133454171472511,0.24869397923875436,0.24854698961937718,0.24888996539792385
MLP,WC_missingness,2,0.5772633744855967,0.549975174449812,0.6052112408302021,0.34340113671178335,0.32866666746109563,0.3593887889521215,1.3233498646726276,1.1856970841841368,1.4623624595718951,0.36204129214804187,0.34325039173205324,0.3813142462278338,0.34425938604039746,0.32158436832922255,0.368236815582098,0.16471061588441346,0.1442448505804814,0.1846328006158478,0.071600297321543,0.05511206676919134,0.08868123298731256,0.24869397923875436,0.24854698961937718,0.24888996539792385
MLP,WD_shift,3,0.6373367328681339,0.597023394167114,0.6735397656110217,0.31742329735510894,0.2914319960168094,0.34238067556327506,1.3011940801694934,1.1333145841508216,1.489417102522057,0.32254658100068323,0.2917053933562346,0.35244386972755454,0.3108634369820146,0.2822648580092238,0.3423097368663724,0.14922237733464455,0.1257962633723736,0.17482393044143968,0.0810251339228502,0.06962467397154941,0.09302921530180697,0.24869397923875436,0.24849799307958484,0.24888996539792385
MLP,WE_surrogate_corrupt,4,0.6154231526212204,0.565029857756307,0.6567011093218823,0.3388518966143707,0.31682016530419166,0.3598096251374555,1.3576369540780375,1.19783537155941,1.528793948184938,0.3590661282700359,0.3370494377675379,0.38225804843874067,0.33810507714439064,0.3148882549263447,0.36197889441875214,0.16810255265912682,0.14473866054784085,0.1919817117469635,0.07880726899910291,0.06455676996027168,0.09329028027681659,0.24869397923875436,0.24849799307958487,0.24888996539792382
MLP,WF_nonlinear,5,0.6769010556450169,0.5933381418858473,0.7428553855788155,0.32020997293411213,0.2591908779878262,0.3842815025769406,4.397912375682993,3.6891122591118175,5.207141850707514,0.32395364918396036,0.260394507403627,0.3876267918788599,0.31501307046482235,0.25628952678659506,0.37997668166485743,0.13706251008805445,0.08959224862105193,0.19112437532239546,0.06733536947903854,0.05010056983933976,0.08321893424322896,0.24869397923875436,0.24849799307958487,0.24888996539792382
MLP,WH_subgroup_shift,6,0.6297638217928072,0.5913893361960996,0.6671379048130255,0.32228899793207244,0.29700592497932826,0.3445950461467372,1.3163772188296725,1.1557572789638384,1.4954276678599745,0.33849645622840074,0.305036057413432,0.37236966411444383,0.3206162441478162,0.28637627919379005,0.35539824355771926,0.1534451726135768,0.12605385074342382,0.17967614460128084,0.08229528642829681,0.0735494572600282,0.0909516169422017,0.24869397923875436,0.24849799307958487,0.24888996539792385
